date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
01/29/15,GT,BOWLING GREEN,MO,PIKE COUNTY,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$2672345,$1617345
11/14/09,GT,PHILO,OH,MUSKINGUM,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$447052,$424523
11/10/09,GT,BLOOMINGBURG,OH,FAYETTE,MATERIAL/WELD/EQUIP FAILURE,FILLET WELD,0,0,$133645,$117645
