date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
04/25/14,HL,HAYNESVILLE,LA,CLAIBORNE,CORROSION,INTERNAL,0,0,$3341545,400,177
03/09/13,HL,MAGNOLIA,AR,COLUMBIA,CORROSION,INTERNAL,0,0,$3384814,5600,300
01/17/13,HL,EL DORADO,AR,UNION,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$22200,31,1
01/25/12,HL,EL DORADO,AR,UNION,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$42532,60,1
