date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
02/18/15,HL,PORT ARTHUR,TX,JEFFERSON,CORROSION,EXTERNAL,0,0,$55500,7,0
03/20/13,HL,PORT ARTHUR TEXAS,TX,JEFFERSON,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$23780,8,0
02/18/13,HL,PORT ARTHUR,TX,JEFFERSON,CORROSION,EXTERNAL,0,0,$66095,1,0
11/26/12,HL,PORT ARTHUR,TX,JEFFERSON,CORROSION,EXTERNAL,0,0,$119829,23,23
07/26/12,HL,PORT ARTHUR TEXAS,TX,JEFFERSON,CORROSION,EXTERNAL,0,0,$36000,0,0
04/19/12,HL,PORT ARTHUR TEXAS,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$22000,0,0
03/02/12,HL,PORT ARTHUR TEXAS,TX,JEFFERSON,CORROSION,EXTERNAL,0,0,$45000,0,0
10/06/11,HL,PORT ARTHUR,TX,JEFFERSON,ALL OTHER CAUSES,UNKNOWN,0,0,$0,0,0
04/04/08,HL,PORT ARTHUR,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$16100,0,0
09/16/07,HL,PORT ARTHUR,TX,JEFFERSON,CORROSION,EXTERNAL,0,0,$95132,2,0
11/07/06,HL,PORT ARTHUR,TX,JEFFERSON,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$19468,0,0
