date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
12/01/11,GT,CHICAGO,IL,COOK,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,$111279,$8279
04/11/07,GT,FISHER,IL,CHAMPAIGN,CORROSION,INTERNAL,0,0,$62000,$32000
