date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
05/31/15,GT,Not Within a Municipality,OK,HUGHES,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,$9033,N/A,N/A,$9033
04/20/15,GT,CLAREMORE,OK,ROGERS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$55420,N/A,N/A,$55010
08/20/13,GT,KIOWA,OK,PITTSBURG COUNTY,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,0,0,$75800,N/A,N/A,$19300
06/29/13,GT,KINTA,OK,HASKELL,CORROSION,INTERNAL,0,0,$86457,N/A,N/A,$45604
04/04/12,GT,PERRY,OK,NOBLE,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$6230,N/A,N/A,$6230
11/19/11,GT,OOLAHGA,OK,ROGERS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$44399,N/A,N/A,$44399
11/04/11,GT,RUSH SPRINGS,OK,GRADY,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,$26806,N/A,N/A,$26806
05/24/11,GT,PIEDMONT,OK,CANADIAN,NATURAL FORCE DAMAGE,HIGH WINDS,0,0,$10631,N/A,N/A,$9931
05/24/11,GT,CALUMET,OK,CANADIAN,NATURAL FORCE DAMAGE,HIGH WINDS,0,0,$1207722,N/A,N/A,$7322
02/10/11,GT,CANUTE,OK,WASHITA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$43056,N/A,N/A,$43056
07/07/10,GT,JENKS,OK,TULSA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$68177,N/A,N/A,$67875
04/19/10,GT,WETUMKA,OK,HUGHES,CORROSION,INTERNAL,0,0,$11550,N/A,N/A,$50
04/14/10,GT,BENNINGTON,OK,BRYAN,ALL OTHER CAUSES,MISCELLANEOUS,0,1,$0,N/A,N/A,$0
02/19/10,GT,CORDELL,OK,OKLAHOMA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$10850,N/A,N/A,$10850
01/23/07,GG,WEATHERFORD,OK,CUSTER,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$50000,N/A,N/A,$35000
05/05/06,GT,ALLEN,OK,COAL,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$173497,N/A,N/A,$173497
01/24/06,GT,HARRAH,OK,OKLAHOMA,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$63113,N/A,N/A,$63113
