date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
10/19/12,HL,SOUR LAKE TEXAS,TX,HARDIN,CORROSION,INTERNAL,0,0,$82700,718,55
09/18/12,HL,SOUR LAKE,TX,HARDIN,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,$37660,70,2
07/26/10,HL,SOUR LAKE,TX,HARDIN,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,$24952,10,0
