date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
04/08/15,HL,NONE,TX,MCMULLEN,CORROSION,INTERNAL,0,0,$140000,400,190,$20000
01/25/15,HL,Not Within a Municipality,LA,PLAQUEMINES,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$22004,0,0,$4
04/05/14,HL,Not Within a Municipality,LA,PLAQUEMINES PARISH,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$600200,2,2,$200
10/31/12,HL,PETTUS,TX,BEE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$88000,100,90,$8000
02/28/12,HL,CORPUS CHRISTI,TX,NUECES,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$965000,1300,50,$5000
