date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(b),gross_barrels_spilled_(hazliq)_(c),net_barrels_lost_(hazliq)_(c)(d)
06/24/08,HL,MARTINEZ,CA,CONTRA COSTA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,$64712,0,0
03/05/08,HL,MARTINEZ,CA,CONTRA COSTA,ALL OTHER CAUSES,UNKNOWN,0,0,$3908,0,0
09/08/07,HL,MARTINEZ,CA,CONTRA COSTA,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$547084,168,45
