date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
01/15/14,HL,HOUSTON,TX,HARRIS,ALL OTHER CAUSES,MISCELLANEOUS,0,0,$49800,0,0
04/14/13,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$62250,50,0
06/02/12,HL,HOUSTON,TX,HARRIS,ALL OTHER CAUSES,UNKNOWN,1,1,$0,0,0
12/28/10,HL,HOUSTON,TX,HARRIS,CORROSION,EXTERNAL,0,0,$17550,0,0
01/16/08,HL,HOUSTON,TX,HARRIS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$10000,1,0
11/26/07,HL,PASADENA,TX,HARRIS,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$143600,3,1
05/27/07,HL,GALENA PARK,TX,HARRIS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$156900,200,11
