date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
01/08/09,HL,GREGORY,TX,SAN PATRICIO,CORROSION,EXTERNAL,0,0,$250500,10,0
05/03/06,HL,CRESSON,TX,JOHNSON,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,$91544,2,0
