date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
03/16/15,GT,Not Within a Municipality,MN,KITTSON,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,$922910,$172910
04/13/11,GT,BOYNE FALLS,MI,CHARLEVOIX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,$241420,$127420
04/06/11,GT,ST. CLAIR,MI,ST. CLAIR,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,$360615,$35615
05/03/10,GT,SHEVLIN,MN,CLEARWATER,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$96500,$500
