date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),value_of_product_lost_(b)
11/16/08,GT,COLUMBIA,SC,RICHLAND,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$75000,$25000
08/11/07,GT,GASTON,SC,RICHLAND,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$68100,$67000
