date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
08/29/14,HL,PRUDHOE BAY,AK,NORTH SLOPE BOROUGH,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,$6600,6,0,$600
04/19/12,HL,N/A,AK,NORTH SLOPE BOROUGH,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,$3080,0,0,$0
