date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
05/22/14,HL,LONG BEACH,CA,LOS ANGELES,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,$200000,989,389
10/15/08,HL,LONG BEACH,CA,,CORROSION,UNSPECIFIED CORROSION,0,0,$2,0,0
08/18/08,HL,LONG BEACH,CA,LOS ANGELES,INCORRECT OPERATION,INCORRECT OPERATION,0,0,$30300,0,0
11/14/07,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,$15000,0,0
