date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
10/10/14,HL,,LA,CALCASIEU,ALL OTHER CAUSES,UNKNOWN,0,0,$50500,6,6
07/18/13,HL,SULPHUR,LA,CALCASIEU,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$1317928,0,0
11/08/11,HL,JENNINGS,LA,JEFFERSON DAVIS,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$552312,0,0
04/06/11,HL,JENNINGS,LA,JEFFERSON DAVIS,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,$559500,5,5
08/03/07,HL,SULPHUR,LA,CALCASIEU,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,0,0,$295555,10,10
08/07/06,HL,JENNINGS,LA,JEFFERSON DAVIS,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,$947000,5743,5743
