date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c)
03/11/14,HL,EAST CHICAGO,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,CONSTRUCTION INSTALLATION OR FABRICATION-RELATED,0,0,$40000,11,0
04/20/12,HL,EAST CHICAGO,IN,LAKE,CORROSION,INTERNAL,0,0,$27100,0,0
12/16/08,HL,EAST CHICAGO,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,$110,0,0
02/26/07,HL,EAST CHICAGO,IN,LAKE,CORROSION,UNSPECIFIED CORROSION,0,0,$15100,4,1
