date,system,city,state,county,cause,sub_cause,fatalities,injuries,propertydamage_(a),gross_barrels_spilled_(hazliq)_(b),net_barrels_lost_(hazliq)_(b)(c),value_of_product_lost_(d)
04/26/14,HL,GRANITE CITY,IL,MADISON,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,0,0,$100500,0,0,$500
01/05/12,GT,WILDWOOD,MO,ST. LOUIS,CORROSION,EXTERNAL,0,0,$236723,N/A,N/A,$1193
