SWRCB_name,AGENCYUNIQ,Hydrologic Region
Hanford  City of,1125,Tulare Lake
Hawthorne  City of,1142,South Coast
Hayward  City of,1143,San Francisco Bay
Healdsburg  City of,1144,North Coast
Helix Water District,1154,South Coast
Hemet  City of,1157,South Coast
Hesperia Water District City of,1165,South Lahontan
Hi-Desert Water District,1167,Colorado River
Hillsborough  Town of,1181,San Francisco Bay
Hollister  City of,1188,Central Coast
Humboldt Bay Municipal Water District,1209,North Coast
Humboldt Community Service District,1210,North Coast
Huntington Beach  City of,1215,South Coast
Huntington Park  City of,1217,South Coast
"Imperial, City of",1225,Colorado River
Indian Wells Valley Water District,1233,South Lahontan
Indio  City of,1236,Colorado River
Inglewood  City of,1238,South Coast
Irvine Ranch Water District,1245,South Coast
Joshua Basin Water District,1279,Colorado River
Jurupa Community Service District,1273,South Coast
"Kerman, City of",1286,Tulare Lake
"Kingsburg, City of",1304,Tulare Lake
La Habra  City of Public Works,1324,South Coast
La Palma  City of,1327,South Coast
La Verne  City of,1333,South Coast
Laguna Beach County Water District,1335,South Coast
Lake Arrowhead Community Services District,1343,South Lahontan
Lake Hemet Municipal Water District,1352,South Coast
Lakeside Water District,1368,South Coast
Lakewood  City of,1370,South Coast
Lamont Public Utility District,1371,Tulare Lake
Las Virgenes Municipal Water District,1384,South Coast
"Lathrop, City of ",1388,San Joaquin River
Lee Lake Water District,1408,South Coast
Lemoore  City of,1415,Tulare Lake
Lincoln  City of,1424,Sacramento River
Lincoln Avenue Water Company,1425,South Coast
Linda County Water District,1427,Sacramento River
Livermore  City of Division of Water Resources,1443,San Francisco Bay
Livingston  City of,1444,San Joaquin River
Lodi  City of Public Works Department,1450,San Joaquin River
Loma Linda  City of *,1452,South Coast
Lomita  City of,,South Coast
Lompoc  City of,1459,Central Coast
Long Beach  City of,1464,South Coast
Los Angeles County Public Works Waterworks District 29,1481,South Coast
Los Angeles County Public Works Waterworks District 40,1484,South Lahontan
Los Angeles Department of Water and Power,1473,South Coast
"Los Banos, City of",1487,San Joaquin River
Lynwood  City of,1506,South Coast
Madera  City of,1510,San Joaquin River
Mammoth Community Water District,1533,South Lahontan
Manhattan Beach  City of,1536,South Coast
Manteca  City of,1539,San Joaquin River
Marin Municipal Water District,1546,San Francisco Bay
Marina Coast Water District,1547,Central Coast
Martinez  City of,1554,San Francisco Bay
McKinleyville Community Service District,1570,North Coast
Menlo Park  City of,1588,San Francisco Bay
Merced  City of,1589,San Joaquin River
Mesa Water District,1596,South Coast
Mid-Peninsula Water District,1605,San Francisco Bay
Millbrae  City of,1613,San Francisco Bay
Milpitas  City of,1619,San Francisco Bay
Mission Springs Water District,1626,Colorado River
"Modesto, City of",1631,San Joaquin River
Monrovia  City of,1639,South Coast
Monte Vista Water District,1642,South Coast
Montebello Land and Water Company,1644,South Coast
Montecito Water District,1645,Central Coast
Monterey Park  City of,1650,South Coast
Morgan Hill  City of,1656,Central Coast
Morro Bay  City of,1660,Central Coast
Moulton Niguel Water District,1663,South Coast
Mountain House Community Services District,4231,San Joaquin River
Mountain View  City of,1671,San Francisco Bay
Myoma Dunes Mutual Water Company,1697,Colorado River
Napa  City of,1701,San Francisco Bay
Nevada Irrigation District,1718,Sacramento River
Newhall County Water District,1727,South Coast
Newport Beach  City of,1730,South Coast
Nipomo Community Services District,1731,Central Coast
Norco  City of,,South Coast
North Coast County Water District,1739,San Francisco Bay
North Marin Water District,1748,San Francisco Bay
North Tahoe Public Utility District,1752,North Lahontan
Norwalk City of,1756,South Coast
Oakdale  City of,1765,San Joaquin River
Oceanside  City of,1777,South Coast
Oildale Mutual Water Company,245,Tulare Lake
Olivehurst Public Utility District,1792,Sacramento River
Olivenhain Municipal Water District,1793,South Coast
Ontario  City of,1795,South Coast
Orange  City of,1797,South Coast
Orange Vale Water Company,1803,Sacramento River
