School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Oleander,3,>1 family,1 parent/another adult,,,,,2012-2013,,
Oleander,K,>1 family,1 parent/another adult,,,,,2012-2013,,
Oleander,4,>1 family,1 parent/another adult,,,,,2012-2013,,
Poplar,K,>1 family,1 parent,,,,,2012-2013,,
Primrose,1,>1 family,1 parent/another adult,,,,,2012-2013,,
R. Pepper,K,shelter/transitional housing,1 parent,,,,,2012-2013,,
Sierra Lakes,K,temp. family/friends,1 parent,,,,,2012-2013,,
Tokay,1,>1 family,1 parent,,,,,2012-2013,,
Tokay,3,>1 family,1 parent,,,,,2012-2013,,
Almeria,7,>1 family,1 parent,,,,,2012-2013,,
Miller,12,>1 family,1 parent/another adult,,,,,2012-2013,,
Miller,12,>1 family,relative/friend/other adult,,,AGE: 18,,2012-2013,,
Jurupa Hills,9,>1 family,2 parents,,,,,2012-2013,,
Poplar,5,>1 family,2 parents,Yes,,,,2012-2013,,
Miller,12,motel/hotel,1 parent/another adult,,,"AGE: 18, B drop 10/23/12",,2012-2013,,
Jurupa Hills,11,foster child,relative/friend/other adult,,,,,2012-2013,,
Ruble,6,>1 family,2 parents,Yes,X,,,2012-2013,,
Ruble,7,>1 family,2 parents,,,,,2012-2013,,
Ruble,6,temp. family/friends,2 parents,,,,,2012-2013,,
Ruble,7,shelter/transitional housing,2 parents,,,,,2012-2013,,
Ruble,7,>1 family,1 parent,,,,,2012-2013,,
Ruble,7,>1 family,1 parent,Yes,,,,2012-2013,,
Ruble,8,>1 family,1 parent/another adult,,,,,2012-2013,,
Ruble,8,Other,1 parent,,,,,2012-2013,,
Ruble,8,>1 family,relative/friend/other adult,,,,,2012-2013,,
Ruble,7,>1 family,1 parent,Yes,,,,2012-2013,,
Ruble,8,>1 family,2 parents,,X,,,2012-2013,,
Ruble,8,>1 family,1 parent,Yes,,,,2012-2013,,
Ruble,8,>1 family,2 parents,Yes,,,,2012-2013,,
Ruble,8,>1 family,1 parent/another adult,,,,,2012-2013,,
Ruble,6,>1 family,2 parnts,Yes,,,,2012-2013,,
Ruble,6,temp. family/friends,1 parent,Yes,,,,2012-2013,,
Ruble,6,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Ruble,6,>1 family,2 parents,Yes,,,,2012-2013,,
Ruble,6,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Ruble,6,Other - Garage,1 parent,,,,,2012-2013,,
Ruble,6,>1 family,2 parents,,X,,,2012-2013,,
Ruble,6,>1 family,1 parent/another adult,,X,,,2012-2013,,
Ruble,8,>1 family,2 parents,,X,,,2012-2013,,
Ruble,7,>1 family,2 parents,,,,,2012-2013,,
Ruble,8,>1 family,1 parent,,,,,2012-2013,,
Ruble,6,>1 family,2 parents,Yes,X,,,2012-2013,,
Miller,10,>1 family,relative/friend/other adult,,,,,2012-2013,,
Maple,5,motel/hotel,2 parents,,X,"H, T drop ",,2012-2013,,
Grant,K,foster child,2 parents,,,,,2012-2013,,
Cypress,1,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Citrus,K,foster child,relative/friend/other adult,,,,,2012-2013,,
Citrus,1,foster child,relative/friend/other adult,,,,,2012-2013,,
Citrus,3,>1 family,1 parent,,,,,2012-2013,,
Southridge,7,>1 family,1 parent/another adult,,,,,2012-2013,,
Southridge,6,>1 family,1 parent,,,,,2012-2013,,
Truman,7,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Miller,9,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Kaiser,11,>1 family,1 parent,,,,,2012-2013,,
Jurupa Hills,9,temp. family/friends,2 parents,Yes,,,,2012-2013,,
N. Tamarind,4,>1 family,1 parent/another adult,,,,,2012-2013,,
N. Tamarind,2,>1 family,1 parent,,,,,2012-2013,,
N. Tamarind,4,>1 family,1 parent,,,,,2012-2013,,
Oak Park,3,>1 family,1 parent,,,,,2012-2013,,
Oleander,K,>1 family,1 parent,,,,,2012-2013,,
Redwood,EC,>1 family,1 parent,,,AGE: 3,,2012-2013,,
Redwood,2,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Sequoia,7,>1 family,1 parent,,,,,2012-2013,,
S. Tamarind,4,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Tokay,1,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Alder,7,>1 family,1 parent,,,,,2012-2013,,
Almeria,7,>1 family,1 parent/another adult,,,,,2012-2013,,
Miller,9,>1 family,1 parent,,,,,2012-2013,,
Poplar,1,temp. family/friends,1 parent,,,,,2012-2013,,
Locust,3,temp. family/friends,1 parent,,,,,2012-2013,,
Palmetto,4,>1 family,1 parent,,,,,2012-2013,,
Alder,7,temp. family/friends,1 parent,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent,Yes,X,,,2012-2013,,
Sequoia,7,temp. family/friends,2 parents,,,,,2012-2013,,
Sequoia,7,Other,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent,Yes,X,,,2012-2013,,
Sequoia,7,Other,2 parents,Yes,X,,,2012-2013,,
Sequoia,7,>1 family,1 parent,Yes,X,,,2012-2013,,
Sequoia,7,>1 family,2 parents,Yes,X,,,2012-2013,,
Sequoia,7,>1 family,2 parents,Yes,X,,,2012-2013,,
Sequoia,8,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Sequoia,8,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Sequoia,8,>1 family,2 parents,Yes,X,,,2012-2013,,
Sequoia,8,>1 family,1 parent,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent/another adult,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent/another adult,,,,,2012-2013,,
Juniper,2,Other - Park,2 parents,,,drop 11/8/12,,2012-2013,,
Juniper,3,Other - Park,2 parents,,,drop 11/8/12,,2012-2013,,
Sierra Lakes,4,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Sierra Lakes,2,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Oleander,5,>1 family,1 parent,Yes,,,,2012-2013,,
Miller,10,motel/hotel,2 parents,,,"BP, B, R (S,C),H",,2012-2013,,
Ruble,7,motel/hotel,2 parents,,,"H, T drop 10/30/12",,2012-2013,,
Jurupa Hills,11,temp. family/friends,2 parents,,X,"H, T drop 10/26/12",,2012-2013,,
Birch,12,>1 family,relative/friend/other adult,,,AGE: 18; BP,,2012-2013,,
Sierra Lakes,1,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,4,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,2,Other,2 parents,Yes,,,,2012-2013,,
Sierra Lakes,1,>1 family,2 parents,Yes,,,,2012-2013,,
Sierra Lakes,3,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,K,>1 family,1 parent,,,,,2012-2013,,
Sierra Lakes,3,Other,2 parents,Yes,,,,2012-2013,,
Sierra Lakes,5,>1 family,relative/friend/other adult,Yes,,,,2012-2013,,
Sierra Lakes,K,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,5,>1 family,1 parent,Yes,,,,2012-2013,,
Sierra Lakes,1,foster child,relative/friend/other adult,,X,,,2012-2013,,
Sierra Lakes,2,>1 family,1 parent,,,,,2012-2013,,
Sierra Lakes,3,foster child,relative/friend/other adult,,X,,,2012-2013,,
Sierra Lakes,1,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,4,>1 family,2 parents,,X,,,2012-2013,,
Sierra Lakes,5,>1 family,1 parent,,X,,,2012-2013,,
Sierra Lakes,K,>1 family,2 parents,Yes,,,,2012-2013,,
Sierra Lakes,5,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,1,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,5,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,5,>1 family,1 parent/another adult,,,,,2012-2013,,
Sierra Lakes,5,>1 family,1 parent,,,,,2012-2013,,
Sierra Lakes,4,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,2,>1 family,1 parent,,,,,2012-2013,,
Sierra Lakes,2,>1 family,1 parent/another adult,,,,,2012-2013,,
Sierra Lakes,2,>1 family,2 parents,Yes,,,,2012-2013,,
Sierra Lakes,2,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,2,>1 family,2 parents,Yes,,,,2012-2013,,
Sierra Lakes,5,Other,2 parents,,X,,,2012-2013,,
Sierra Lakes,3,Other,2 parents,Yes,,,,2012-2013,,
Sierra Lakes,5,Other,2 parents,,,,,2012-2013,,
Sierra Lakes,1,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,1,foster child,relative/friend/other adult,,,,,2012-2013,,
Sierra Lakes,2,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,2,>1 family,2 parents,,,,,2012-2013,,
Sierra Lakes,5,>1 family,1 parent/another adult,,,,,2012-2013,,
Sierra Lakes,5,>1 family,2 parents,,,,,2012-2013,,
Miller,9,temp. family/friends,2 parents,,,"R-(S,BP,C,SS)",,2012-2013,,
Jurupa Hills,11,group home,relative/friend/other adult,,,,,2012-2013,,
Jurupa Hills,9,>1 family,1 parent,,,,,2012-2013,,
Kaiser,10,temp. family/friends,1 parent,,,,,2012-2013,,
Porter,5,>1 family,1 parent/another adult,,,,,2012-2013,,
Oleander,K,temp. family/friends,1 parent,,,,,2012-2013,,
Binks,K,>1 family,1 parent,,,,,2012-2013,,
Mango,2,>1 family,relative/friend/other adult,,,,,2012-2013,,
Almeria,8,temp. family/friends,1 parent,,,,,2012-2013,,
Oleander,2,temp. family/friends,1 parent,,,,,2012-2013,,
Juniper,4,temp. family/friends,1 parent,,,,,2012-2013,,
Locust,6,>1 family,1 parent,,,,,2012-2013,,
Juniper,1,temp. family/friends,2 parents,,,,,2012-2013,,
Truman,8,>1 family,1 parent,,,,,2012-2013,,
Oleander,K,temp. family/friends,1 parent,,,,,2012-2013,,
Hemlock,5,temp. family/friends,2 parents,,X,,,2012-2013,,
Southridge,8,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Oak Park,3,temp. family/friends,2 parents,,,,,2012-2013,,
Jurupa Hills,9,>1 family,1 parent,,,,,2012-2013,,
Fohi,10,temp. family/friends,1 parent,,,,,2012-2013,,
Palmetto,2,>1 family,2 parents,Yes,,,,2012-2013,,
Maple,2,temp. family/friends,2 parents,,,,,2012-2013,,
Maple,K,temp. family/friends,2 parents,,,,,2012-2013,,
Summit,10,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Summit,9,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Southridge,6,temp. family/friends,1 parent,,,,,2012-2013,,
Kaiser,12,>1 family,1 parent,,X,AGE: 19,,2012-2013,,
Miller,9,temp. family/friends,2 parents,,,,,2012-2013,,
S. Tamarind,4,>1 family,1 parent,Yes,,,,2012-2013,,
Oleander,K,>1 family,1 parent,Yes,,,,2012-2013,,
Southridge,8,>1 family,1 parent,,,,,2012-2013,,
Oleander,3,>1 family,1 parent,Yes,,,,2012-2013,,
Summit,9,>1 family,2 parents,,,,,2012-2013,,
Summit,11,temp. family/friends,2 parents,,,,,2012-2013,,
Maple,K,foster child,relative/friend/other adult,,,,,2012-2013,,
Live Oak,4,>1 family,1 parent/another adult,,,,,2012-2013,,
W. Randall,EC,>1 family,2 parents,,,AGE: 3,,2012-2013,,
Porter,4,>1 family,2 parents,,,"C,BP,S,SS",,2012-2013,,
Porter,2,temp. family/friends,2 parents,,,"C,S,BP,SS",,2012-2013,,
Redwood,2,temp. family/friends,2 parents,,,,,2012-2013,,
Sequoia,8,temp. family/friends,2 parents,,,,,2012-2013,,
Grant,2,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Truman,8,foster child,relative/friend/other adult,,,,,2012-2013,,
Jurupa Hills,12,>1 family,2 parents,,,,,2012-2013,,
Kaiser,12,>1 family,1 parent,,X,AGE: 19,,2012-2013,,
Miller,11,motel/hotel,2 parents,,,"B, R (S,C), H",,2012-2013,,
Kaiser,10,unaccompanied youth,relative/friend/other adult,,,drop 11/30/12,,2012-2013,,
Fohi,10,unaccompanied youth,relative/friend/other adult,,,504,,2012-2013,,
Grant,3,>1 family,relative/friend/other adult,,,,,2012-2013,,
Miller,12,foster child,relative/friend/other adult,Yes,,,,2012-2013,,
Almeria,6,temp. family/friends,2 parents,,,,,2012-2013,,
Almeria,7,temp. family/friends,2 parents,,,,,2012-2013,,
Miller,12,other,relative/friend/other adult,Yes,,,,2012-2013,,
Jurupa Hills,12,>1 family,2 parents,,,,,2012-2013,,
Truman,6,>1 family,1 parent/another adult,,,,,2012-2013,,
Tokay,K,>1 family,relative/friend/other adult,,,,,2012-2013,,
Tokay,K,>1 family,relative/friend/other adult,,,,,2012-2013,,
Sierra Lakes,2,>1 family,1 parent,,,,,2012-2013,,
Sierra Lakes,K,>1 family,1 parent,,,,,2012-2013,,
Date,K,>1 family,2 parents,,,,,2012-2013,,
Cypress,K,foster child,relative/friend/other adult,,,drop 11/16/12,,2012-2013,,
Cypress,2,foster child,relative/friend/other adult,,,drop 11/16/12,,2012-2013,,
Chaparral,3,foster child,relative/friend/other adult,,,drop 11/26/12,,2012-2013,,
Summit,9,temp. family/friends,2 parents,,,,,2012-2013,,
Sequoia,8,>1 family,1 parent,,,,,2012-2013,,
Shadow Hills,K,>1 family,2 parents,Yes,,,,2012-2013,,
Shadow Hills,5,>1 family,2 parents,Yes,,,,2012-2013,,
Jurupa Hills,11,group home,relative/friend/other adult,,,,,2012-2013,,
Fohi,9,>1 family,1 parent,,,,,2012-2013,,
Ruble,8,foster child,relative/friend/other adult,,,,,2012-2013,,
Truman,7,>1 family,2 parents,,,,,2012-2013,,
Truman,8,>1 family,2 parents,,,,,2012-2013,,
Summit,12,>1 family,1 parent,,,,,2012-2013,,
Redwood,2,>1 family,2 parents,Yes,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
S. Tamarind,K,temp. family/friends,1 parent,,,,,2012-2013,,
Palmetto,K,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,other,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent,Yes,X,,,2012-2013,,
Sequoia,7,>1 family,1 parent,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,Yes,,,,2012-2013,,
Sequoia,7,>1 family,2 parents,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent/another adult,,,,,2012-2013,,
Chaparral,3,temp. family/friends,2 parents,Yes,X,"R (C,S)",,2012-2013,,
Chaparral,EC,temp. family/friends,2 parents,,,"AGE:4 R (C,S)",,2012-2013,,
W. Randall,1,>1 family,1 parent,,,,,2012-2013,,
Truman,7,temp. family/friends,2 parents,,,,,2012-2013,,
Tokay,K,>1 family,2 parents,,,,,2012-2013,,
Citrus,2,>1 family,1 parent,Yes,,,,2012-2013,,
Citrus,1,>1 family,1 parent,Yes,,,,2012-2013,,
Citrus,3,>1 family,1 parent,Yes,,,,2012-2013,,
Cypress,2,>1 family,1 parent,,,,,2012-2013,,
Cypress,2,>1 family,1 parent,,,,,2012-2013,,
Grant,5,foster child,relative/friend/other adult,Yes,X,,,2012-2013,,
Live Oak,6,>1 family,1 parent,,,,,2012-2013,,
Maple,3,temp. family/friends,1 parent,Yes,,,,2012-2013,,
N. Tamarind,5,foster child,relative/friend/other adult,Yes,,,,2012-2013,,
Oleander,1,>1 family,1 parent,,,,,2012-2013,,
Porter,TK,foster child,relative/friend/other adult,,,,,2012-2013,,
Porter,3,>1 family,1 parent,,,,,2012-2013,,
Primrose,K,>1 family,1 parent/another adult,,,,,2012-2013,,
W. Randall,K,>1 family,1 parent,,,,,2012-2013,,
Almeria,6,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Southridge,8,>1 family,relative/friend/other adult,,,,,2012-2013,,
Southridge,6,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Ruble,6,temp. family/friends,2 parents,,,,,2012-2013,,
Truman,6,>1 family,2 parents,Yes,,,,2012-2013,,
Truman,8,>1 family,2 parents,Yes,,,,2012-2013,,
Truman,8,group home,relative/friend/other adult,,,,,2012-2013,,
Fontana MS,6,temp. family/friends,1 parent,,X,,,2012-2013,,
Miller,9,temp. family/friends,1 parent,,,,,2012-2013,,
Summit,10,>1 family,1 parent,,,,,2012-2013,,
Summit,11,foster child,relative/friend/other adult,Yes,,,,2012-2013,,
Kaiser,11,foster child,relative/friend/other adult,Yes,,,,2012-2013,,
Alder,7,temp. family/friends,2 parents,,,"R-( c), SS, BP, PE,B  ",,2012-2013,,
Truman,7,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Truman,6,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Southridge,7,>1 family,1 parent/another adult,,,,,2012-2013,,
Southridge,8,>1 family,1 parent,Yes,,,,2012-2013,,
Sequoia,7,>1 family,1 parent,,,,,2012-2013,,
Sequoia,8,>1 family,1 parent,,,,,2012-2013,,
Ruble,6,>1 family,1 parent,Yes,,,,2012-2013,,
Almeria,6,>1 family,2 parents,,,,,2012-2013,,
Almeria,7,>1 family,2 parents,,,,,2012-2013,,
Almeria,8,>1 family,2 parents,,,,,2012-2013,,
Almeria,8,>1 family,2 parents,Yes,X,,,2012-2013,,
Almeria,7,>1 family,1 parent,Yes,,,,2012-2013,,
Alder,6,temp. family/friends,1 parent,,,,,2012-2013,,
Alder,6,>1 family,1 parent,,,,,2012-2013,,
Summit,11,>1 family,1 parent,,,,,2012-2013,,
Miller,12,other,relative/friend/other adult,,,,,2012-2013,,
Kaiser,11,foster child,relative/friend/other adult,,,,,2012-2013,,
Kaiser,12,"car, park, campsite",relative/friend/other adult,,,,,2012-2013,,
Jurupa Hills,11,group home,relative/friend/other adult,,,,,2012-2013,,
Jurupa Hills,12,foster child,relative/friend/other adult,Yes,,,,2012-2013,,
Fohi,12,temp. family/friends,1 parent,Yes,,,,2012-2013,,
Fohi,10,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Fohi,11,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Fohi,10,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Redwood,6,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Tokay,3,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Tokay,1,>1 family,2 parents,Yes,,,,2012-2013,,
Tokay,5,>1 family,1 parent,Yes,X,,,2012-2013,,
Tokay,5,>1 family,2 parents,,,,,2012-2013,,
Tokay,5,>1 family,1 parent,,,,,2012-2013,,
Tokay,5,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
S. Tamarind,1,>1 family,1 parent,Yes,,,,2012-2013,,
S. Tamarind,4,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
S. Tamarind,1,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Redwood,1,>1 family,1 parent,,,,,2012-2013,,
Redwood,6,>1 family,1 parent,,,,,2012-2013,,
Redwood,2,>1 family,1 parent,Yes,,,,2012-2013,,
Redwood,1,>1 family,1 parent,,,,,2012-2013,,
Primrose,2,temp. family/friends,2 parents,,,,,2012-2013,,
Primrose,EC,>1 family,2 parents,,,AGE: 3,,2012-2013,,
Porter,3,>1 family,1 parent,,,,,2012-2013,,
Poplar,2,>1 family,2 parents,,,,,2012-2013,,
Poplar,4,>1 family,2 parents,,,,,2012-2013,,
Poplar,2,>1 family,2 parents,Yes,,,,2012-2013,,
Palmetto,5,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Palmetto,2,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Palmetto,5,temp. family/friends,1 parent,,,,,2012-2013,,
Palmetto,K,temp. family/friends,1 parent,,,,,2012-2013,,
Oleander,3,temp. family/friends,1 parent,,,,,2012-2013,,
N. Tamarind,EC,>1 family,2 parents,,,,,2012-2013,,
Mango,K,>1 family,1 parent,Yes,,,,2012-2013,,
Locust,2,>1 family,2 parents,Yes,,,,2012-2013,,
Locust,K,>1 family,1 parent/another adult,,,,,2012-2013,,
Locust,1,>1 family,1 parent/another adult,,,,,2012-2013,,
Locust,4,>1 family,2 parents,Yes,,,,2012-2013,,
Live Oak,4,temp. family/friends,1 parent/another adult,,,,,2012-2013,,
Live Oak,4,>1 family,relative/friend/other adult,,,,,2012-2013,,
Hemlock,5,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Cypress,1,>1 family,2 parents,Yes,,,,2012-2013,,
Cypress,5,temp. family/friends,2 parents,,,,,2012-2013,,
Chaparral,1,temp. family/friends,1 parent,Yes,,,,2012-2013,,
Chaparral,1,temp. family/friends,2 parents,,,,,2012-2013,,
Chaparral,2,>1 family,2 parents,,,,,2012-2013,,
Chaparral,5,>1 family,2 parents,,,,,2012-2013,,
Canyon Crest,5,temp. family/friends,2 parents,,,,,2012-2013,,
Canyon Crest,1,>1 family,1 parent/another adult,,,,,2012-2013,,
Beech,K,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Almond,4,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Almond,2,>1 family,1 parent,,,,,2012-2013,,
Summit,12,>1 family,1 parent,,,,,2012-2013,,
Miller,9,temp. family/friends,1 parent,Yes,X,,,2012-2013,,
Miller,11,>1 family,1 parent/another adult,,,,,2012-2013,,
Kaiser,11,temp. family/friends,1 parent,,,,,2012-2013,,
Citrus HS,11,motel/hotel,1 parent,Yes,,,,2012-2013,,
Truman,7,temp. family/friends,1 parent,,,,,2012-2013,,
Southridge,8,>1 family,1 parent/another adult,,,,,2012-2013,,
Southridge,8,>1 family,1 parent/another adult,,,,,2012-2013,,
Sequoia,8,>1 family,relative/friend/other adult,,,,,2012-2013,,
Sequoia,7,>1 family,1 parent,,,,,2012-2013,,
Almeria,8,>1 family,2 parents,Yes,,,,2012-2013,,
Almeria,8,>1 family,1 parent,,,,,2012-2013,,
Primrose,K,temp. family/friends,2 parents,,,,,2012-2013,,
Primrose,1,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Live Oak,1,temp. family/friends,1 parent,Yes,,,,2012-2013,,
Juniper,K,>1 family,1 parent,,,,,2012-2013,,
Grant,K,>1 family,1 parent,,,,,2012-2013,,
Grant,5,>1 family,1 parent,Yes,,,,2012-2013,,
Date,3,>1 family,1 parent,,,,,2012-2013,,
Date,4,>1 family,1 parent,,,,,2012-2013,,
Citrus,1,>1 family,1 parent,,,,,2012-2013,,
Binks,2,temp. family/friends,1 parent,,,,,2012-2013,,
Sierra Lakes,2,>1 family,1 parent,Yes,,,,2012-2013,,
Cypress,2,>1 family,1 parent/another adult,,,,,2012-2013,,
N. Tamarind,2,temp. family/friends,1 parent,Yes,,,,2012-2013,,
Oleander,3,>1 family,2 parents,,,,,2012-2013,,
Oleander,K,>1 family,2 parents,,,,,2012-2013,,
S. Tamarind,1,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Shadow Hills,TK,shelter/transitional housing,1 parent,,,,,2012-2013,,
Jurupa Hills,10,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Jurupa Hills,12,>1 family,relative/friend/other adult,,X,,,2012-2013,,
Kaiser,11,temp. family/friends,2 parents,,,,,2012-2013,,
Kaiser,11,>1 family,2 parents,,,,,2012-2013,,
N. Tamarind,3,temp. family/friends,1 parent,,,,,2012-2013,,
Sierra Lakes,5,temp. family/friends,1 parent/another adult,Yes,,,,2012-2013,,
Kaiser,10,>1 family,1 parent,,,,,2012-2013,,
Kaiser,11,>1 family,1 parent,,,,,2012-2013,,
Almeria,7,"car, park, campsite",2 parents,Yes,,,,2012-2013,,
Sequoia,7,temp. family/friends,relative/friend/other adult,Yes,,,,2012-2013,,
Sequoia,8,>1 family,1 parent,,,,,2012-2013,,
Jurupa Hills,9,temp. family/friends,1 parent,Yes,X,,,2012-2013,,
Jurupa Hills,10,temp. family/friends,2 parents,,,,,2012-2013,,
Summit,10,>1 family,1 parent,,,,,2012-2013,,
Summit,12,>1 family,1 parent,,,,,2012-2013,,
W. Randall,1,temp. family/friends,1 parent/another adult,Yes,,,,2012-2013,,
Jurupa Hills,9,>1 family,1 parent,,,,,2012-2013,,
Almeria,6,"car, park, campsite",2 parents,Yes,X,,,2012-2013,,
Locust,4,>1 family,1 parent,,,,,2012-2013,,
Shadow Hills,EC,foster child,relative/friend/other adult,,,E,,2012-2013,,
Hemlock,2,temp. family/friends,2 parents,,,,,2012-2013,,
Hemlock,K,temp. family/friends,2 parents,,,,,2012-2013,,
Almond,1,motel/hotel,2 parents,,,"B, F",,2012-2013,,
Almond,1,motel/hotel,2 parents,,,"B, F",,2012-2013,,
Ruble,6,>1 family,2 parents,,,,,2012-2013,,
Ruble,8,>1 family,1 parent,,,,,2012-2013,,
Truman,7,temp. family/friends,2 parents,,,,,2012-2013,,
Fohi,9,>1 family,1 parent/another adult,,,,,2012-2013,,
Fohi,12,>1 family,relative/friend/other adult,Yes,,,,2012-2013,,
Fohi,9,>1 family,relative/friend/other adult,Yes,,,,2012-2013,,
Jurupa Hills,9,>1 family,2 parents,Yes,,,,2012-2013,,
Kaiser,11,>1 family,2 parents,,,,,2012-2013,,
Kaiser,9,>1 family,1 parent,Yes,,,,2012-2013,,
Jurupa Hills,11,temp. family/friends,2 parents,,,,,2012-2013,,
Jurupa Hills,12,temp. family/friends,relative/friend/other adult,,,,,2012-2013,,
Miller,11,>1 family,2 parents,,,,,2012-2013,,
Miller,9,>1 family,2 parents,Yes,,,,2012-2013,,
Miller,10,>1 family,2 parents,,,,,2012-2013,,
Miller,11,>1 family,2 parents,Yes,,,,2012-2013,,
Summit,10,>1 family,2 parents,,,,,2012-2013,,
Maple,3,temp. family/friends,2 parents,Yes,,,,2012-2013,,
Miller,9,temp. family/friends,1 parent,Yes,,,,2012-2013,,
Fohi,11,"car, park, campsite",1 parent,Yes,X,,,2012-2013,,
Sierra Lakes,1,temp. family/friends,2 parents,,X,,,2012-2013,,
Porter,K,temp. family/friends,2 parents,,,,,2012-2013,,
Fohi,12,>1 family,relative/friend/other adult,,,504 Plan,,2012-2013,,
Fohi,9,temp. family/friends,1 parent/another adult,,X,,,2012-2013,,
Fohi,12,>1 family,relative/friend/other adult,,X,,,2012-2013,,
FUSD,2,temp. family/friends,2 parents,,X,,,2012-2013,,
Tokay,3,>1 family,1 parent/another adult,Yes,,,,2012-2013,,
Tokay,3,>1 family,2 parents,Yes,X,,,2012-2013,,
Tokay,3,temp. family/friends,2 parents,Yes,X,,,2012-2013,,
Tokay,K,>1 family,1 parent,,,,,2012-2013,,
Tokay,K,temp. family/friends,1 parent,,,,,2012-2013,,
Tokay,1,>1 family,1 parent,,,,,2012-2013,,
Tokay,2,>1 family,1 parent,Yes,,,,2012-2013,,
Tokay,2,>1 family,1 parent,Yes,,,,2012-2013,,
Tokay,4,>1 family,1 parent,,,,,2012-2013,,
Tokay,3,>1 family,1 parent,,,,,2012-2013,,
Tokay,4,>1 family,2 parents,Yes,,,,2012-2013,,
Tokay,5,>1 family,2 parents,Yes,X,,,2012-2013,,
Tokay,5,>1 family,2 parents,Yes,,,,2012-2013,,
Tokay,4,"car, park, campsite",2 parents,Yes,X,,,2012-2013,,
Tokay,3,>1 family,1 parent,,,,,2012-2013,,
Tokay,1,>1 family,1 parent/another adult,,,,,2012-2013,,
Tokay,2,>1 family,1 parent,,,,,2012-2013,,
Juniper,1,temp. family/friends,1 parent,,,,,2012-2013,,
Juniper,4,temp. family/friends,1 parent,Yes,,,,2012-2013,,
S. Tamarind,1,>1 family,1 parent,,,,,2012-2013,,
S. Tamarind,3,>1 family,2 parents,Yes,,,,2012-2013,,
