School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Date,2,> 1 family,2 parents,,,,,2010-2011,,
Oleander,K,> 1 family,1 parent,,,,,2010-2011,,
West Randall,3,> 1 family,unknown,,,,,2010-2011,,
Almeria,7,Other,2 parents,,,,,2010-2011,,
Citrus,2,> 1 family,2 parents,,,,,2010-2011,,
Oleander,3,> 1 family,2 parents,,,,,2010-2011,,
Sierra Lakes,1,temp w/fiends or family,2 parents,,,,,2010-2011,,
Cypress,K,friends or family,1 parent,,,,,2010-2011,,
Fontana M.S.,8,> 1 family,1 parent,,,,,2010-2011,,
Randall Pepper,4,> 1 family,1 parent,,,,,2010-2011,,
Randall Pepper,3,> 1 family,1 parent,,,,,2010-2011,,
FMS,6,>1 family,2 parents,,,,,2010-2011,,
Date,4,> 1 family,2 parents,,,,,2010-2011,,
Shadow Hills,1,friends or family,1 parent & another adult,,,,,2010-2011,,
Randall Pepper,2,friends or family,2 parents,,,,,2010-2011,,
S. Tamarind,K,> 1 family,2 parents,,,,,2010-2011,,
Shadow Hills,K,friends or family,1 parent & another adult,,,,,2010-2011,,
Randall Pepper,K,> 1 family,2 parents,,,,,2010-2011,,
Sequoia,7,> 1 family,relative/another adult,,,,,2010-2011,,
Porter,3,> 1 family,1 parent,,,,,2010-2011,,
Ruble,8,> 1 family,1 parent,,,,,2010-2011,,
Date,4,> 1 family,1 parent,,,,,2010-2011,,
Date,4,friends or family,2 parents,,,,,2010-2011,,
Date,K,friends or family,2 parents,,,,,2010-2011,,
Oleander,4,> 1 family,2 parents,,,,,2010-2011,,
Date,4,> 1 family,1 parent,,,,,2010-2011,,
Date,5,> 1 family,2 parents,,,,,2010-2011,,
Fohi,12,friends or family,1 parent,,,,,2010-2011,,
Kaiser H.S.,11,> 1 family,2 parents,,,,,2010-2011,,
Fohi,10,friends or family,1 parent,,,,,2010-2011,,
Ruble,7,in a foster care,relative/another adult,,,,,2010-2011,,
Almeria,6,friends or family,1 parent,,,,,2010-2011,,
Shadow Hills,4,friends or family,2 parents,,,,,2010-2011,,
Date,K,friends or family,1 parent,,,,,2010-2011,,
Oleander,K,> 1 family,2 parents,,,,,2010-2011,,
Randall Pepper,2,> 1 family,2 parents,,,,,2010-2011,,
Randall Pepper,K,> 1 family,2 parents,,,,,2010-2011,,
Almeria,8,friends or family,1 parent,,,,,2010-2011,,
Poplar,K,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,11,friends or family,2 parents,,,,,2010-2011,,
Kaiser H.S.,11,friends or family,1 parent,,,,,2010-2011,,
Alder,8,> 1 family,2 parents,,,,,2010-2011,,
Southridge,8,friends or family,2 parents,,,,,2010-2011,,
Porter,2,> 1 family,2 parents,,,,,2010-2011,,
Sierra Lakes,K,>1 family,2 parents,,,,,2010-2011,,
Oak Park,1,> 1 family,1 parent,,,,,2010-2011,,
Juniper,3,"in a car, trailer park, or campsite",2 parents,,,,,2010-2011,,
Southridge,8,> 1 family,2 parents,,,,,2010-2011,,
Oak Park,3,> 1 family,2 parents,,,,,2010-2011,,
Southridge,8,friends or family,2 parents,,,,,2010-2011,,
Alder,8,> 1 family,2 parents,,,,,2010-2011,,
A.B. Miller,9,> 1 family, 1 parent,,,,,2010-2011,,
Porter,4,"in a car, trailer park, or campsite",2 parents,,,,,2010-2011,,
Redwood,3,in a permanent house or apartment,2 parents,,,,,2010-2011,,
Alder,6,friends or family,2 parents,,,,,2010-2011,,
Shadow Hills,1,unk,unknown,,,,,2010-2011,,
