year,jsid_ois_count,icd counts
2001,78,11
2002,82,13
2003,85,12
2004,116,9
2005,95,12
2006,87,13
2007,89,11
2008,88,6
2009,86,12
2010,76,8
2011,108,6
2012,89,10
2013,111,8
2014,74,9
2015,89,10
2016,89,4
2017,78,7
