id,furn_type,address,permit_issued,installed,lat,lon
706,Shelter ,5102 S. Western Ave  NB Western Ave NS 51st St,Yes,,33.996633,-118.308561
707,Shelter ,5323 S. Western Ave  SB Western Ave NS 54th St.,Yes,,33.9935993,-118.3094199
708,Shelter ,5323 S. Western Ave WB 54th St. FS Western,Yes ,Yes,33.9935993,-118.3094199
709,Shelter ,6307 S. Western Ave.  SB Western Ave NS Gage Ave,Yes,,33.9822454,-118.3091928
710,Shelter ,1700 W. Gage Ave.  WB Gage Ave.  NS Western Ave,Yes ,Yes,33.982093,-118.306952
711,Shelter ,1700 W. Gage Ave.  EB Gage Ave. FS Western,Yes,,33.982093,-118.306952
712,Shelter ,7201 S. Western Ave  EB Florence Ave NS Western,Yes,,33.9742873,-118.3092713
713,Shelter ,7126 S. Western Ave  WB Florence Ave NS Western,Yes ,Yes,33.9747438,-118.3087915
714,Shelter ,8222 S. Western Ave  NB Western Ave FS 83rd St.,Yes,,33.9639194,-118.308992
715,Shelter ,8811 S. Western Ave  SB Western Ave NS 89th St,Yes ,Yes,33.9576584,-118.3097171
716,Shelter ,9200 S. Western Ave  NB Western Ave NS 92nd St.,Yes ,Yes,33.952695,-118.3089871
717,Shelter ,9500 S. Western Ave  SB Western Ave NS 96th,Yes ,Yes,33.949756,-118.308643
718,Shelter ,1763 Century Bl  WB Century Bl  NS Western Ave,Yes ,Yes,33.9457083,-118.3085953
719,Shelter ,1800 W. Century Bl  EB Century Bl NS Western Ave,Yes,,33.9454404,-118.3090185
720,Shelter ,9800 S. Western Ave  SB Western Ave NS Century Bl,Yes ,Yes,33.946465,-118.308644
721,Shelter ,1975 W. Century Bl  WB Century Bl  NS Gramercy Pl,Yes ,Yes,33.9454727,-118.3097669
722,Shelter ,2163 W. Century Bl  NB Ven Ness Ave FS Century Bl,Yes,,33.945854,-118.3175161
723,Shelter ,9530 Van Ness Ave  NB Van Ness Ave FS 96th St,Yes,,33.9495351,-118.3176956
724,Shelter ,2157 Manchester Ave  NB Van Ness Ave FS Manchester,Yes ,Yes,33.9601967,-118.3175168
725,Shelter ,2172 W. Florence Ave  NB Van Ness Ave  NS Florence Ave,Yes,,33.974305,-118.317436
726,Shelter ,2172 W. Florence Ave EB Florence Ave FS Van Ness Ave,Yes ,Yes,33.974305,-118.317436
727,Shelter ,3200 W. 54th St.  EB 54th St NS 10th Ave,Yes,,33.9931221,-118.3281698
728,Shelter ,5401 10th Ave  SB 10th Ave FS 54th St,Yes,,33.9929125,-118.3285142
729,Shelter ,4330 S. Crenshaw Bl  NB Crenshaw Bl FS 43rd Pl,Yes ,Yes,34.0045854,-118.3326063
730,Shelter ,1300 W. Adams  EB Adams FS Vermont,Yes,,34.0327468,-118.2890068
731,Shelter ,4700 S. La Brea  NB La Brea NS Don Lorenzo Dr.,Yes ,Yes,34.0036619,-118.3585615
732,Shelter ,5800 S. Western SB Western FS Slauson,Yes ,Yes,33.989567,-118.308591
733,Shelter ,3602 W. Slauson Ave.  EB Slauson Ave. NS West Bl.,Yes,,33.9888951,-118.3356268
734,Shelter ,1950 W. Slauson Ave.  EB Slauson Ave. NS Ruthelen St.,Yes,,33.9889123,-118.312857
735,Shelter ,1540 W. Slauson Ave.  EB Slauson Ave. NS Denker,Yes,,33.9891163,-118.3038734
736,Shelter ,4000 S. Fig NB Fig NS MLK,Yes ,Yes,34.0105453,-118.2821788
737,Shelter ,4001 S. Figueroa St SB Figueroa FS Martin Luther King,Yes,,34.0108903,-118.2830434
738,Shelter ,800 W MLK Bl EB MLK NS Hoover,Yes,,34.010743,-118.287718
739,Shelter ,3400 S. Figueroa EB Jefferson FS Fig,Yes,,34.0207571,-118.2798715
740,Shelter ,WB 1st St. NS Broadway,Yes ,Yes,34.0536395,-118.2455431
741,Shelter ,WB 1st St NS Hope St,Yes,,34.0564195,-118.2498956
742,Shelter ,888 S. Figueroa NB Fig FS 9th St,Yes,,34.0465475,-118.2619062
743,Shelter ,808 W. James M Wood EB James Wood NS Figueroa,Yes ,Yes,34.046155,-118.263321
744,Shelter ,725 S. Figueroa EB 7th St NS Fig,Yes,,34.0494692,-118.2607851
745,Shelter ,1158 S. Main St NB Main FS 12th,Yes ,Yes,34.037508,-118.258928
746,Shelter ,524 W. Adams Bl NB Fig NS Adams,Yes,,34.027627,-118.275932
747,Shelter ,301 W. Washington Bl  WB Washington FS Grand Ave,Yes,,34.0327877,-118.2682622
748,Shelter ,3584 Figueroa St NB Fig FS 37th,Yes ,Yes,34.018691,-118.2815957
749,Shelter ,3976 S. Figueroa WB MLK NS Fig,Yes ,Yes,34.011575,-118.282197
750,Shelter ,200 N. Spring St  NB Spring St Locted Mid Blk bet. 1St St & Temple,Yes ,Yes,34.0537126,-118.2428145
751,Shelter ,EB 1st St FS Grand Ave,Yes,,34.055699,-118.2487391
752,Shelter ,317S Olive St @ Midblock bet. Kosciuszko Way and 4th,Yes,,34.0521278,-118.2503589
753,Shelter ,111 N. Hope St. SB Hope St. FS Temple St,Yes,,34.0580643,-118.2495378
754,Shelter ,801 W. Temple St.  WB Temple St FS Figueroa St,Yes ,Yes,34.060201,-118.248427
755,Shelter ,600 W. 7th St. EB 7th St. NS Grand Ave,Yes,,34.047322,-118.2574494
756,Shelter ,617 W. 7th St. WB 7th St. NS Hope St.,Yes,,34.0479689,-118.2572002
757,Shelter ,612 Flower St. EB 6th St. FS Flower St.,Yes,,34.049547,-118.2574766
758,Shelter ,NB Olive NS 5th St.,Yes,,34.0494837,-118.2528628
759,Shelter ,601 W. 6th St.  SB Grand NS 6th St.,Yes,,34.0489997,-118.2554062
760,Shelter ,225 N. Los Angeles St  SB LA St @ Mid Blk bet. Aliso & Temple,Yes,,34.0536228,-118.240737
761,Shelter ,925 7th St WB 7th St NS Francisco St,Yes,,34.0498859,-118.2636686
762,Shelter ,445 S. Fig EB 4th St. NS Figueroa St.,Yes,,34.053263,-118.2570036
