LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,856,4722
CITY OF DOWNEY,N,0,VBM PORTION,3452,646,2506
CITY OF DOWNEY,N,54713,TOTAL,9292,1502,7228
