LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,192,906
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,151,874
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,343,1780
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,407,1665
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,312,1575
CITY OF ALHAMBRA,N,37025,TOTAL,5368,719,3240
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,259,1465
CITY OF ARCADIA,N,0,VBM PORTION,3054,286,1759
CITY OF ARCADIA,N,29165,TOTAL,5433,545,3224
CITY OF ARTESIA,N,7390,POLLING PLACE,555,94,295
CITY OF ARTESIA,N,0,VBM PORTION,596,56,362
CITY OF ARTESIA,N,7390,TOTAL,1149,150,657
CITY OF AVALON,N,1730,POLLING PLACE,190,21,112
CITY OF AVALON,N,0,VBM PORTION,184,8,109
CITY OF AVALON,N,1730,TOTAL,374,29,221
CITY OF AZUSA,N,18442,POLLING PLACE,1308,176,794
CITY OF AZUSA,N,0,VBM PORTION,1201,141,791
CITY OF AZUSA,N,18442,TOTAL,2508,317,1585
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,246,1089
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,209,895
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,455,1984
CITY OF BELL,N,11175,POLLING PLACE,618,118,370
CITY OF BELL,N,0,VBM PORTION,349,56,215
CITY OF BELL,N,11175,TOTAL,966,174,585
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,106,318
CITY OF BELL GARDENS,N,0,VBM PORTION,316,52,214
CITY OF BELL GARDENS,N,12887,TOTAL,855,158,532
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,297,1344
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,231,1232
CITY OF BELLFLOWER,N,34364,TOTAL,4019,528,2576
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,308,1040
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,307,1232
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,615,2272
CITY OF BRADBURY,N,599,POLLING PLACE,66,9,45
CITY OF BRADBURY,N,0,VBM PORTION,67,3,45
