LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LING-LING CHANG,PHILLIP CHEN,GREGG D FRITCHLE,STEVE TYE
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,559,360,663,962
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,731,438,683,953
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,1290,798,1346,1915
CITY OF INDUSTRY,N,6,POLLING PLACE,0,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,1,1,0,0,0
CITY OF INDUSTRY,N,6,TOTAL,1,1,0,0,0
CITY OF WALNUT,N,18002,POLLING PLACE,1247,235,273,431,228
CITY OF WALNUT,N,0,VBM PORTION,1658,464,391,423,266
CITY OF WALNUT,N,18002,TOTAL,2905,699,664,854,494
CITY OF WEST COVINA,N,13963,POLLING PLACE,887,197,145,347,131
CITY OF WEST COVINA,N,0,VBM PORTION,1150,298,182,401,162
CITY OF WEST COVINA,N,13963,TOTAL,2035,495,327,748,293
UNINCORPORATED,N,25841,POLLING PLACE,1671,440,285,547,285
UNINCORPORATED,N,0,VBM PORTION,2417,756,501,627,369
UNINCORPORATED,N,25841,TOTAL,4084,1196,786,1174,654
