LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOAN M CHROSTEK,EMMA CASTRO
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,595,529
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,648,418
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1243,947
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,966,1164
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,967,984
CITY OF ALHAMBRA,N,37025,TOTAL,5368,1933,2148
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1008,731
CITY OF ARCADIA,N,0,VBM PORTION,3054,1287,793
CITY OF ARCADIA,N,29165,TOTAL,5433,2295,1524
CITY OF ARTESIA,N,7390,POLLING PLACE,555,195,205
CITY OF ARTESIA,N,0,VBM PORTION,596,224,190
CITY OF ARTESIA,N,7390,TOTAL,1149,419,395
CITY OF AVALON,N,1730,POLLING PLACE,190,72,56
CITY OF AVALON,N,0,VBM PORTION,184,74,48
CITY OF AVALON,N,1730,TOTAL,374,146,104
CITY OF AZUSA,N,18442,POLLING PLACE,1308,537,483
CITY OF AZUSA,N,0,VBM PORTION,1201,590,342
CITY OF AZUSA,N,18442,TOTAL,2508,1127,825
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,569,800
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,487,614
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1056,1414
CITY OF BELL,N,11175,POLLING PLACE,618,188,312
CITY OF BELL,N,0,VBM PORTION,349,132,143
CITY OF BELL,N,11175,TOTAL,966,320,455
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,138,289
CITY OF BELL GARDENS,N,0,VBM PORTION,316,114,158
CITY OF BELL GARDENS,N,12887,TOTAL,855,252,447
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,919,726
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,825,636
CITY OF BELLFLOWER,N,34364,TOTAL,4019,1744,1362
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,542,774
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,710,845
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,1252,1619
CITY OF BRADBURY,N,599,POLLING PLACE,66,42,12
CITY OF BRADBURY,N,0,VBM PORTION,67,38,12
CITY OF BRADBURY,N,599,TOTAL,133,80,24
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1923,1591
CITY OF BURBANK,N,0,VBM PORTION,4858,2035,1459
CITY OF BURBANK,N,60155,TOTAL,9510,3958,3050
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,519,457
CITY OF CALABASAS,N,0,VBM PORTION,1873,737,549
CITY OF CALABASAS,N,14914,TOTAL,3327,1256,1006
CITY OF CARSON,N,52903,POLLING PLACE,5087,2291,1703
CITY OF CARSON,N,0,VBM PORTION,4089,1631,1580
CITY OF CARSON,N,52903,TOTAL,9175,3922,3283
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1145,870
CITY OF CERRITOS,N,0,VBM PORTION,3286,1283,931
CITY OF CERRITOS,N,31594,TOTAL,6062,2428,1801
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1013,1196
CITY OF CLAREMONT,N,0,VBM PORTION,2652,939,984
CITY OF CLAREMONT,N,22235,TOTAL,5533,1952,2180
CITY OF COMMERCE,N,6256,POLLING PLACE,444,122,226
CITY OF COMMERCE,N,0,VBM PORTION,247,77,129
CITY OF COMMERCE,N,6256,TOTAL,686,199,355
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1519,866
CITY OF COMPTON,N,0,VBM PORTION,1873,759,722
CITY OF COMPTON,N,43063,TOTAL,4894,2278,1588
CITY OF COVINA,N,26090,POLLING PLACE,2040,990,627
CITY OF COVINA,N,0,VBM PORTION,1877,939,501
CITY OF COVINA,N,26090,TOTAL,3913,1929,1128
CITY OF CUDAHY,N,6697,POLLING PLACE,376,124,174
CITY OF CUDAHY,N,0,VBM PORTION,164,54,86
CITY OF CUDAHY,N,6697,TOTAL,539,178,260
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,902,1602
CITY OF CULVER CITY,N,0,VBM PORTION,3120,897,1318
CITY OF CULVER CITY,N,26286,TOTAL,6708,1799,2920
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,1180,783
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1335,849
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,2515,1632
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,2365,2116
CITY OF DOWNEY,N,0,VBM PORTION,3452,1521,1109
CITY OF DOWNEY,N,54713,TOTAL,9292,3886,3225
CITY OF DUARTE,N,11742,POLLING PLACE,960,433,299
CITY OF DUARTE,N,0,VBM PORTION,1099,496,352
CITY OF DUARTE,N,11742,TOTAL,2059,929,651
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,770,1101
CITY OF EL MONTE,N,0,VBM PORTION,1885,665,845
CITY OF EL MONTE,N,36036,TOTAL,4201,1435,1946
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,619,441
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,616,344
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1235,785
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1264,907
CITY OF GARDENA,N,0,VBM PORTION,2597,1087,853
CITY OF GARDENA,N,30000,TOTAL,5358,2351,1760
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,3188,2868
CITY OF GLENDALE,N,0,VBM PORTION,12284,3649,2939
CITY OF GLENDALE,N,97282,TOTAL,21689,6837,5807
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1541,669
CITY OF GLENDORA,N,0,VBM PORTION,2920,1527,657
CITY OF GLENDORA,N,31341,TOTAL,5784,3068,1326
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,118,106
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,114,124
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,232,230
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1113,832
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,920,709
CITY OF HAWTHORNE,N,36483,TOTAL,4464,2033,1541
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,578,625
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,605,522
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1183,1147
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,64,42
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,65,28
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,129,70
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,272,548
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,205,284
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,477,832
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,12,6
CITY OF INDUSTRY,N,103,TOTAL,32,12,6
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,2357,1442
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,1447,1195
CITY OF INGLEWOOD,N,55170,TOTAL,8342,3804,2637
CITY OF IRWINDALE,N,939,POLLING PLACE,75,29,20
CITY OF IRWINDALE,N,0,VBM PORTION,61,18,28
CITY OF IRWINDALE,N,939,TOTAL,135,47,48
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,642,553
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,954,671
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1596,1224
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,190,128
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,279,138
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,469,266
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1224,646
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1173,624
CITY OF LA MIRADA,N,27147,TOTAL,4843,2397,1270
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,321,452
CITY OF LA PUENTE,N,0,VBM PORTION,740,253,350
CITY OF LA PUENTE,N,15802,TOTAL,1699,574,802
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1305,652
CITY OF LA VERNE,N,0,VBM PORTION,2109,1018,577
CITY OF LA VERNE,N,20532,TOTAL,4568,2323,1229
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2276,1262
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,2009,1157
