LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARTURO E ALAS,GRACE F NAPOLITANO
CITY OF AZUSA,N,18442,POLLING PLACE,1308,414,750
CITY OF AZUSA,N,0,VBM PORTION,1201,444,659
CITY OF AZUSA,N,18442,TOTAL,2508,858,1409
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,325,1147
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,265,958
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,590,2105
CITY OF COVINA,N,26090,POLLING PLACE,2040,919,939
CITY OF COVINA,N,0,VBM PORTION,1877,761,973
CITY OF COVINA,N,26090,TOTAL,3913,1680,1912
CITY OF DUARTE,N,11742,POLLING PLACE,960,323,501
CITY OF DUARTE,N,0,VBM PORTION,1099,390,593
CITY OF DUARTE,N,11742,TOTAL,2059,713,1094
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,524,1478
CITY OF EL MONTE,N,0,VBM PORTION,1885,476,1222
CITY OF EL MONTE,N,36036,TOTAL,4201,1000,2700
CITY OF GLENDORA,N,8352,POLLING PLACE,682,322,286
CITY OF GLENDORA,N,0,VBM PORTION,622,280,297
CITY OF GLENDORA,N,8352,TOTAL,1304,602,583
CITY OF INDUSTRY,N,97,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,34,17,13
CITY OF INDUSTRY,N,97,TOTAL,31,17,13
CITY OF IRWINDALE,N,939,POLLING PLACE,75,23,42
CITY OF IRWINDALE,N,0,VBM PORTION,61,13,46
CITY OF IRWINDALE,N,939,TOTAL,135,36,88
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,217,572
CITY OF LA PUENTE,N,0,VBM PORTION,740,186,491
CITY OF LA PUENTE,N,15802,TOTAL,1699,403,1063
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1326,931
CITY OF LA VERNE,N,0,VBM PORTION,2109,1015,937
CITY OF LA VERNE,N,20532,TOTAL,4568,2341,1868
CITY OF MONROVIA,N,17393,POLLING PLACE,1444,569,741
CITY OF MONROVIA,N,0,VBM PORTION,1508,522,858
CITY OF MONROVIA,N,17393,TOTAL,2949,1091,1599
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1067,802
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,929,859
CITY OF SAN DIMAS,N,21257,TOTAL,3989,1996,1661
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1372,1990
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1336,2268
CITY OF WEST COVINA,N,53486,TOTAL,7643,2708,4258
UNINCORPORATED,N,75640,POLLING PLACE,5513,1986,2939
UNINCORPORATED,N,0,VBM PORTION,4402,1565,2499
UNINCORPORATED,N,75640,TOTAL,9898,3551,5438
