LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TERESA P MAGNO,SONGHAI ARMSTEAD
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,3370,2644
CITY OF GLENDALE,N,0,VBM PORTION,12284,3438,3125
CITY OF GLENDALE,N,97282,TOTAL,21689,6808,5769
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1406,814
CITY OF GLENDORA,N,0,VBM PORTION,2920,1215,955
CITY OF GLENDORA,N,31341,TOTAL,5784,2621,1769
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,140,78
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,154,91
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,294,169
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,980,966
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,863,772
CITY OF HAWTHORNE,N,36483,TOTAL,4464,1843,1738
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,547,632
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,533,575
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1080,1207
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,48,52
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,45,46
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,93,98
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,538,238
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,311,165
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,849,403
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,13,6
CITY OF INDUSTRY,N,103,TOTAL,32,13,6
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,1423,2449
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,1115,1549
CITY OF INGLEWOOD,N,55170,TOTAL,8342,2538,3998
CITY OF IRWINDALE,N,939,POLLING PLACE,75,35,12
CITY OF IRWINDALE,N,0,VBM PORTION,61,32,15
CITY OF IRWINDALE,N,939,TOTAL,135,67,27
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,634,555
