LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ELLEN H BROWN,GREG CONLON,JOHN CHIANG
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,14,78,178
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,34,130,352
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,126,468,1584
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,99,536,1225
CITY OF HAWTHORNE,N,36483,TOTAL,4464,225,1004,2809
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,92,544,876
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,80,606,782
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,172,1150,1658
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,3,68,60
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,6,63,48
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,9,131,108
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,113,124,644
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,37,82,411
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,150,206,1055
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,1,20,6
CITY OF INDUSTRY,N,103,TOTAL,32,1,20,6
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,206,282,3896
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,146,253,2719
CITY OF INGLEWOOD,N,55170,TOTAL,8342,352,535,6615
CITY OF IRWINDALE,N,939,POLLING PLACE,75,2,11,41
CITY OF IRWINDALE,N,0,VBM PORTION,61,4,11,40
CITY OF IRWINDALE,N,939,TOTAL,135,6,22,81
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,41,728,710
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,64,1046,949
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,105,1774,1659
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,19,243,132
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,20,319,166
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,39,562,298
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,101,1104,955
CITY OF LA MIRADA,N,0,VBM PORTION,2428,89,1045,1035
CITY OF LA MIRADA,N,27147,TOTAL,4843,190,2149,1990
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,59,185,599
CITY OF LA PUENTE,N,0,VBM PORTION,740,50,154,469
CITY OF LA PUENTE,N,15802,TOTAL,1699,109,339,1068
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,83,1218,909
CITY OF LA VERNE,N,0,VBM PORTION,2109,83,964,858
CITY OF LA VERNE,N,20532,TOTAL,4568,166,2182,1767
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,219,1796,1980
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,194,1614,1959
CITY OF LAKEWOOD,N,48358,TOTAL,8638,413,3410,3939
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,228,2587,2044
CITY OF LANCASTER,N,0,VBM PORTION,6128,324,2910,2375
CITY OF LANCASTER,N,73718,TOTAL,11514,552,5497,4419
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,58,235,485
CITY OF LAWNDALE,N,0,VBM PORTION,697,38,201,402
CITY OF LAWNDALE,N,13398,TOTAL,1522,96,436,887
CITY OF LOMITA,N,11237,POLLING PLACE,1073,57,453,466
CITY OF LOMITA,N,0,VBM PORTION,1050,61,390,513
CITY OF LOMITA,N,11237,TOTAL,2122,118,843,979
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,2138,6802,14705
CITY OF LONG BEACH,N,0,VBM PORTION,25748,1537,7557,14126
CITY OF LONG BEACH,N,254779,TOTAL,52664,3675,14359,28831
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,10284,28291,96349
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,7685,30002,86071
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,17969,58293,182420
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,68,82,708
CITY OF LYNWOOD,N,0,VBM PORTION,754,58,66,553
CITY OF LYNWOOD,N,24503,TOTAL,1711,126,148,1261
CITY OF MALIBU,N,9097,POLLING PLACE,1202,99,328,611
CITY OF MALIBU,N,0,VBM PORTION,1236,50,432,570
CITY OF MALIBU,N,9097,TOTAL,2437,149,760,1181
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,121,1270,1637
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,117,1413,1584
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,238,2683,3221
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,34,36,315
CITY OF MAYWOOD,N,0,VBM PORTION,258,20,16,200
CITY OF MAYWOOD,N,8324,TOTAL,708,54,52,515
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,93,734,816
CITY OF MONROVIA,N,0,VBM PORTION,1919,94,689,934
CITY OF MONROVIA,N,20047,TOTAL,3752,187,1423,1750
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,140,377,1463
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,94,334,1164
CITY OF MONTEBELLO,N,28939,TOTAL,3924,234,711,2627
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,129,446,1486
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,80,511,1829
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,209,957,3315
CITY OF NORWALK,N,47546,POLLING PLACE,2626,182,685,1446
CITY OF NORWALK,N,0,VBM PORTION,2657,158,716,1559
CITY OF NORWALK,N,47546,TOTAL,5277,340,1401,3005
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,288,1999,2261
CITY OF PALMDALE,N,0,VBM PORTION,5361,290,2344,2349
CITY OF PALMDALE,N,69762,TOTAL,10378,578,4343,4610
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,38,643,512
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,41,893,651
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,79,1536,1163
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,75,142,622
CITY OF PARAMOUNT,N,0,VBM PORTION,648,40,119,399
CITY OF PARAMOUNT,N,19999,TOTAL,1576,115,261,1021
CITY OF PASADENA,N,78446,POLLING PLACE,7034,365,1653,4327
CITY OF PASADENA,N,0,VBM PORTION,8408,352,2396,4816
CITY OF PASADENA,N,78446,TOTAL,15431,717,4049,9143
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,135,329,1379
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,116,266,1143
CITY OF PICO RIVERA,N,32447,TOTAL,3746,251,595,2522
CITY OF POMONA,N,57598,POLLING PLACE,3541,277,871,2024
CITY OF POMONA,N,0,VBM PORTION,3368,199,946,1941
CITY OF POMONA,N,57598,TOTAL,6909,476,1817,3965
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,121,1673,1635
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,141,2038,1960
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,262,3711,3595
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,270,1652,2248
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,286,1806,2477
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,556,3458,4725
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,6,174,66
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,7,162,66
CITY OF ROLLING HILLS,N,1510,TOTAL,537,13,336,132
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,22,409,281
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,29,447,360
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,51,856,641
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,99,237,718
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,71,254,859
CITY OF ROSEMEAD,N,20579,TOTAL,2488,170,491,1577
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,88,966,784
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,59,873,822
CITY OF SAN DIMAS,N,21257,TOTAL,3989,147,1839,1606
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,54,128,378
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,39,86,308
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,93,214,686
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,71,396,688
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,53,320,752
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,124,716,1440
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,22,356,335
CITY OF SAN MARINO,N,0,VBM PORTION,1161,23,513,493
CITY OF SAN MARINO,N,8559,TOTAL,1956,45,869,828
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,329,5289,3394
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,516,6382,4784
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,845,11671,8178
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,43,178,377
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,37,144,357
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,80,322,734
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,775,1339,6002
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,473,1368,4474
CITY OF SANTA MONICA,N,62632,TOTAL,16552,1248,2707,10476
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,61,438,566
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,40,418,529
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,101,856,1095
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,47,216,461
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,42,200,408
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,89,416,869
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,45,51,256
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,21,46,253
