LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,261,488
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,229,447
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,490,935
