LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS J FRISCO
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,907
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,844
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1751
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1719
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1600
CITY OF ALHAMBRA,N,37025,TOTAL,5368,3319
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1344
CITY OF ARCADIA,N,0,VBM PORTION,3054,1565
CITY OF ARCADIA,N,29165,TOTAL,5433,2909
CITY OF ARTESIA,N,7390,POLLING PLACE,555,325
CITY OF ARTESIA,N,0,VBM PORTION,596,372
CITY OF ARTESIA,N,7390,TOTAL,1149,697
CITY OF AVALON,N,1730,POLLING PLACE,190,114
CITY OF AVALON,N,0,VBM PORTION,184,94
CITY OF AVALON,N,1730,TOTAL,374,208
CITY OF AZUSA,N,18442,POLLING PLACE,1308,816
CITY OF AZUSA,N,0,VBM PORTION,1201,766
CITY OF AZUSA,N,18442,TOTAL,2508,1582
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,1183
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,969
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,2152
CITY OF BELL,N,11175,POLLING PLACE,618,423
CITY OF BELL,N,0,VBM PORTION,349,245
CITY OF BELL,N,11175,TOTAL,966,668
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,370
CITY OF BELL GARDENS,N,0,VBM PORTION,316,234
CITY OF BELL GARDENS,N,12887,TOTAL,855,604
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1387
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,1234
CITY OF BELLFLOWER,N,34364,TOTAL,4019,2621
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,1025
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,1202
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,2227
CITY OF BRADBURY,N,599,POLLING PLACE,66,49
CITY OF BRADBURY,N,0,VBM PORTION,67,40
CITY OF BRADBURY,N,599,TOTAL,133,89
CITY OF BURBANK,N,60155,POLLING PLACE,4654,2871
CITY OF BURBANK,N,0,VBM PORTION,4858,2822
CITY OF BURBANK,N,60155,TOTAL,9510,5693
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,743
CITY OF CALABASAS,N,0,VBM PORTION,1873,1017
CITY OF CALABASAS,N,14914,TOTAL,3327,1760
CITY OF CARSON,N,52903,POLLING PLACE,5087,3296
CITY OF CARSON,N,0,VBM PORTION,4089,2684
CITY OF CARSON,N,52903,TOTAL,9175,5980
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1714
CITY OF CERRITOS,N,0,VBM PORTION,3286,1913
CITY OF CERRITOS,N,31594,TOTAL,6062,3627
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1726
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1502
CITY OF CLAREMONT,N,22235,TOTAL,5533,3228
CITY OF COMMERCE,N,6256,POLLING PLACE,444,287
CITY OF COMMERCE,N,0,VBM PORTION,247,174
CITY OF COMMERCE,N,6256,TOTAL,686,461
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1882
CITY OF COMPTON,N,0,VBM PORTION,1873,1223
CITY OF COMPTON,N,43063,TOTAL,4894,3105
CITY OF COVINA,N,26090,POLLING PLACE,2040,1315
CITY OF COVINA,N,0,VBM PORTION,1877,1158
CITY OF COVINA,N,26090,TOTAL,3913,2473
CITY OF CUDAHY,N,6697,POLLING PLACE,376,254
CITY OF CUDAHY,N,0,VBM PORTION,164,125
CITY OF CUDAHY,N,6697,TOTAL,539,379
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1954
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1667
CITY OF CULVER CITY,N,26286,TOTAL,6708,3621
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,1693
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1851
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,3544
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,3786
CITY OF DOWNEY,N,0,VBM PORTION,3452,2272
CITY OF DOWNEY,N,54713,TOTAL,9292,6058
CITY OF DUARTE,N,11742,POLLING PLACE,960,588
CITY OF DUARTE,N,0,VBM PORTION,1099,704
CITY OF DUARTE,N,11742,TOTAL,2059,1292
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,1584
CITY OF EL MONTE,N,0,VBM PORTION,1885,1290
CITY OF EL MONTE,N,36036,TOTAL,4201,2874
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,844
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,750
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1594
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1717
CITY OF GARDENA,N,0,VBM PORTION,2597,1533
CITY OF GARDENA,N,30000,TOTAL,5358,3250
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,4923
CITY OF GLENDALE,N,0,VBM PORTION,12284,5294
CITY OF GLENDALE,N,97282,TOTAL,21689,10217
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1784
CITY OF GLENDORA,N,0,VBM PORTION,2920,1777
CITY OF GLENDORA,N,31341,TOTAL,5784,3561
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,185
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,212
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,397
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1577
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,1326
CITY OF HAWTHORNE,N,36483,TOTAL,4464,2903
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,943
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,866
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1809
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,76
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,75
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,151
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,646
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,420
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,1066
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,16
CITY OF INDUSTRY,N,103,TOTAL,32,16
