LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,NATHALIE HRIZI,DAVE JONES,TED GAINES
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,56,707,576
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,45,687,562
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,101,1394,1138
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,207,1368,574
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,150,1249,674
CITY OF ALHAMBRA,N,37025,TOTAL,5368,357,2617,1248
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,76,776,985
CITY OF ARCADIA,N,0,VBM PORTION,3054,105,1006,1271
CITY OF ARCADIA,N,29165,TOTAL,5433,181,1782,2256
CITY OF ARTESIA,N,7390,POLLING PLACE,555,45,243,135
CITY OF ARTESIA,N,0,VBM PORTION,596,32,242,202
CITY OF ARTESIA,N,7390,TOTAL,1149,77,485,337
CITY OF AVALON,N,1730,POLLING PLACE,190,7,73,59
CITY OF AVALON,N,0,VBM PORTION,184,11,56,83
CITY OF AVALON,N,1730,TOTAL,374,18,129,142
CITY OF AZUSA,N,18442,POLLING PLACE,1308,82,535,348
CITY OF AZUSA,N,0,VBM PORTION,1201,53,517,384
CITY OF AZUSA,N,18442,TOTAL,2508,135,1052,732
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,144,850,269
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,100,742,220
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,244,1592,489
CITY OF BELL,N,11175,POLLING PLACE,618,55,325,79
CITY OF BELL,N,0,VBM PORTION,349,35,172,72
CITY OF BELL,N,11175,TOTAL,966,90,497,151
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,68,290,34
CITY OF BELL GARDENS,N,0,VBM PORTION,316,32,185,32
CITY OF BELL GARDENS,N,12887,TOTAL,855,100,475,66
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,122,857,654
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,117,828,618
CITY OF BELLFLOWER,N,34364,TOTAL,4019,239,1685,1272
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,102,1044,442
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,50,1224,626
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,152,2268,1068
CITY OF BRADBURY,N,599,POLLING PLACE,66,1,16,37
CITY OF BRADBURY,N,0,VBM PORTION,67,2,22,31
CITY OF BRADBURY,N,599,TOTAL,133,3,38,68
CITY OF BURBANK,N,60155,POLLING PLACE,4654,208,2055,1359
CITY OF BURBANK,N,0,VBM PORTION,4858,229,2132,1520
CITY OF BURBANK,N,60155,TOTAL,9510,437,4187,2879
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,71,648,475
CITY OF CALABASAS,N,0,VBM PORTION,1873,57,821,672
CITY OF CALABASAS,N,14914,TOTAL,3327,128,1469,1147
CITY OF CARSON,N,52903,POLLING PLACE,5087,305,2906,633
CITY OF CARSON,N,0,VBM PORTION,4089,227,2400,654
CITY OF CARSON,N,52903,TOTAL,9175,532,5306,1287
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,118,1180,869
CITY OF CERRITOS,N,0,VBM PORTION,3286,128,1450,1021
CITY OF CERRITOS,N,31594,TOTAL,6062,246,2630,1890
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,97,1452,748
CITY OF CLAREMONT,N,0,VBM PORTION,2652,68,1317,785
CITY OF CLAREMONT,N,22235,TOTAL,5533,165,2769,1533
CITY OF COMMERCE,N,6256,POLLING PLACE,444,42,241,40
CITY OF COMMERCE,N,0,VBM PORTION,247,20,154,20
CITY OF COMMERCE,N,6256,TOTAL,686,62,395,60
CITY OF COMPTON,N,43063,POLLING PLACE,3022,161,1763,143
CITY OF COMPTON,N,0,VBM PORTION,1873,71,1253,86
CITY OF COMPTON,N,43063,TOTAL,4894,232,3016,229
CITY OF COVINA,N,26090,POLLING PLACE,2040,111,716,764
CITY OF COVINA,N,0,VBM PORTION,1877,79,732,708
CITY OF COVINA,N,26090,TOTAL,3913,190,1448,1472
CITY OF CUDAHY,N,6697,POLLING PLACE,376,42,185,33
CITY OF CUDAHY,N,0,VBM PORTION,164,19,96,14
CITY OF CUDAHY,N,6697,TOTAL,539,61,281,47
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,166,2001,508
CITY OF CULVER CITY,N,0,VBM PORTION,3120,117,1706,553
CITY OF CULVER CITY,N,26286,TOTAL,6708,283,3707,1061
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,110,920,1045
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,96,1148,1178
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,206,2068,2223
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,387,2414,1721
CITY OF DOWNEY,N,0,VBM PORTION,3452,165,1430,1165
CITY OF DOWNEY,N,54713,TOTAL,9292,552,3844,2886
