LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,946,460
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,793,437
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1739,897
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1677,757
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1408,700
CITY OF ALHAMBRA,N,37025,TOTAL,5368,3085,1457
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1283,854
CITY OF ARCADIA,N,0,VBM PORTION,3054,1462,1045
CITY OF ARCADIA,N,29165,TOTAL,5433,2745,1899
CITY OF ARTESIA,N,7390,POLLING PLACE,555,303,153
CITY OF ARTESIA,N,0,VBM PORTION,596,288,182
CITY OF ARTESIA,N,7390,TOTAL,1149,591,335
CITY OF AVALON,N,1730,POLLING PLACE,190,87,84
CITY OF AVALON,N,0,VBM PORTION,184,87,61
CITY OF AVALON,N,1730,TOTAL,374,174,145
CITY OF AZUSA,N,18442,POLLING PLACE,1308,703,416
CITY OF AZUSA,N,0,VBM PORTION,1201,644,370
CITY OF AZUSA,N,18442,TOTAL,2508,1347,786
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,1004,461
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,752,371
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1756,832
CITY OF BELL,N,11175,POLLING PLACE,618,372,155
CITY OF BELL,N,0,VBM PORTION,349,173,126
CITY OF BELL,N,11175,TOTAL,966,545,281
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,296,160
CITY OF BELL GARDENS,N,0,VBM PORTION,316,178,102
CITY OF BELL GARDENS,N,12887,TOTAL,855,474,262
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1230,654
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,1007,613
CITY OF BELLFLOWER,N,34364,TOTAL,4019,2237,1267
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,1210,439
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,1285,531
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,2495,970
CITY OF BRADBURY,N,599,POLLING PLACE,66,33,28
CITY OF BRADBURY,N,0,VBM PORTION,67,36,16
CITY OF BRADBURY,N,599,TOTAL,133,69,44
CITY OF BURBANK,N,60155,POLLING PLACE,4654,2789,1347
CITY OF BURBANK,N,0,VBM PORTION,4858,2563,1448
CITY OF BURBANK,N,60155,TOTAL,9510,5352,2795
