LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,AL MURATSUCHI,DAVID HADLEY
CITY OF GARDENA,N,21128,POLLING PLACE,1698,1012,510
CITY OF GARDENA,N,0,VBM PORTION,1945,1249,516
CITY OF GARDENA,N,21128,TOTAL,3639,2261,1026
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,889,612
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,789,708
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1678,1320
CITY OF LOMITA,N,11237,POLLING PLACE,1073,450,561
CITY OF LOMITA,N,0,VBM PORTION,1050,496,464
CITY OF LOMITA,N,11237,TOTAL,2122,946,1025
CITY OF LOS ANGELES,N,16305,POLLING PLACE,1087,525,423
CITY OF LOS ANGELES,N,0,VBM PORTION,1392,717,519
CITY OF LOS ANGELES,N,16305,TOTAL,2470,1242,942
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1533,1606
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1486,1712
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,3019,3318
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,445,728
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,553,1030
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,998,1758
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1406,1942
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4657,1693,2462
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8475,3099,4404
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2168,1883
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2415,2142
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,4583,4025
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,51,178
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,48,183
CITY OF ROLLING HILLS,N,1510,TOTAL,537,99,361
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,237,490
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,304,529
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,541,1019
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,5142,5620
CITY OF TORRANCE,N,0,VBM PORTION,11369,5201,5020
CITY OF TORRANCE,N,83037,TOTAL,23394,10343,10640
UNINCORPORATED,N,16770,POLLING PLACE,1511,795,564
UNINCORPORATED,N,0,VBM PORTION,1608,855,620
UNINCORPORATED,N,16770,TOTAL,3110,1650,1184
