LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,226,120,35,746,73,28,194
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,237,172,32,703,56,21,143
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,463,292,67,1449,129,49,337
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,125,170,82,1583,112,40,305
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,125,260,89,1316,100,25,317
CITY OF ALHAMBRA,N,37025,TOTAL,5368,250,430,171,2899,212,65,622
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,231,263,51,852,156,37,464
CITY OF ARCADIA,N,0,VBM PORTION,3054,234,525,76,1006,215,44,446
CITY OF ARCADIA,N,29165,TOTAL,5433,465,788,127,1858,371,81,910
CITY OF ARTESIA,N,7390,POLLING PLACE,555,34,44,15,250,35,18,69
CITY OF ARTESIA,N,0,VBM PORTION,596,34,70,21,237,52,16,68
CITY OF ARTESIA,N,7390,TOTAL,1149,68,114,36,487,87,34,137
CITY OF AVALON,N,1730,POLLING PLACE,190,25,15,5,75,9,4,22
CITY OF AVALON,N,0,VBM PORTION,184,22,20,11,66,5,3,25
CITY OF AVALON,N,1730,TOTAL,374,47,35,16,141,14,7,47
CITY OF AZUSA,N,18442,POLLING PLACE,1308,84,70,36,622,76,44,176
CITY OF AZUSA,N,0,VBM PORTION,1201,79,112,35,576,49,22,178
CITY OF AZUSA,N,18442,TOTAL,2508,163,182,71,1198,125,66,354
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,53,86,66,965,73,36,165
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,49,83,62,809,48,28,112
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,102,169,128,1774,121,64,277
CITY OF BELL,N,11175,POLLING PLACE,618,22,29,20,379,8,6,52
CITY OF BELL,N,0,VBM PORTION,349,16,32,13,192,9,8,28
CITY OF BELL,N,11175,TOTAL,966,38,61,33,571,17,14,80
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,15,23,19,312,16,15,35
CITY OF BELL GARDENS,N,0,VBM PORTION,316,13,7,18,197,12,9,16
CITY OF BELL GARDENS,N,12887,TOTAL,855,28,30,37,509,28,24,51
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,189,187,65,940,179,38,235
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,162,202,65,876,133,26,219
CITY OF BELLFLOWER,N,34364,TOTAL,4019,351,389,130,1816,312,64,454
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,158,107,69,1157,42,36,168
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,174,182,63,1299,58,26,248
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,332,289,132,2456,100,62,416
CITY OF BRADBURY,N,599,POLLING PLACE,66,5,9,0,18,5,0,21
CITY OF BRADBURY,N,0,VBM PORTION,67,7,12,1,21,5,3,11
CITY OF BRADBURY,N,599,TOTAL,133,12,21,1,39,10,3,32
CITY OF BURBANK,N,60155,POLLING PLACE,4654,432,371,94,2378,248,83,540
CITY OF BURBANK,N,0,VBM PORTION,4858,317,575,116,2275,247,72,578
CITY OF BURBANK,N,60155,TOTAL,9510,749,946,210,4653,495,155,1118
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,140,81,22,723,104,18,188
CITY OF CALABASAS,N,0,VBM PORTION,1873,208,142,48,899,95,24,234
CITY OF CALABASAS,N,14914,TOTAL,3327,348,223,70,1622,199,42,422
CITY OF CARSON,N,52903,POLLING PLACE,5087,167,206,100,3527,164,62,259
CITY OF CARSON,N,0,VBM PORTION,4089,151,185,87,2793,158,36,261
CITY OF CARSON,N,52903,TOTAL,9175,318,391,187,6320,322,98,520
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,221,236,61,1270,196,42,406
CITY OF CERRITOS,N,0,VBM PORTION,3286,216,328,90,1503,205,45,416
CITY OF CERRITOS,N,31594,TOTAL,6062,437,564,151,2773,401,87,822
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,223,132,41,1705,101,39,377
CITY OF CLAREMONT,N,0,VBM PORTION,2652,215,203,58,1414,82,37,344
CITY OF CLAREMONT,N,22235,TOTAL,5533,438,335,99,3119,183,76,721
