LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
CITY OF GLENDALE,N,0,VBM PORTION,12284,5474,2596
CITY OF GLENDALE,N,97282,TOTAL,21689,10561,5097
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1477,1179
CITY OF GLENDORA,N,0,VBM PORTION,2920,1557,1003
CITY OF GLENDORA,N,31341,TOTAL,5784,3034,2182
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,183,67
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,182,69
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,365,136
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1702,493
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,1314,463
CITY OF HAWTHORNE,N,36483,TOTAL,4464,3016,956
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,1023,530
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,941,502
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1964,1032
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,93,34
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,58,46
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,151,80
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,707,201
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,371,126
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,1078,327
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,15,14
CITY OF INDUSTRY,N,103,TOTAL,32,15,14
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,3983,458
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,2585,380
CITY OF INGLEWOOD,N,55170,TOTAL,8342,6568,838
CITY OF IRWINDALE,N,939,POLLING PLACE,75,45,17
CITY OF IRWINDALE,N,0,VBM PORTION,61,41,11
CITY OF IRWINDALE,N,939,TOTAL,135,86,28
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,920,607
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,1174,834
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,2094,1441
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,197,208
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,253,230
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,450,438
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1376,871
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1331,766
CITY OF LA MIRADA,N,27147,TOTAL,4843,2707,1637
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,580,266
CITY OF LA PUENTE,N,0,VBM PORTION,740,457,179
CITY OF LA PUENTE,N,15802,TOTAL,1699,1037,445
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1375,909
CITY OF LA VERNE,N,0,VBM PORTION,2109,1197,690
CITY OF LA VERNE,N,20532,TOTAL,4568,2572,1599
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2550,1601
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,2417,1277
CITY OF LAKEWOOD,N,48358,TOTAL,8638,4967,2878
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,3296,1720
CITY OF LANCASTER,N,0,VBM PORTION,6128,3570,1765
CITY OF LANCASTER,N,73718,TOTAL,11514,6866,3485
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,548,225
CITY OF LAWNDALE,N,0,VBM PORTION,697,455,156
CITY OF LAWNDALE,N,13398,TOTAL,1522,1003,381
CITY OF LOMITA,N,11237,POLLING PLACE,1073,582,428
CITY OF LOMITA,N,0,VBM PORTION,1050,579,347
CITY OF LOMITA,N,11237,TOTAL,2122,1161,775
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,17379,6976
CITY OF LONG BEACH,N,0,VBM PORTION,25748,15844,7018
CITY OF LONG BEACH,N,254779,TOTAL,52664,33223,13994
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,106238,31968
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,87777,29930
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,194015,61898
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,709,151
CITY OF LYNWOOD,N,0,VBM PORTION,754,521,130
CITY OF LYNWOOD,N,24503,TOTAL,1711,1230,281
CITY OF MALIBU,N,9097,POLLING PLACE,1202,747,325
CITY OF MALIBU,N,0,VBM PORTION,1236,690,287
CITY OF MALIBU,N,9097,TOTAL,2437,1437,612
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,2051,1063
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1912,1143
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,3963,2206
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,306,96
CITY OF MAYWOOD,N,0,VBM PORTION,258,172,48
CITY OF MAYWOOD,N,8324,TOTAL,708,478,144
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,1116,598
CITY OF MONROVIA,N,0,VBM PORTION,1919,1084,572
CITY OF MONROVIA,N,20047,TOTAL,3752,2200,1170
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,1493,484
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,1081,363
CITY OF MONTEBELLO,N,28939,TOTAL,3924,2574,847
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,1343,678
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1484,740
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,2827,1418
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1678,732
CITY OF NORWALK,N,0,VBM PORTION,2657,1598,662
CITY OF NORWALK,N,47546,TOTAL,5277,3276,1394
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,3140,1551
CITY OF PALMDALE,N,0,VBM PORTION,5361,3091,1589
CITY OF PALMDALE,N,69762,TOTAL,10378,6231,3140
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,640,555
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,879,652
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1519,1207
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,675,180
CITY OF PARAMOUNT,N,0,VBM PORTION,648,430,123
CITY OF PARAMOUNT,N,19999,TOTAL,1576,1105,303
CITY OF PASADENA,N,78446,POLLING PLACE,7034,4929,1622
CITY OF PASADENA,N,0,VBM PORTION,8408,5279,2162
CITY OF PASADENA,N,78446,TOTAL,15431,10208,3784
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1465,438
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,1121,358
CITY OF PICO RIVERA,N,32447,TOTAL,3746,2586,796
CITY OF POMONA,N,57598,POLLING PLACE,3541,2297,926
CITY OF POMONA,N,0,VBM PORTION,3368,2093,850
CITY OF POMONA,N,57598,TOTAL,6909,4390,1776
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1956,1487
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,2374,1656
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,4330,3143
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2657,1565
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2818,1640
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,5475,3205
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,122,122
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,134,90
CITY OF ROLLING HILLS,N,1510,TOTAL,537,256,212
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,398,354
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,441,361
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,839,715
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,729,296
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,735,285
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1464,581
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1122,770
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,1142,624
CITY OF SAN DIMAS,N,21257,TOTAL,3989,2264,1394
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,419,152
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,290,124
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,709,276
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,731,430
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,722,349
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1453,779
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,383,347
CITY OF SAN MARINO,N,0,VBM PORTION,1161,496,483
CITY OF SAN MARINO,N,8559,TOTAL,1956,879,830
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,5054,4026
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,6436,4512
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,11490,8538
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,407,208
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,387,118
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,794,326
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,6762,1533
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,4896,1310
CITY OF SANTA MONICA,N,62632,TOTAL,16552,11658,2843
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,717,379
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,669,325
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,1386,704
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,530,198
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,431,210
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,961,408
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,280,81
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,225,79
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,505,160
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,1295,366
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,805,239
CITY OF SOUTH GATE,N,35773,TOTAL,3018,2100,605
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,1381,469
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,1123,521
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,2504,990
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,880,505
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,847,485
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1727,990
