LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SHANNON L KNIGHT,DEBRA L LOSNICK
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,713,463
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,679,419
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1392,882
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1269,884
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1098,898
CITY OF ALHAMBRA,N,37025,TOTAL,5368,2367,1782
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1087,690
CITY OF ARCADIA,N,0,VBM PORTION,3054,1278,865
CITY OF ARCADIA,N,29165,TOTAL,5433,2365,1555
CITY OF ARTESIA,N,7390,POLLING PLACE,555,256,151
CITY OF ARTESIA,N,0,VBM PORTION,596,232,203
CITY OF ARTESIA,N,7390,TOTAL,1149,488,354
CITY OF AVALON,N,1730,POLLING PLACE,190,83,51
CITY OF AVALON,N,0,VBM PORTION,184,84,39
CITY OF AVALON,N,1730,TOTAL,374,167,90
CITY OF AZUSA,N,18442,POLLING PLACE,1308,670,345
CITY OF AZUSA,N,0,VBM PORTION,1201,609,339
CITY OF AZUSA,N,18442,TOTAL,2508,1279,684
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,865,501
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,647,461
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1512,962
CITY OF BELL,N,11175,POLLING PLACE,618,285,211
CITY OF BELL,N,0,VBM PORTION,349,182,106
CITY OF BELL,N,11175,TOTAL,966,467,317
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,234,197
CITY OF BELL GARDENS,N,0,VBM PORTION,316,148,119
CITY OF BELL GARDENS,N,12887,TOTAL,855,382,316
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1155,545
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,963,558
CITY OF BELLFLOWER,N,34364,TOTAL,4019,2118,1103
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,647,760
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,727,862
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,1374,1622
CITY OF BRADBURY,N,599,POLLING PLACE,66,38,16
CITY OF BRADBURY,N,0,VBM PORTION,67,43,9
CITY OF BRADBURY,N,599,TOTAL,133,81,25
CITY OF BURBANK,N,60155,POLLING PLACE,4654,2267,1347
CITY OF BURBANK,N,0,VBM PORTION,4858,2241,1320
CITY OF BURBANK,N,60155,TOTAL,9510,4508,2667
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,603,422
CITY OF CALABASAS,N,0,VBM PORTION,1873,782,580
CITY OF CALABASAS,N,14914,TOTAL,3327,1385,1002
CITY OF CARSON,N,52903,POLLING PLACE,5087,2914,1156
CITY OF CARSON,N,0,VBM PORTION,4089,2049,1229
CITY OF CARSON,N,52903,TOTAL,9175,4963,2385
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1369,712
CITY OF CERRITOS,N,0,VBM PORTION,3286,1450,882
CITY OF CERRITOS,N,31594,TOTAL,6062,2819,1594
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1169,1127
CITY OF CLAREMONT,N,0,VBM PORTION,2652,942,1013
CITY OF CLAREMONT,N,22235,TOTAL,5533,2111,2140
CITY OF COMMERCE,N,6256,POLLING PLACE,444,209,126
CITY OF COMMERCE,N,0,VBM PORTION,247,126,81
CITY OF COMMERCE,N,6256,TOTAL,686,335,207
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1864,585
CITY OF COMPTON,N,0,VBM PORTION,1873,1051,459
CITY OF COMPTON,N,43063,TOTAL,4894,2915,1044
CITY OF COVINA,N,26090,POLLING PLACE,2040,1106,527
CITY OF COVINA,N,0,VBM PORTION,1877,957,503
CITY OF COVINA,N,26090,TOTAL,3913,2063,1030
CITY OF CUDAHY,N,6697,POLLING PLACE,376,157,148
CITY OF CUDAHY,N,0,VBM PORTION,164,82,56
CITY OF CUDAHY,N,6697,TOTAL,539,239,204
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1195,1394
CITY OF CULVER CITY,N,0,VBM PORTION,3120,988,1267
CITY OF CULVER CITY,N,26286,TOTAL,6708,2183,2661
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,1398,624
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1452,795
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,2850,1419
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,3094,1458
