year,month,month_year,line,early,ontime,earlyorontime_rail,late,total,pctlate
2012,2,2/1/12,754,266,10592,,2149,13007,16.52
2012,2,2/1/12,757,185,3659,,772,4616,16.72
2012,2,2/1/12,760,405,5393,,2952,8750,33.74
2012,2,2/1/12,762,53,1052,,386,1491,25.89
2012,2,2/1/12,770,119,3745,,1010,4874,20.72
2012,2,2/1/12,780,162,3397,,1310,4869,26.90
2012,2,2/1/12,794,38,2211,,537,2786,19.27
2012,2,2/1/12,901,290,16485,,1545,18320,8.43
2012,2,2/1/12,910,225,2395,,328,2948,11.13
2012,3,3/1/12,4,843,22444,,5284,28571,18.49
2012,3,3/1/12,10,331,10001,,2644,12976,20.38
2012,3,3/1/12,14,704,14707,,5041,20452,24.65
2012,3,3/1/12,16,537,18133,,3794,22464,16.89
2012,3,3/1/12,18,343,21682,,3040,25065,12.13
2012,3,3/1/12,20,499,17812,,5148,23459,21.94
2012,3,3/1/12,28,440,7536,,1391,9367,14.85
2012,3,3/1/12,30,342,7603,,1346,9291,14.49
2012,3,3/1/12,33,373,8519,,2853,11745,24.29
2012,3,3/1/12,35,0,19,,29,48,60.42
2012,3,3/1/12,40,757,24440,,8684,33881,25.63
2012,3,3/1/12,45,809,24335,,5380,30524,17.63
2012,3,3/1/12,51,1250,22115,,5685,29050,19.57
2012,3,3/1/12,53,428,13357,,3710,17495,21.21
2012,3,3/1/12,55,566,11463,,2959,14988,19.74
2012,3,3/1/12,60,764,15060,,5944,21768,27.31
2012,3,3/1/12,62,132,9164,,2235,11531,19.38
2012,3,3/1/12,66,322,13369,,2558,16249,15.74
2012,3,3/1/12,70,126,6114,,1535,7775,19.74
2012,3,3/1/12,71,177,1650,,302,2129,14.19
2012,3,3/1/12,76,205,7491,,2517,10213,24.65
2012,3,3/1/12,78,157,4925,,1463,6545,22.35
2012,3,3/1/12,81,555,10949,,2983,14487,20.59
2012,3,3/1/12,83,157,4258,,866,5281,16.40
2012,3,3/1/12,84,306,8775,,3168,12249,25.86
2012,3,3/1/12,90,410,8386,,2731,11527,23.69
