LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
BURBANK,0950144A,320,47,N,0,VBM PORTION,83,6,56,11
BURBANK,0950144A,320,47,N,1397,TOTAL,139,10,88,21
BURBANK,0950146A,321,47,N,1289,POLLING PLACE,108,10,61,24
BURBANK,0950146A,321,47,N,0,VBM PORTION,77,6,51,17
BURBANK,0950146A,321,47,N,1289,TOTAL,185,16,112,41
BURBANK,0950149A,322,47,N,955,POLLING PLACE,78,3,41,24
BURBANK,0950149A,322,47,N,0,VBM PORTION,120,1,75,28
BURBANK,0950149A,322,47,N,955,TOTAL,198,4,116,52
BURBANK,0950151A,323,47,N,1413,POLLING PLACE,97,8,53,21
BURBANK,0950151A,323,47,N,0,VBM PORTION,104,9,63,18
BURBANK,0950151A,323,47,N,1413,TOTAL,201,17,116,39
BURBANK,0950154A,324,47,N,1221,POLLING PLACE,60,7,42,7
BURBANK,0950154A,324,47,N,0,VBM PORTION,115,7,77,15
BURBANK,0950154A,324,47,N,1221,TOTAL,175,14,119,22
BURBANK,0950155A,325,47,N,1391,POLLING PLACE,98,5,68,11
BURBANK,0950155A,325,47,N,0,VBM PORTION,99,6,68,16
BURBANK,0950155A,325,47,N,1391,TOTAL,197,11,136,27
BURBANK,0950157A,326,47,N,1038,POLLING PLACE,35,2,24,6
BURBANK,0950157A,326,47,N,0,VBM PORTION,46,2,37,0
BURBANK,0950157A,326,47,N,1038,TOTAL,81,4,61,6
BURBANK,0950158B,327,47,N,1264,POLLING PLACE,76,7,42,21
BURBANK,0950158B,327,47,N,0,VBM PORTION,60,4,28,16
BURBANK,0950158B,327,47,N,1264,TOTAL,136,11,70,37
BURBANK,0950160A,328,47,N,1157,POLLING PLACE,58,2,36,14
BURBANK,0950160A,328,47,N,0,VBM PORTION,51,5,29,6
BURBANK,0950160A,328,47,N,1157,TOTAL,109,7,65,20
BURBANK,0950161A,329,47,N,1217,POLLING PLACE,86,7,41,24
BURBANK,0950161A,329,47,N,0,VBM PORTION,113,6,58,33
BURBANK,0950161A,329,47,N,1217,TOTAL,199,13,99,57
BURBANK,0950162A,330,47,N,1059,POLLING PLACE,95,3,56,21
BURBANK,0950162A,330,47,N,0,VBM PORTION,99,6,67,19
BURBANK,0950162A,330,47,N,1059,TOTAL,194,9,123,40
BURBANK,0950163A,331,47,N,1037,POLLING PLACE,105,2,54,30
BURBANK,0950163A,331,47,N,0,VBM PORTION,82,5,51,15
BURBANK,0950163A,331,47,N,1037,TOTAL,187,7,105,45
BURBANK,0950166B,332,47,N,753,POLLING PLACE,56,3,38,10
BURBANK,0950166B,332,47,N,0,VBM PORTION,54,2,37,8
BURBANK,0950166B,332,47,N,753,TOTAL,110,5,75,18
BURBANK,0950184A,339,47,N,1319,POLLING PLACE,101,6,56,27
BURBANK,0950184A,339,47,N,0,VBM PORTION,99,10,50,23
BURBANK,0950184A,339,47,N,1319,TOTAL,200,16,106,50
BURBANK,0950186A,340,36,N,872,POLLING PLACE,57,2,39,10
BURBANK,0950186A,340,36,N,0,VBM PORTION,80,5,42,21
BURBANK,0950186A,340,36,N,872,TOTAL,137,7,81,31
BURBANK,0950187A,341,36,N,1083,POLLING PLACE,80,3,49,22
BURBANK,0950187A,341,36,N,0,VBM PORTION,83,2,64,15
BURBANK,0950187A,341,36,N,1083,TOTAL,163,5,113,37
BURBANK,0950198A,346,47,N,1210,POLLING PLACE,96,7,59,23
BURBANK,0950198A,346,47,N,0,VBM PORTION,103,6,65,15
BURBANK,0950198A,346,47,N,1210,TOTAL,199,13,124,38
CANYON COUNTRY,1020192C,6024,22,Y,38,POLLING PLACE,0,0,0,0
CANYON COUNTRY,1020192C,6024,22,Y,0,VBM PORTION,11,1,3,5
CANYON COUNTRY,1020192C,6024,22,Y,38,TOTAL,11,1,3,5
GLENDALE,2550002A,893,46,N,1341,POLLING PLACE,216,11,137,43
GLENDALE,2550002A,893,46,N,0,VBM PORTION,177,8,109,44
GLENDALE,2550002A,893,46,N,1341,TOTAL,393,19,246,87
GLENDALE,2550004A,894,46,N,892,POLLING PLACE,84,5,48,16
GLENDALE,2550004A,894,46,N,0,VBM PORTION,77,3,54,15
GLENDALE,2550004A,894,46,N,892,TOTAL,161,8,102,31
GLENDALE,2550006A,895,46,N,1405,POLLING PLACE,178,6,114,46
GLENDALE,2550006A,895,46,N,0,VBM PORTION,234,6,134,54
GLENDALE,2550006A,895,46,N,1405,TOTAL,412,12,248,100
GLENDALE,2550008A,896,46,N,1188,POLLING PLACE,165,7,99,43
GLENDALE,2550008A,896,46,N,0,VBM PORTION,138,7,86,33
GLENDALE,2550008A,896,46,N,1188,TOTAL,303,14,185,76
GLENDALE,2550009A,897,46,N,962,POLLING PLACE,118,6,59,38
GLENDALE,2550009A,897,46,N,0,VBM PORTION,98,4,60,23
GLENDALE,2550009A,897,46,N,962,TOTAL,216,10,119,61
GLENDALE,2550010A,898,46,N,822,POLLING PLACE,139,5,78,43
GLENDALE,2550010A,898,46,N,0,VBM PORTION,125,2,70,38
GLENDALE,2550010A,898,46,N,822,TOTAL,264,7,148,81
GLENDALE,2550011A,899,46,N,1283,POLLING PLACE,123,7,80,26
GLENDALE,2550011A,899,46,N,0,VBM PORTION,129,4,76,26
GLENDALE,2550011A,899,46,N,1283,TOTAL,252,11,156,52
GLENDALE,2550015A,900,46,N,1295,POLLING PLACE,161,7,95,37
GLENDALE,2550015A,900,46,N,0,VBM PORTION,138,9,75,45
GLENDALE,2550015A,900,46,N,1295,TOTAL,299,16,170,82
GLENDALE,2550017A,901,46,N,1356,POLLING PLACE,108,5,70,18
GLENDALE,2550017A,901,46,N,0,VBM PORTION,104,2,73,7
GLENDALE,2550017A,901,46,N,1356,TOTAL,212,7,143,25
GLENDALE,2550018A,902,46,N,1000,POLLING PLACE,106,8,63,20
GLENDALE,2550018A,902,46,N,0,VBM PORTION,91,9,50,20
GLENDALE,2550018A,902,46,N,1000,TOTAL,197,17,113,40
GLENDALE,2550020A,903,46,N,1399,POLLING PLACE,188,5,127,27
GLENDALE,2550020A,903,46,N,0,VBM PORTION,189,6,116,37
GLENDALE,2550020A,903,46,N,1399,TOTAL,377,11,243,64
GLENDALE,2550023A,904,46,N,1326,POLLING PLACE,156,7,100,31
GLENDALE,2550023A,904,46,N,0,VBM PORTION,176,11,107,35
GLENDALE,2550023A,904,46,N,1326,TOTAL,332,18,207,66
GLENDALE,2550024A,905,46,N,938,POLLING PLACE,154,3,92,40
GLENDALE,2550024A,905,46,N,0,VBM PORTION,155,1,101,34
GLENDALE,2550024A,905,46,N,938,TOTAL,309,4,193,74
GLENDALE,2550025A,906,46,N,1207,POLLING PLACE,182,5,109,54
GLENDALE,2550025A,906,46,N,0,VBM PORTION,185,8,108,49
GLENDALE,2550025A,906,46,N,1207,TOTAL,367,13,217,103
GLENDALE,2550027A,907,46,N,881,POLLING PLACE,93,5,63,13
GLENDALE,2550027A,907,46,N,0,VBM PORTION,94,2,62,16
GLENDALE,2550027A,907,46,N,881,TOTAL,187,7,125,29
GLENDALE,2550028A,908,46,N,914,POLLING PLACE,106,0,71,23
GLENDALE,2550028A,908,46,N,0,VBM PORTION,123,3,81,19
GLENDALE,2550028A,908,46,N,914,TOTAL,229,3,152,42
GLENDALE,2550029A,909,46,N,897,POLLING PLACE,146,6,103,25
GLENDALE,2550029A,909,46,N,0,VBM PORTION,81,3,63,7
GLENDALE,2550029A,909,46,N,897,TOTAL,227,9,166,32
GLENDALE,2550032A,910,46,N,872,POLLING PLACE,90,6,50,20
GLENDALE,2550032A,910,46,N,0,VBM PORTION,103,6,57,24
GLENDALE,2550032A,910,46,N,872,TOTAL,193,12,107,44
GLENDALE,2550035A,911,46,N,840,POLLING PLACE,158,5,115,24
GLENDALE,2550035A,911,46,N,0,VBM PORTION,121,0,73,33
GLENDALE,2550035A,911,46,N,840,TOTAL,279,5,188,57
GLENDALE,2550036A,912,46,N,890,POLLING PLACE,152,12,88,28
GLENDALE,2550036A,912,46,N,0,VBM PORTION,100,5,54,23
GLENDALE,2550036A,912,46,N,890,TOTAL,252,17,142,51
GLENDALE,2550037A,913,46,N,868,POLLING PLACE,84,2,64,7
GLENDALE,2550037A,913,46,N,0,VBM PORTION,85,2,51,14
GLENDALE,2550037A,913,46,N,868,TOTAL,169,4,115,21
GLENDALE,2550039A,914,46,N,907,POLLING PLACE,113,0,71,20
GLENDALE,2550039A,914,46,N,0,VBM PORTION,139,4,90,27
GLENDALE,2550039A,914,46,N,907,TOTAL,252,4,161,47
GLENDALE,2550040A,915,46,N,1263,POLLING PLACE,195,7,129,38
GLENDALE,2550040A,915,46,N,0,VBM PORTION,209,5,146,34
GLENDALE,2550040A,915,46,N,1263,TOTAL,404,12,275,72
GLENDALE,2550041A,916,46,N,913,POLLING PLACE,101,3,72,10
GLENDALE,2550041A,916,46,N,0,VBM PORTION,124,10,86,8
GLENDALE,2550041A,916,46,N,913,TOTAL,225,13,158,18
GLENDALE,2550044A,917,46,N,906,POLLING PLACE,113,1,68,30
GLENDALE,2550044A,917,46,N,0,VBM PORTION,140,7,86,24
GLENDALE,2550044A,917,46,N,906,TOTAL,253,8,154,54
GLENDALE,2550047A,918,46,N,1351,POLLING PLACE,152,7,102,26
GLENDALE,2550047A,918,46,N,0,VBM PORTION,150,7,105,20
GLENDALE,2550047A,918,46,N,1351,TOTAL,302,14,207,46
GLENDALE,2550048A,919,46,N,1429,POLLING PLACE,92,3,51,11
GLENDALE,2550048A,919,46,N,0,VBM PORTION,186,8,135,2
GLENDALE,2550048A,919,46,N,1429,TOTAL,278,11,186,13
GLENDALE,2550050A,920,46,N,911,POLLING PLACE,121,3,65,36
GLENDALE,2550050A,920,46,N,0,VBM PORTION,173,6,109,29
GLENDALE,2550050A,920,46,N,911,TOTAL,294,9,174,65
GLENDALE,2550051A,921,46,N,1485,POLLING PLACE,71,3,39,11
GLENDALE,2550051A,921,46,N,0,VBM PORTION,210,10,121,11
GLENDALE,2550051A,921,46,N,1485,TOTAL,281,13,160,22
GLENDALE,2550052A,922,46,N,1031,POLLING PLACE,196,10,112,47
GLENDALE,2550052A,922,46,N,0,VBM PORTION,141,4,82,35
GLENDALE,2550052A,922,46,N,1031,TOTAL,337,14,194,82
GLENDALE,2550053A,923,46,N,975,POLLING PLACE,136,4,87,29
GLENDALE,2550053A,923,46,N,0,VBM PORTION,152,7,105,17
GLENDALE,2550053A,923,46,N,975,TOTAL,288,11,192,46
GLENDALE,2550054A,924,46,N,1071,POLLING PLACE,171,6,111,33
GLENDALE,2550054A,924,46,N,0,VBM PORTION,164,4,97,34
GLENDALE,2550054A,924,46,N,1071,TOTAL,335,10,208,67
GLENDALE,2550058A,925,46,N,1223,POLLING PLACE,114,2,71,19
GLENDALE,2550058A,925,46,N,0,VBM PORTION,159,9,88,30
GLENDALE,2550058A,925,46,N,1223,TOTAL,273,11,159,49
GLENDALE,2550060A,926,46,N,1409,POLLING PLACE,167,9,99,33
GLENDALE,2550060A,926,46,N,0,VBM PORTION,210,11,127,39
GLENDALE,2550060A,926,46,N,1409,TOTAL,377,20,226,72
GLENDALE,2550061A,927,46,N,1193,POLLING PLACE,101,4,49,10
GLENDALE,2550061A,927,46,N,0,VBM PORTION,187,2,121,6
GLENDALE,2550061A,927,46,N,1193,TOTAL,288,6,170,16
GLENDALE,2550062A,928,46,N,1163,POLLING PLACE,63,5,32,9
