LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,MERVIN EVANS
CULVER CITY,1600042A,607,115,N,794,POLLING PLACE,173,131,24,7
CULVER CITY,1600042A,607,115,N,0,VBM PORTION,137,94,33,4
CULVER CITY,1600042A,607,115,N,794,TOTAL,310,225,57,11
CULVER CITY,1600045A,608,115,N,1024,POLLING PLACE,105,77,16,5
CULVER CITY,1600045A,608,115,N,0,VBM PORTION,110,75,24,1
CULVER CITY,1600045A,608,115,N,1024,TOTAL,215,152,40,6
CULVER CITY,1600055A,609,115,N,1182,POLLING PLACE,153,114,19,7
CULVER CITY,1600055A,609,115,N,0,VBM PORTION,86,54,13,8
CULVER CITY,1600055A,609,115,N,1182,TOTAL,239,168,32,15
CULVER CITY,1600071C,6040,114,Y,1,POLLING PLACE,0,0,0,0
CULVER CITY,1600071C,6040,114,Y,0,VBM PORTION,0,0,0,0
CULVER CITY,1600071C,6040,114,Y,1,TOTAL,0,0,0,0
CULVER CITY,1600073A,610,115,N,1290,POLLING PLACE,138,94,20,9
CULVER CITY,1600073A,610,115,N,0,VBM PORTION,88,62,17,1
CULVER CITY,1600073A,610,115,N,1290,TOTAL,226,156,37,10
CULVER CITY,1600074B,611,115,N,1163,POLLING PLACE,129,104,11,8
CULVER CITY,1600074B,611,115,N,0,VBM PORTION,127,95,16,11
CULVER CITY,1600074B,611,115,N,1163,TOTAL,256,199,27,19
CULVER CITY,1600076A,612,115,N,1199,POLLING PLACE,133,107,13,8
CULVER CITY,1600076A,612,115,N,0,VBM PORTION,133,106,14,5
CULVER CITY,1600076A,612,115,N,1199,TOTAL,266,213,27,13
INGLEWOOD,2950090A,1158,114,N,229,POLLING PLACE,38,26,0,1
INGLEWOOD,2950090A,1158,114,N,0,VBM PORTION,35,27,3,1
INGLEWOOD,2950090A,1158,114,N,229,TOTAL,73,53,3,2
LADERA HEIGHTS,3430001A,1259,114,N,767,POLLING PLACE,86,72,5,2
LADERA HEIGHTS,3430001A,1259,114,N,0,VBM PORTION,66,56,7,1
LADERA HEIGHTS,3430001A,1259,114,N,767,TOTAL,152,128,12,3
LADERA HEIGHTS,3430003A,1260,114,N,1163,POLLING PLACE,198,164,11,9
LADERA HEIGHTS,3430003A,1260,114,N,0,VBM PORTION,131,102,21,2
LADERA HEIGHTS,3430003A,1260,114,N,1163,TOTAL,329,266,32,11
LADERA HEIGHTS,3430003D,6077,115,Y,1,POLLING PLACE,0,0,0,0
LADERA HEIGHTS,3430003D,6077,115,Y,0,VBM PORTION,0,0,0,0
LADERA HEIGHTS,3430003D,6077,115,Y,1,TOTAL,0,0,0,0
LADERA HEIGHTS,3430004A,1261,114,N,1270,POLLING PLACE,221,186,14,5
LADERA HEIGHTS,3430004A,1261,114,N,0,VBM PORTION,184,152,14,8
LADERA HEIGHTS,3430004A,1261,114,N,1270,TOTAL,405,338,28,13
LADERA HEIGHTS,3430007A,1262,114,N,1368,POLLING PLACE,178,159,7,3
LADERA HEIGHTS,3430007A,1262,114,N,0,VBM PORTION,163,119,23,6
LADERA HEIGHTS,3430007A,1262,114,N,1368,TOTAL,341,278,30,9
LADERA HEIGHTS,3430018A,1263,114,N,543,POLLING PLACE,76,62,6,5
LADERA HEIGHTS,3430018A,1263,114,N,0,VBM PORTION,50,39,3,5
LADERA HEIGHTS,3430018A,1263,114,N,543,TOTAL,126,101,9,10
LADERA HEIGHTS,3430020A,1264,114,N,867,POLLING PLACE,80,63,6,3
LADERA HEIGHTS,3430020A,1264,114,N,0,VBM PORTION,109,91,8,5
LADERA HEIGHTS,3430020A,1264,114,N,867,TOTAL,189,154,14,8
LADERA HEIGHTS,3430100C,6078,116,Y,56,POLLING PLACE,0,0,0,0
LADERA HEIGHTS,3430100C,6078,116,Y,0,VBM PORTION,7,7,0,0
LADERA HEIGHTS,3430100C,6078,116,Y,56,TOTAL,7,7,0,0
VIEW PARK,7510001A,2752,116,N,1240,POLLING PLACE,202,174,5,2
VIEW PARK,7510001A,2752,116,N,0,VBM PORTION,137,120,4,7
VIEW PARK,7510001A,2752,116,N,1240,TOTAL,339,294,9,9
VIEW PARK,7510003C,2753,116,N,1359,POLLING PLACE,183,148,7,7
VIEW PARK,7510003C,2753,116,N,0,VBM PORTION,157,141,7,3
VIEW PARK,7510003C,2753,116,N,1359,TOTAL,340,289,14,10
VIEW PARK,7510004A,2754,116,N,768,POLLING PLACE,103,81,5,4
VIEW PARK,7510004A,2754,116,N,0,VBM PORTION,66,59,3,2
VIEW PARK,7510004A,2754,116,N,768,TOTAL,169,140,8,6
VIEW PARK,7510006A,2755,116,N,1279,POLLING PLACE,167,135,7,3
VIEW PARK,7510006A,2755,116,N,0,VBM PORTION,100,88,5,3
VIEW PARK,7510006A,2755,116,N,1279,TOTAL,267,223,12,6
VIEW PARK,7510008A,2756,116,N,1052,POLLING PLACE,173,138,4,8
