LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUSAN SHELLEY,MATT DABABNEH
LOS ANGELES,9000031A,2990,57,N,1114,TOTAL,229,108,103
LOS ANGELES,9000033A,2991,57,N,903,POLLING PLACE,121,56,61
LOS ANGELES,9000033A,2991,57,N,0,VBM PORTION,115,52,46
LOS ANGELES,9000033A,2991,57,N,903,TOTAL,236,108,107
LOS ANGELES,9000034B,2992,57,N,1029,POLLING PLACE,103,50,43
LOS ANGELES,9000034B,2992,57,N,0,VBM PORTION,123,63,38
LOS ANGELES,9000034B,2992,57,N,1029,TOTAL,226,113,81
LOS ANGELES,9000062A,3006,54,N,1100,POLLING PLACE,64,23,33
LOS ANGELES,9000062A,3006,54,N,0,VBM PORTION,73,15,50
LOS ANGELES,9000062A,3006,54,N,1100,TOTAL,137,38,83
LOS ANGELES,9000063B,3007,54,N,1135,POLLING PLACE,63,18,38
LOS ANGELES,9000063B,3007,54,N,0,VBM PORTION,79,29,38
LOS ANGELES,9000063B,3007,54,N,1135,TOTAL,142,47,76
LOS ANGELES,9000064A,3008,56,N,1358,POLLING PLACE,84,32,46
LOS ANGELES,9000064A,3008,56,N,0,VBM PORTION,83,36,41
LOS ANGELES,9000064A,3008,56,N,1358,TOTAL,167,68,87
LOS ANGELES,9000065A,3009,54,N,1076,POLLING PLACE,116,50,60
LOS ANGELES,9000065A,3009,54,N,0,VBM PORTION,95,29,53
LOS ANGELES,9000065A,3009,54,N,1076,TOTAL,211,79,113
LOS ANGELES,9000071A,3013,56,N,1235,POLLING PLACE,100,48,47
LOS ANGELES,9000071A,3013,56,N,0,VBM PORTION,95,33,42
LOS ANGELES,9000071A,3013,56,N,1235,TOTAL,195,81,89
LOS ANGELES,9000084A,3025,57,N,1144,POLLING PLACE,125,60,56
LOS ANGELES,9000084A,3025,57,N,0,VBM PORTION,114,56,42
LOS ANGELES,9000084A,3025,57,N,1144,TOTAL,239,116,98
LOS ANGELES,9000092A,3031,56,N,1312,POLLING PLACE,110,42,54
LOS ANGELES,9000092A,3031,56,N,0,VBM PORTION,118,39,65
LOS ANGELES,9000092A,3031,56,N,1312,TOTAL,228,81,119
LOS ANGELES,9000096A,3034,56,N,1233,POLLING PLACE,94,49,39
LOS ANGELES,9000096A,3034,56,N,0,VBM PORTION,149,61,68
LOS ANGELES,9000096A,3034,56,N,1233,TOTAL,243,110,107
LOS ANGELES,9000098A,3036,56,N,1427,POLLING PLACE,69,23,40
LOS ANGELES,9000098A,3036,56,N,0,VBM PORTION,69,13,48
LOS ANGELES,9000098A,3036,56,N,1427,TOTAL,138,36,88
LOS ANGELES,9000099B,3037,56,N,1219,POLLING PLACE,76,26,46
LOS ANGELES,9000099B,3037,56,N,0,VBM PORTION,112,61,39
LOS ANGELES,9000099B,3037,56,N,1219,TOTAL,188,87,85
LOS ANGELES,9000112B,3042,56,N,1544,POLLING PLACE,94,45,48
LOS ANGELES,9000112B,3042,56,N,0,VBM PORTION,154,59,82
LOS ANGELES,9000112B,3042,56,N,1544,TOTAL,248,104,130
LOS ANGELES,9000115A,3044,56,N,1146,POLLING PLACE,66,18,44
LOS ANGELES,9000115A,3044,56,N,0,VBM PORTION,63,29,32
LOS ANGELES,9000115A,3044,56,N,1146,TOTAL,129,47,76
LOS ANGELES,9000118A,3046,51,N,1378,POLLING PLACE,112,55,40
LOS ANGELES,9000118A,3046,51,N,0,VBM PORTION,117,58,49
LOS ANGELES,9000118A,3046,51,N,1378,TOTAL,229,113,89
LOS ANGELES,9000128A,3052,56,N,984,POLLING PLACE,66,22,41
LOS ANGELES,9000128A,3052,56,N,0,VBM PORTION,74,29,35
LOS ANGELES,9000128A,3052,56,N,984,TOTAL,140,51,76
LOS ANGELES,9000129C,3053,56,N,1479,POLLING PLACE,91,28,55
LOS ANGELES,9000129C,3053,56,N,0,VBM PORTION,119,47,66
LOS ANGELES,9000129C,3053,56,N,1479,TOTAL,210,75,121
LOS ANGELES,9000131A,3054,54,N,1397,POLLING PLACE,97,36,55
LOS ANGELES,9000131A,3054,54,N,0,VBM PORTION,96,43,46
LOS ANGELES,9000131A,3054,54,N,1397,TOTAL,193,79,101
LOS ANGELES,9000132A,3055,54,N,1206,POLLING PLACE,86,22,57
LOS ANGELES,9000132A,3055,54,N,0,VBM PORTION,64,15,46
LOS ANGELES,9000132A,3055,54,N,1206,TOTAL,150,37,103
LOS ANGELES,9000158A,3073,57,N,1213,POLLING PLACE,107,56,48
LOS ANGELES,9000158A,3073,57,N,0,VBM PORTION,145,66,66
LOS ANGELES,9000158A,3073,57,N,1213,TOTAL,252,122,114
LOS ANGELES,9000174A,3079,56,N,861,POLLING PLACE,77,36,33
LOS ANGELES,9000174A,3079,56,N,0,VBM PORTION,101,23,64
LOS ANGELES,9000174A,3079,56,N,861,TOTAL,178,59,97
LOS ANGELES,9000175A,3080,56,N,1143,POLLING PLACE,80,29,41
LOS ANGELES,9000175A,3080,56,N,0,VBM PORTION,94,38,51
LOS ANGELES,9000175A,3080,56,N,1143,TOTAL,174,67,92
LOS ANGELES,9000176A,3081,57,N,1166,POLLING PLACE,140,85,46
LOS ANGELES,9000176A,3081,57,N,0,VBM PORTION,179,59,97
LOS ANGELES,9000176A,3081,57,N,1166,TOTAL,319,144,143
LOS ANGELES,9000180A,3084,54,N,1305,POLLING PLACE,64,24,33
LOS ANGELES,9000180A,3084,54,N,0,VBM PORTION,96,27,62
LOS ANGELES,9000180A,3084,54,N,1305,TOTAL,160,51,95
LOS ANGELES,9000181A,3085,54,N,1212,POLLING PLACE,79,28,48
LOS ANGELES,9000181A,3085,54,N,0,VBM PORTION,85,22,57
LOS ANGELES,9000181A,3085,54,N,1212,TOTAL,164,50,105
LOS ANGELES,9000182A,3086,54,N,1375,POLLING PLACE,79,27,41
LOS ANGELES,9000182A,3086,54,N,0,VBM PORTION,119,48,63
LOS ANGELES,9000182A,3086,54,N,1375,TOTAL,198,75,104
LOS ANGELES,9000187A,3089,56,N,1366,POLLING PLACE,138,36,83
LOS ANGELES,9000187A,3089,56,N,0,VBM PORTION,189,52,128
LOS ANGELES,9000187A,3089,56,N,1366,TOTAL,327,88,211
LOS ANGELES,9000189C,3090,56,N,1066,POLLING PLACE,97,49,45
LOS ANGELES,9000189C,3090,56,N,0,VBM PORTION,122,35,74
LOS ANGELES,9000189C,3090,56,N,1066,TOTAL,219,84,119
LOS ANGELES,9000191A,3091,57,N,997,POLLING PLACE,83,49,26
LOS ANGELES,9000191A,3091,57,N,0,VBM PORTION,96,47,44
LOS ANGELES,9000191A,3091,57,N,997,TOTAL,179,96,70
LOS ANGELES,9000203A,3096,56,N,1204,POLLING PLACE,115,51,54
LOS ANGELES,9000203A,3096,56,N,0,VBM PORTION,110,44,54
LOS ANGELES,9000203A,3096,56,N,1204,TOTAL,225,95,108
LOS ANGELES,9000204A,3097,56,N,1148,POLLING PLACE,93,46,44
LOS ANGELES,9000204A,3097,56,N,0,VBM PORTION,118,52,55
LOS ANGELES,9000204A,3097,56,N,1148,TOTAL,211,98,99
LOS ANGELES,9000206A,3099,56,N,1461,POLLING PLACE,99,42,50
LOS ANGELES,9000206A,3099,56,N,0,VBM PORTION,93,38,52
LOS ANGELES,9000206A,3099,56,N,1461,TOTAL,192,80,102
LOS ANGELES,9000207B,3100,56,N,840,POLLING PLACE,83,41,33
LOS ANGELES,9000207B,3100,56,N,0,VBM PORTION,92,33,46
LOS ANGELES,9000207B,3100,56,N,840,TOTAL,175,74,79
LOS ANGELES,9000212B,3101,56,N,1043,POLLING PLACE,128,77,45
LOS ANGELES,9000212B,3101,56,N,0,VBM PORTION,73,28,39
LOS ANGELES,9000212B,3101,56,N,1043,TOTAL,201,105,84
LOS ANGELES,9000213B,3102,56,N,1300,POLLING PLACE,117,59,53
LOS ANGELES,9000213B,3102,56,N,0,VBM PORTION,141,54,70
LOS ANGELES,9000213B,3102,56,N,1300,TOTAL,258,113,123
LOS ANGELES,9000225A,3110,56,N,1015,POLLING PLACE,87,29,35
LOS ANGELES,9000225A,3110,56,N,0,VBM PORTION,68,21,39
LOS ANGELES,9000225A,3110,56,N,1015,TOTAL,155,50,74
LOS ANGELES,9000228A,3111,56,N,1317,POLLING PLACE,76,21,50
LOS ANGELES,9000228A,3111,56,N,0,VBM PORTION,125,41,67
LOS ANGELES,9000228A,3111,56,N,1317,TOTAL,201,62,117
LOS ANGELES,9000229A,3112,56,N,1165,POLLING PLACE,167,78,85
LOS ANGELES,9000229A,3112,56,N,0,VBM PORTION,139,54,69
LOS ANGELES,9000229A,3112,56,N,1165,TOTAL,306,132,154
LOS ANGELES,9000230A,3113,56,N,1044,POLLING PLACE,124,54,61
LOS ANGELES,9000230A,3113,56,N,0,VBM PORTION,130,48,68
LOS ANGELES,9000230A,3113,56,N,1044,TOTAL,254,102,129
LOS ANGELES,9000234A,3116,56,N,1164,POLLING PLACE,137,45,81
LOS ANGELES,9000234A,3116,56,N,0,VBM PORTION,94,50,38
LOS ANGELES,9000234A,3116,56,N,1164,TOTAL,231,95,119
LOS ANGELES,9000246A,3120,56,N,1095,POLLING PLACE,111,53,50
LOS ANGELES,9000246A,3120,56,N,0,VBM PORTION,104,58,37
LOS ANGELES,9000246A,3120,56,N,1095,TOTAL,215,111,87
LOS ANGELES,9000250B,3123,56,N,1332,POLLING PLACE,84,34,45
LOS ANGELES,9000250B,3123,56,N,0,VBM PORTION,103,28,63
LOS ANGELES,9000250B,3123,56,N,1332,TOTAL,187,62,108
LOS ANGELES,9000254A,3126,56,N,1093,POLLING PLACE,107,41,58
LOS ANGELES,9000254A,3126,56,N,0,VBM PORTION,90,25,53
LOS ANGELES,9000254A,3126,56,N,1093,TOTAL,197,66,111
LOS ANGELES,9000255A,3127,56,N,1457,POLLING PLACE,94,33,52
LOS ANGELES,9000255A,3127,56,N,0,VBM PORTION,126,31,81
LOS ANGELES,9000255A,3127,56,N,1457,TOTAL,220,64,133
LOS ANGELES,9000257B,3128,56,N,1198,POLLING PLACE,85,29,48
