LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CHRIS HOLDEN
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,145
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,93
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,238
CITRUS,1250071A,6030,33,Y,4,POLLING PLACE,0,0
CITRUS,1250071A,6030,33,Y,0,VBM PORTION,0,0
CITRUS,1250071A,6030,33,Y,4,TOTAL,0,0
CITRUS,1250075A,6032,29,Y,13,POLLING PLACE,0,0
CITRUS,1250075A,6032,29,Y,0,VBM PORTION,5,3
CITRUS,1250075A,6032,29,Y,13,TOTAL,5,3
CLAREMONT,1300001A,480,31,N,894,POLLING PLACE,69,51
CLAREMONT,1300001A,480,31,N,0,VBM PORTION,90,62
CLAREMONT,1300001A,480,31,N,894,TOTAL,159,113
CLAREMONT,1300002A,481,31,N,737,POLLING PLACE,89,64
CLAREMONT,1300002A,481,31,N,0,VBM PORTION,67,49
CLAREMONT,1300002A,481,31,N,737,TOTAL,156,113
CLAREMONT,1300003A,482,31,N,1252,POLLING PLACE,152,101
CLAREMONT,1300003A,482,31,N,0,VBM PORTION,96,71
CLAREMONT,1300003A,482,31,N,1252,TOTAL,248,172
CLAREMONT,1300004A,483,31,N,730,POLLING PLACE,19,14
CLAREMONT,1300004A,483,31,N,0,VBM PORTION,13,12
CLAREMONT,1300004A,483,31,N,730,TOTAL,32,26
CLAREMONT,1300005A,484,31,N,957,POLLING PLACE,129,88
CLAREMONT,1300005A,484,31,N,0,VBM PORTION,84,53
CLAREMONT,1300005A,484,31,N,957,TOTAL,213,141
CLAREMONT,1300007A,485,31,N,928,POLLING PLACE,100,68
CLAREMONT,1300007A,485,31,N,0,VBM PORTION,141,79
CLAREMONT,1300007A,485,31,N,928,TOTAL,241,147
CLAREMONT,1300008A,486,31,N,947,POLLING PLACE,220,178
CLAREMONT,1300008A,486,31,N,0,VBM PORTION,277,234
CLAREMONT,1300008A,486,31,N,947,TOTAL,497,412
CLAREMONT,1300009A,487,31,N,889,POLLING PLACE,147,116
CLAREMONT,1300009A,487,31,N,0,VBM PORTION,169,118
CLAREMONT,1300009A,487,31,N,889,TOTAL,316,234
CLAREMONT,1300012A,488,31,N,814,POLLING PLACE,145,107
CLAREMONT,1300012A,488,31,N,0,VBM PORTION,90,69
CLAREMONT,1300012A,488,31,N,814,TOTAL,235,176
