LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
VIEW PARK,7510003C,2753,116,N,1359,POLLING PLACE,183,103,7,1,9,2,41,4
VIEW PARK,7510003C,2753,116,N,0,VBM PORTION,157,64,9,6,7,4,36,5
VIEW PARK,7510003C,2753,116,N,1359,TOTAL,340,167,16,7,16,6,77,9
VIEW PARK,7510004A,2754,116,N,768,POLLING PLACE,103,45,4,3,1,1,35,8
VIEW PARK,7510004A,2754,116,N,0,VBM PORTION,66,27,0,4,2,5,14,0
VIEW PARK,7510004A,2754,116,N,768,TOTAL,169,72,4,7,3,6,49,8
VIEW PARK,7510006A,2755,116,N,1279,POLLING PLACE,167,99,4,2,8,3,36,6
VIEW PARK,7510006A,2755,116,N,0,VBM PORTION,100,43,6,2,9,4,16,9
VIEW PARK,7510006A,2755,116,N,1279,TOTAL,267,142,10,4,17,7,52,15
VIEW PARK,7510008A,2756,116,N,1052,POLLING PLACE,173,99,1,3,8,0,41,11
VIEW PARK,7510008A,2756,116,N,0,VBM PORTION,136,72,5,6,16,1,13,7
VIEW PARK,7510008A,2756,116,N,1052,TOTAL,309,171,6,9,24,1,54,18
VIEW PARK,7510009B,2757,116,N,1269,POLLING PLACE,209,114,4,3,10,3,49,12
VIEW PARK,7510009B,2757,116,N,0,VBM PORTION,133,71,4,4,6,4,25,7
VIEW PARK,7510009B,2757,116,N,1269,TOTAL,342,185,8,7,16,7,74,19
VIEW PARK,7510010A,2758,116,N,974,POLLING PLACE,130,77,3,1,3,6,20,6
VIEW PARK,7510010A,2758,116,N,0,VBM PORTION,166,95,6,3,10,5,19,7
VIEW PARK,7510010A,2758,116,N,974,TOTAL,296,172,9,4,13,11,39,13
VIEW PARK,7510012A,2759,116,N,1034,POLLING PLACE,210,139,0,4,9,0,37,4
VIEW PARK,7510012A,2759,116,N,0,VBM PORTION,164,94,3,3,6,2,29,12
VIEW PARK,7510012A,2759,116,N,1034,TOTAL,374,233,3,7,15,2,66,16
WEST ATHENS,7670001A,2783,151,N,1100,POLLING PLACE,53,22,3,2,1,0,11,6
WEST ATHENS,7670001A,2783,151,N,0,VBM PORTION,34,13,4,2,4,3,5,1
WEST ATHENS,7670001A,2783,151,N,1100,TOTAL,87,35,7,4,5,3,16,7
WEST ATHENS,7670003A,2784,151,N,1093,POLLING PLACE,51,25,3,0,4,0,11,4
WEST ATHENS,7670003A,2784,151,N,0,VBM PORTION,41,9,2,6,1,2,9,4
WEST ATHENS,7670003A,2784,151,N,1093,TOTAL,92,34,5,6,5,2,20,8
WEST ATHENS,7670004A,2785,161,N,1161,POLLING PLACE,60,24,1,5,2,1,15,2
WEST ATHENS,7670004A,2785,161,N,0,VBM PORTION,32,11,1,1,2,0,7,2
WEST ATHENS,7670004A,2785,161,N,1161,TOTAL,92,35,2,6,4,1,22,4
WEST ATHENS,7670005A,2786,161,N,830,POLLING PLACE,37,18,2,0,3,3,4,3
WEST ATHENS,7670005A,2786,161,N,0,VBM PORTION,29,14,0,2,2,2,7,1
WEST ATHENS,7670005A,2786,161,N,830,TOTAL,66,32,2,2,5,5,11,4
WEST ATHENS,7670006A,2787,161,N,1100,POLLING PLACE,128,81,2,4,6,4,15,9
WEST ATHENS,7670006A,2787,161,N,0,VBM PORTION,107,45,4,4,3,5,24,5
WEST ATHENS,7670006A,2787,161,N,1100,TOTAL,235,126,6,8,9,9,39,14
WEST ATHENS,7670007A,2788,161,N,845,POLLING PLACE,28,14,0,1,2,1,7,0
WEST ATHENS,7670007A,2788,161,N,0,VBM PORTION,36,14,0,7,1,3,3,0
WEST ATHENS,7670007A,2788,161,N,845,TOTAL,64,28,0,8,3,4,10,0
WEST ATHENS,7670009A,2789,151,N,1184,POLLING PLACE,50,18,0,3,1,1,9,4
WEST ATHENS,7670009A,2789,151,N,0,VBM PORTION,39,12,1,2,1,2,4,9
WEST ATHENS,7670009A,2789,151,N,1184,TOTAL,89,30,1,5,2,3,13,13
WEST ATHENS,7670010A,2790,161,N,1079,POLLING PLACE,76,27,3,4,1,4,17,8
WEST ATHENS,7670010A,2790,161,N,0,VBM PORTION,49,18,4,3,3,4,10,3
WEST ATHENS,7670010A,2790,161,N,1079,TOTAL,125,45,7,7,4,8,27,11
WEST ATHENS,7670011A,2791,161,N,758,POLLING PLACE,83,49,3,1,0,3,15,5
WEST ATHENS,7670011A,2791,161,N,0,VBM PORTION,39,17,1,0,4,1,3,3
WEST ATHENS,7670011A,2791,161,N,758,TOTAL,122,66,4,1,4,4,18,8
WEST ATHENS,7670012B,2792,161,N,1168,POLLING PLACE,99,44,5,1,4,2,23,4
WEST ATHENS,7670012B,2792,161,N,0,VBM PORTION,74,22,1,8,5,7,10,5
WEST ATHENS,7670012B,2792,161,N,1168,TOTAL,173,66,6,9,9,9,33,9
WEST ATHENS,7670013A,2793,161,N,834,POLLING PLACE,105,64,2,0,2,3,23,5
WEST ATHENS,7670013A,2793,161,N,0,VBM PORTION,58,28,4,2,2,4,8,2
WEST ATHENS,7670013A,2793,161,N,834,TOTAL,163,92,6,2,4,7,31,7
WEST ATHENS,7670014A,2794,161,N,940,POLLING PLACE,40,16,5,2,3,1,9,2
WEST ATHENS,7670014A,2794,161,N,0,VBM PORTION,22,5,2,1,1,0,5,2
WEST ATHENS,7670014A,2794,161,N,940,TOTAL,62,21,7,3,4,1,14,4
WEST ATHENS,7670015A,2795,163,N,698,POLLING PLACE,46,26,4,0,1,1,8,2
WEST ATHENS,7670015A,2795,163,N,0,VBM PORTION,34,20,1,1,2,2,2,2
WEST ATHENS,7670015A,2795,163,N,698,TOTAL,80,46,5,1,3,3,10,4
WEST ATHENS,7670016A,2796,161,N,913,POLLING PLACE,57,27,1,4,2,5,8,6
WEST ATHENS,7670016A,2796,161,N,0,VBM PORTION,30,11,4,4,1,1,6,1
WEST ATHENS,7670016A,2796,161,N,913,TOTAL,87,38,5,8,3,6,14,7
WEST ATHENS,7670017A,2797,163,N,1021,POLLING PLACE,71,31,2,1,0,6,18,2
WEST ATHENS,7670017A,2797,163,N,0,VBM PORTION,33,14,0,3,0,4,5,3
