LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PROPHET L WALKER,MICAH ALI,STEVE NEAL,MIKE GIPSON
CARSON,1030008A,367,178,N,0,VBM PORTION,83,18,3,6,45
CARSON,1030008A,367,178,N,1144,TOTAL,160,40,11,14,80
CARSON,1030012B,368,178,N,1145,POLLING PLACE,62,12,9,7,26
CARSON,1030012B,368,178,N,0,VBM PORTION,115,16,15,4,62
CARSON,1030012B,368,178,N,1145,TOTAL,177,28,24,11,88
CARSON,1030013A,369,178,N,1145,POLLING PLACE,110,15,15,8,61
CARSON,1030013A,369,178,N,0,VBM PORTION,72,4,7,4,41
CARSON,1030013A,369,178,N,1145,TOTAL,182,19,22,12,102
CARSON,1030014A,370,178,N,973,POLLING PLACE,116,10,9,9,84
CARSON,1030014A,370,178,N,0,VBM PORTION,60,4,6,2,46
CARSON,1030014A,370,178,N,973,TOTAL,176,14,15,11,130
CARSON,1030015A,371,178,N,982,POLLING PLACE,128,18,25,4,72
CARSON,1030015A,371,178,N,0,VBM PORTION,99,7,16,15,47
CARSON,1030015A,371,178,N,982,TOTAL,227,25,41,19,119
CARSON,1030016A,372,178,N,1196,POLLING PLACE,66,10,7,5,38
CARSON,1030016A,372,178,N,0,VBM PORTION,78,9,10,9,37
CARSON,1030016A,372,178,N,1196,TOTAL,144,19,17,14,75
CARSON,1030020A,373,178,N,1251,POLLING PLACE,93,15,9,6,53
CARSON,1030020A,373,178,N,0,VBM PORTION,86,7,7,8,56
CARSON,1030020A,373,178,N,1251,TOTAL,179,22,16,14,109
CARSON,1030022B,374,178,N,721,POLLING PLACE,71,10,9,10,35
CARSON,1030022B,374,178,N,0,VBM PORTION,74,11,13,7,33
CARSON,1030022B,374,178,N,721,TOTAL,145,21,22,17,68
CARSON,1030024A,375,178,N,971,POLLING PLACE,89,19,14,12,36
CARSON,1030024A,375,178,N,0,VBM PORTION,86,12,6,11,46
CARSON,1030024A,375,178,N,971,TOTAL,175,31,20,23,82
CARSON,1030025B,376,178,N,1290,POLLING PLACE,116,20,12,11,59
CARSON,1030025B,376,178,N,0,VBM PORTION,113,23,5,20,51
CARSON,1030025B,376,178,N,1290,TOTAL,229,43,17,31,110
CARSON,1030027A,377,178,N,899,POLLING PLACE,62,14,8,3,26
CARSON,1030027A,377,178,N,0,VBM PORTION,45,5,4,1,29
CARSON,1030027A,377,178,N,899,TOTAL,107,19,12,4,55
CARSON,1030028A,378,178,N,1190,POLLING PLACE,103,21,8,20,40
CARSON,1030028A,378,178,N,0,VBM PORTION,102,11,17,6,52
CARSON,1030028A,378,178,N,1190,TOTAL,205,32,25,26,92
CARSON,1030029A,379,178,N,1275,POLLING PLACE,120,14,23,19,45
CARSON,1030029A,379,178,N,0,VBM PORTION,107,9,22,15,41
CARSON,1030029A,379,178,N,1275,TOTAL,227,23,45,34,86
CARSON,1030031A,380,178,N,1154,POLLING PLACE,77,9,12,10,38
CARSON,1030031A,380,178,N,0,VBM PORTION,98,11,7,11,51
CARSON,1030031A,380,178,N,1154,TOTAL,175,20,19,21,89
CARSON,1030032A,381,178,N,978,POLLING PLACE,89,10,12,10,41
CARSON,1030032A,381,178,N,0,VBM PORTION,67,5,4,9,38
CARSON,1030032A,381,178,N,978,TOTAL,156,15,16,19,79
CARSON,1030036A,382,178,N,1144,POLLING PLACE,64,4,11,7,32
CARSON,1030036A,382,178,N,0,VBM PORTION,87,10,10,6,44
CARSON,1030036A,382,178,N,1144,TOTAL,151,14,21,13,76
CARSON,1030036C,383,178,N,904,POLLING PLACE,71,16,3,10,34
CARSON,1030036C,383,178,N,0,VBM PORTION,32,5,1,2,17
CARSON,1030036C,383,178,N,904,TOTAL,103,21,4,12,51
CARSON,1030037A,384,178,N,1049,POLLING PLACE,91,12,6,10,47
CARSON,1030037A,384,178,N,0,VBM PORTION,67,6,2,9,41
CARSON,1030037A,384,178,N,1049,TOTAL,158,18,8,19,88
CARSON,1030038A,385,178,N,995,POLLING PLACE,60,13,4,5,33
CARSON,1030038A,385,178,N,0,VBM PORTION,58,3,7,12,29
CARSON,1030038A,385,178,N,995,TOTAL,118,16,11,17,62
CARSON,1030038B,386,178,N,918,POLLING PLACE,72,6,4,11,42
CARSON,1030038B,386,178,N,0,VBM PORTION,64,13,6,7,27
CARSON,1030038B,386,178,N,918,TOTAL,136,19,10,18,69
CARSON,1030040A,387,178,N,1157,POLLING PLACE,52,9,8,7,22
CARSON,1030040A,387,178,N,0,VBM PORTION,44,3,4,10,22
CARSON,1030040A,387,178,N,1157,TOTAL,96,12,12,17,44
CARSON,1030042B,388,178,N,1064,POLLING PLACE,74,11,7,7,40
CARSON,1030042B,388,178,N,0,VBM PORTION,78,13,4,7,39
CARSON,1030042B,388,178,N,1064,TOTAL,152,24,11,14,79
CARSON,1030043A,389,178,N,910,POLLING PLACE,53,1,18,6,25
CARSON,1030043A,389,178,N,0,VBM PORTION,36,7,7,1,17
CARSON,1030043A,389,178,N,910,TOTAL,89,8,25,7,42
CARSON,1030044A,390,178,N,743,POLLING PLACE,44,8,6,13,12
CARSON,1030044A,390,178,N,0,VBM PORTION,67,4,4,20,27
CARSON,1030044A,390,178,N,743,TOTAL,111,12,10,33,39
CARSON,1030045A,391,178,N,1030,POLLING PLACE,75,5,3,7,50
CARSON,1030045A,391,178,N,0,VBM PORTION,26,4,0,0,19
CARSON,1030045A,391,178,N,1030,TOTAL,101,9,3,7,69
CARSON,1030046A,392,178,N,682,POLLING PLACE,33,3,2,5,16
CARSON,1030046A,392,178,N,0,VBM PORTION,39,8,2,4,20
CARSON,1030046A,392,178,N,682,TOTAL,72,11,4,9,36
CARSON,1030048A,393,178,N,1035,POLLING PLACE,75,12,7,7,35
CARSON,1030048A,393,178,N,0,VBM PORTION,54,16,5,3,25
CARSON,1030048A,393,178,N,1035,TOTAL,129,28,12,10,60
CARSON,1030049A,394,178,N,890,POLLING PLACE,71,13,12,5,40
CARSON,1030049A,394,178,N,0,VBM PORTION,60,4,13,3,30
CARSON,1030049A,394,178,N,890,TOTAL,131,17,25,8,70
CARSON,1030053A,395,178,N,1107,POLLING PLACE,182,34,13,15,117
CARSON,1030053A,395,178,N,0,VBM PORTION,122,15,5,19,77
CARSON,1030053A,395,178,N,1107,TOTAL,304,49,18,34,194
CARSON,1030053B,396,178,N,1094,POLLING PLACE,165,29,10,7,115
CARSON,1030053B,396,178,N,0,VBM PORTION,94,15,2,9,67
CARSON,1030053B,396,178,N,1094,TOTAL,259,44,12,16,182
CARSON,1030060A,397,178,N,935,POLLING PLACE,149,17,9,18,99
CARSON,1030060A,397,178,N,0,VBM PORTION,108,9,13,10,71
CARSON,1030060A,397,178,N,935,TOTAL,257,26,22,28,170
