LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NATHALIE HRIZI,DAVE JONES,TED GAINES
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,6,31,68
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,4,30,69
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,10,61,137
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,0,25,63
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,3,20,44
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,3,45,107
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,1,14,35
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,3,17,35
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,4,31,70
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,1,10,13
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,1,10,13
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,0,4,8
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,0,4,8
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,0,0,4
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,0,0,4
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,8,46,19
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,5,29,17
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,13,75,36
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,1,26,5
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,6,31,6
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,7,57,11
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,8,58,30
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,2,56,43
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,10,114,73
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,3,34,15
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,1,40,17
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,4,74,32
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,9,34,14
