LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,REBECCA POIRIER,JAY SCHARFMAN,GINA SEMANA
TORRANCE,7150039A,2680,180,N,1026,TOTAL,207,95,16,33
TORRANCE,7150041A,2681,185,N,1266,POLLING PLACE,139,61,19,13
TORRANCE,7150041A,2681,185,N,0,VBM PORTION,175,86,20,19
TORRANCE,7150041A,2681,185,N,1266,TOTAL,314,147,39,32
TORRANCE,7150046A,2682,180,N,1317,POLLING PLACE,219,96,21,29
TORRANCE,7150046A,2682,180,N,0,VBM PORTION,158,71,12,18
TORRANCE,7150046A,2682,180,N,1317,TOTAL,377,167,33,47
TORRANCE,7150048A,2683,185,N,1320,POLLING PLACE,102,55,12,14
TORRANCE,7150048A,2683,185,N,0,VBM PORTION,96,37,13,16
TORRANCE,7150048A,2683,185,N,1320,TOTAL,198,92,25,30
TORRANCE,7150049A,2684,185,N,1024,POLLING PLACE,159,76,22,18
TORRANCE,7150049A,2684,185,N,0,VBM PORTION,146,80,17,15
TORRANCE,7150049A,2684,185,N,1024,TOTAL,305,156,39,33
TORRANCE,7150050A,2685,180,N,1028,POLLING PLACE,156,64,20,20
TORRANCE,7150050A,2685,180,N,0,VBM PORTION,152,84,15,9
TORRANCE,7150050A,2685,180,N,1028,TOTAL,308,148,35,29
TORRANCE,7150051B,2686,185,N,1102,POLLING PLACE,126,63,18,26
TORRANCE,7150051B,2686,185,N,0,VBM PORTION,148,63,15,27
TORRANCE,7150051B,2686,185,N,1102,TOTAL,274,126,33,53
TORRANCE,7150055A,2687,185,N,911,POLLING PLACE,111,52,11,21
TORRANCE,7150055A,2687,185,N,0,VBM PORTION,130,48,17,23
TORRANCE,7150055A,2687,185,N,911,TOTAL,241,100,28,44
TORRANCE,7150056A,2688,185,N,1075,POLLING PLACE,194,87,33,24
TORRANCE,7150056A,2688,185,N,0,VBM PORTION,137,70,13,13
TORRANCE,7150056A,2688,185,N,1075,TOTAL,331,157,46,37
TORRANCE,7150058A,2689,185,N,1161,POLLING PLACE,137,49,16,38
TORRANCE,7150058A,2689,185,N,0,VBM PORTION,105,43,11,12
TORRANCE,7150058A,2689,185,N,1161,TOTAL,242,92,27,50
TORRANCE,7150061A,2690,182,N,1306,POLLING PLACE,163,85,11,20
TORRANCE,7150061A,2690,182,N,0,VBM PORTION,176,89,22,12
TORRANCE,7150061A,2690,182,N,1306,TOTAL,339,174,33,32
TORRANCE,7150064A,2691,182,N,1292,POLLING PLACE,255,123,35,31
TORRANCE,7150064A,2691,182,N,0,VBM PORTION,250,132,33,17
TORRANCE,7150064A,2691,182,N,1292,TOTAL,505,255,68,48
TORRANCE,7150065A,2692,182,N,1043,POLLING PLACE,101,55,9,11
TORRANCE,7150065A,2692,182,N,0,VBM PORTION,169,79,21,17
TORRANCE,7150065A,2692,182,N,1043,TOTAL,270,134,30,28
TORRANCE,7150067A,2693,182,N,1355,POLLING PLACE,217,94,45,37
TORRANCE,7150067A,2693,182,N,0,VBM PORTION,224,127,28,14
TORRANCE,7150067A,2693,182,N,1355,TOTAL,441,221,73,51
TORRANCE,7150068B,2694,182,N,1173,POLLING PLACE,180,76,38,26
TORRANCE,7150068B,2694,182,N,0,VBM PORTION,179,94,22,20
TORRANCE,7150068B,2694,182,N,1173,TOTAL,359,170,60,46
TORRANCE,7150069A,2695,182,N,1152,POLLING PLACE,166,84,23,13
TORRANCE,7150069A,2695,182,N,0,VBM PORTION,140,84,10,17
TORRANCE,7150069A,2695,182,N,1152,TOTAL,306,168,33,30
TORRANCE,7150071A,2696,180,N,984,POLLING PLACE,210,100,22,33
TORRANCE,7150071A,2696,180,N,0,VBM PORTION,133,65,20,11
TORRANCE,7150071A,2696,180,N,984,TOTAL,343,165,42,44
TORRANCE,7150076A,2697,185,N,1121,POLLING PLACE,109,50,21,5
TORRANCE,7150076A,2697,185,N,0,VBM PORTION,177,86,25,12
TORRANCE,7150076A,2697,185,N,1121,TOTAL,286,136,46,17
TORRANCE,7150077A,2698,185,N,950,POLLING PLACE,114,41,16,21
TORRANCE,7150077A,2698,185,N,0,VBM PORTION,143,65,12,15
TORRANCE,7150077A,2698,185,N,950,TOTAL,257,106,28,36
TORRANCE,7150078D,2699,180,N,749,POLLING PLACE,112,54,5,21
TORRANCE,7150078D,2699,180,N,0,VBM PORTION,156,73,5,15
TORRANCE,7150078D,2699,180,N,749,TOTAL,268,127,10,36
TORRANCE,7150081B,2700,180,N,902,POLLING PLACE,142,61,10,26
TORRANCE,7150081B,2700,180,N,0,VBM PORTION,150,77,8,14
TORRANCE,7150081B,2700,180,N,902,TOTAL,292,138,18,40
TORRANCE,7150082A,2701,180,N,1156,POLLING PLACE,224,98,37,24
TORRANCE,7150082A,2701,180,N,0,VBM PORTION,137,67,16,17
TORRANCE,7150082A,2701,180,N,1156,TOTAL,361,165,53,41
TORRANCE,7150084A,2702,180,N,1039,POLLING PLACE,191,89,28,21
TORRANCE,7150084A,2702,180,N,0,VBM PORTION,157,76,16,25
TORRANCE,7150084A,2702,180,N,1039,TOTAL,348,165,44,46
TORRANCE,7150087A,2703,182,N,1243,POLLING PLACE,137,54,15,31
TORRANCE,7150087A,2703,182,N,0,VBM PORTION,169,84,11,21
TORRANCE,7150087A,2703,182,N,1243,TOTAL,306,138,26,52
TORRANCE,7150090A,2704,180,N,980,POLLING PLACE,168,78,20,18
TORRANCE,7150090A,2704,180,N,0,VBM PORTION,163,88,17,20
TORRANCE,7150090A,2704,180,N,980,TOTAL,331,166,37,38
TORRANCE,7150092B,2705,180,N,1253,POLLING PLACE,262,112,31,38
TORRANCE,7150092B,2705,180,N,0,VBM PORTION,179,90,22,11
TORRANCE,7150092B,2705,180,N,1253,TOTAL,441,202,53,49
TORRANCE,7150094A,2706,180,N,1374,POLLING PLACE,174,75,17,27
TORRANCE,7150094A,2706,180,N,0,VBM PORTION,163,78,21,20
TORRANCE,7150094A,2706,180,N,1374,TOTAL,337,153,38,47
TORRANCE,7150098A,2707,180,N,1210,POLLING PLACE,263,90,30,48
TORRANCE,7150098A,2707,180,N,0,VBM PORTION,198,102,12,28
TORRANCE,7150098A,2707,180,N,1210,TOTAL,461,192,42,76
TORRANCE,7150101A,2708,180,N,1315,POLLING PLACE,178,85,15,28
TORRANCE,7150101A,2708,180,N,0,VBM PORTION,201,100,27,16
TORRANCE,7150101A,2708,180,N,1315,TOTAL,379,185,42,44
TORRANCE,7150102A,2709,180,N,1117,POLLING PLACE,153,68,12,26
TORRANCE,7150102A,2709,180,N,0,VBM PORTION,168,69,25,20
TORRANCE,7150102A,2709,180,N,1117,TOTAL,321,137,37,46
TORRANCE,7150104A,2710,180,N,885,POLLING PLACE,211,88,33,25
TORRANCE,7150104A,2710,180,N,0,VBM PORTION,188,98,13,10
TORRANCE,7150104A,2710,180,N,885,TOTAL,399,186,46,35
TORRANCE,7150106A,2711,180,N,1291,POLLING PLACE,241,101,30,23
TORRANCE,7150106A,2711,180,N,0,VBM PORTION,271,123,26,21
TORRANCE,7150106A,2711,180,N,1291,TOTAL,512,224,56,44
TORRANCE,7150109A,2712,180,N,1376,POLLING PLACE,268,105,27,38
TORRANCE,7150109A,2712,180,N,0,VBM PORTION,235,95,30,19
TORRANCE,7150109A,2712,180,N,1376,TOTAL,503,200,57,57
TORRANCE,7150112B,2713,180,N,1000,POLLING PLACE,176,75,16,21
TORRANCE,7150112B,2713,180,N,0,VBM PORTION,203,96,14,25
TORRANCE,7150112B,2713,180,N,1000,TOTAL,379,171,30,46
TORRANCE,7150114A,2714,180,N,1038,POLLING PLACE,150,65,23,9
TORRANCE,7150114A,2714,180,N,0,VBM PORTION,172,75,22,23
TORRANCE,7150114A,2714,180,N,1038,TOTAL,322,140,45,32
TORRANCE,7150115A,2715,180,N,899,POLLING PLACE,128,57,10,13
TORRANCE,7150115A,2715,180,N,0,VBM PORTION,88,31,9,6
TORRANCE,7150115A,2715,180,N,899,TOTAL,216,88,19,19
TORRANCE,7150116A,2716,182,N,1224,POLLING PLACE,194,85,28,31
TORRANCE,7150116A,2716,182,N,0,VBM PORTION,146,73,22,15
TORRANCE,7150116A,2716,182,N,1224,TOTAL,340,158,50,46
TORRANCE,7150121A,2717,182,N,1406,POLLING PLACE,252,119,36,36
TORRANCE,7150121A,2717,182,N,0,VBM PORTION,252,129,30,28
TORRANCE,7150121A,2717,182,N,1406,TOTAL,504,248,66,64
TORRANCE,7150125A,2718,185,N,838,POLLING PLACE,65,32,11,10
TORRANCE,7150125A,2718,185,N,0,VBM PORTION,74,37,8,5
TORRANCE,7150125A,2718,185,N,838,TOTAL,139,69,19,15
TORRANCE,7150131A,2719,180,N,902,POLLING PLACE,104,60,11,13
TORRANCE,7150131A,2719,180,N,0,VBM PORTION,101,56,10,7
TORRANCE,7150131A,2719,180,N,902,TOTAL,205,116,21,20
TORRANCE,7150132A,2720,180,N,1310,POLLING PLACE,147,58,23,25
TORRANCE,7150132A,2720,180,N,0,VBM PORTION,143,74,15,13
TORRANCE,7150132A,2720,180,N,1310,TOTAL,290,132,38,38
TORRANCE,7150137A,2721,185,N,902,POLLING PLACE,92,46,12,14
TORRANCE,7150137A,2721,185,N,0,VBM PORTION,89,54,7,6
TORRANCE,7150137A,2721,185,N,902,TOTAL,181,100,19,20
TORRANCE,7150144A,2722,180,N,1016,POLLING PLACE,150,63,16,30
TORRANCE,7150144A,2722,180,N,0,VBM PORTION,155,59,19,20
TORRANCE,7150144A,2722,180,N,1016,TOTAL,305,122,35,50
TORRANCE,7150146A,2723,180,N,922,POLLING PLACE,101,43,13,16
TORRANCE,7150146A,2723,180,N,0,VBM PORTION,93,44,11,8
TORRANCE,7150146A,2723,180,N,922,TOTAL,194,87,24,24
TORRANCE,7150149A,2724,185,N,1238,POLLING PLACE,160,50,20,32
