LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TODD ROYAL,MIKE GATTO
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0
BURBANK,0950001A,292,47,N,1270,POLLING PLACE,127,26,85
BURBANK,0950001A,292,47,N,0,VBM PORTION,118,37,67
BURBANK,0950001A,292,47,N,1270,TOTAL,245,63,152
BURBANK,0950005B,293,47,N,1293,POLLING PLACE,88,31,50
BURBANK,0950005B,293,47,N,0,VBM PORTION,80,29,45
BURBANK,0950005B,293,47,N,1293,TOTAL,168,60,95
BURBANK,0950008A,294,47,N,1031,POLLING PLACE,93,37,53
BURBANK,0950008A,294,47,N,0,VBM PORTION,117,38,68
BURBANK,0950008A,294,47,N,1031,TOTAL,210,75,121
BURBANK,0950009A,295,47,N,1345,POLLING PLACE,125,53,63
BURBANK,0950009A,295,47,N,0,VBM PORTION,164,74,74
BURBANK,0950009A,295,47,N,1345,TOTAL,289,127,137
BURBANK,0950011A,296,47,N,459,POLLING PLACE,38,13,19
BURBANK,0950011A,296,47,N,0,VBM PORTION,54,13,32
BURBANK,0950011A,296,47,N,459,TOTAL,92,26,51
BURBANK,0950012A,297,48,N,766,POLLING PLACE,65,25,35
BURBANK,0950012A,297,48,N,0,VBM PORTION,72,20,42
BURBANK,0950012A,297,48,N,766,TOTAL,137,45,77
BURBANK,0950013B,298,47,N,1191,POLLING PLACE,115,57,47
BURBANK,0950013B,298,47,N,0,VBM PORTION,124,71,40
BURBANK,0950013B,298,47,N,1191,TOTAL,239,128,87
BURBANK,0950015A,299,47,N,1332,POLLING PLACE,47,14,32
BURBANK,0950015A,299,47,N,0,VBM PORTION,113,16,82
BURBANK,0950015A,299,47,N,1332,TOTAL,160,30,114
BURBANK,0950016A,300,37,N,1270,POLLING PLACE,117,37,69
BURBANK,0950016A,300,37,N,0,VBM PORTION,133,49,66
BURBANK,0950016A,300,37,N,1270,TOTAL,250,86,135
BURBANK,0950017A,301,48,N,481,POLLING PLACE,38,14,22
BURBANK,0950017A,301,48,N,0,VBM PORTION,29,10,18
BURBANK,0950017A,301,48,N,481,TOTAL,67,24,40
BURBANK,0950018A,302,47,N,595,POLLING PLACE,15,4,11
BURBANK,0950018A,302,47,N,0,VBM PORTION,24,6,17
BURBANK,0950018A,302,47,N,595,TOTAL,39,10,28
BURBANK,0950019A,303,47,N,1298,POLLING PLACE,70,22,42
BURBANK,0950019A,303,47,N,0,VBM PORTION,86,34,43
BURBANK,0950019A,303,47,N,1298,TOTAL,156,56,85
BURBANK,0950022A,304,47,N,1006,POLLING PLACE,56,26,27
BURBANK,0950022A,304,47,N,0,VBM PORTION,58,26,29
BURBANK,0950022A,304,47,N,1006,TOTAL,114,52,56
BURBANK,0950024C,305,47,N,1291,POLLING PLACE,133,51,73
BURBANK,0950024C,305,47,N,0,VBM PORTION,142,57,75
BURBANK,0950024C,305,47,N,1291,TOTAL,275,108,148
BURBANK,0950025A,306,47,N,449,POLLING PLACE,64,29,29
BURBANK,0950025A,306,47,N,0,VBM PORTION,45,12,29
BURBANK,0950025A,306,47,N,449,TOTAL,109,41,58
BURBANK,0950027A,307,47,N,1336,POLLING PLACE,59,14,33
BURBANK,0950027A,307,47,N,0,VBM PORTION,72,21,42
BURBANK,0950027A,307,47,N,1336,TOTAL,131,35,75
BURBANK,0950031A,308,47,N,1132,POLLING PLACE,125,45,70
BURBANK,0950031A,308,47,N,0,VBM PORTION,97,42,38
BURBANK,0950031A,308,47,N,1132,TOTAL,222,87,108
BURBANK,0950032A,309,47,N,1181,POLLING PLACE,131,41,75
BURBANK,0950032A,309,47,N,0,VBM PORTION,99,36,59
BURBANK,0950032A,309,47,N,1181,TOTAL,230,77,134
BURBANK,0950035A,310,37,N,875,POLLING PLACE,46,13,30
BURBANK,0950035A,310,37,N,0,VBM PORTION,39,9,25
BURBANK,0950035A,310,37,N,875,TOTAL,85,22,55
BURBANK,0950040A,311,48,N,889,POLLING PLACE,99,37,52
BURBANK,0950040A,311,48,N,0,VBM PORTION,79,33,37
BURBANK,0950040A,311,48,N,889,TOTAL,178,70,89
BURBANK,0950042A,312,47,N,999,POLLING PLACE,24,6,18
BURBANK,0950042A,312,47,N,0,VBM PORTION,28,5,23
BURBANK,0950042A,312,47,N,999,TOTAL,52,11,41
BURBANK,0950131A,313,47,N,1076,POLLING PLACE,83,28,49
BURBANK,0950131A,313,47,N,0,VBM PORTION,90,26,59
BURBANK,0950131A,313,47,N,1076,TOTAL,173,54,108
BURBANK,0950132A,314,47,N,1244,POLLING PLACE,78,32,42
BURBANK,0950132A,314,47,N,0,VBM PORTION,73,27,40
BURBANK,0950132A,314,47,N,1244,TOTAL,151,59,82
BURBANK,0950134A,315,47,N,1236,POLLING PLACE,156,62,81
BURBANK,0950134A,315,47,N,0,VBM PORTION,98,33,58
BURBANK,0950134A,315,47,N,1236,TOTAL,254,95,139
BURBANK,0950135A,316,47,N,1367,POLLING PLACE,116,56,56
BURBANK,0950135A,316,47,N,0,VBM PORTION,148,80,53
BURBANK,0950135A,316,47,N,1367,TOTAL,264,136,109
BURBANK,0950137A,317,47,N,885,POLLING PLACE,79,32,40
BURBANK,0950137A,317,47,N,0,VBM PORTION,63,34,21
BURBANK,0950137A,317,47,N,885,TOTAL,142,66,61
BURBANK,0950140A,318,47,N,1039,POLLING PLACE,95,44,46
BURBANK,0950140A,318,47,N,0,VBM PORTION,124,57,60
BURBANK,0950140A,318,47,N,1039,TOTAL,219,101,106
BURBANK,0950142A,319,47,N,1285,POLLING PLACE,84,24,57
BURBANK,0950142A,319,47,N,0,VBM PORTION,81,25,55
BURBANK,0950142A,319,47,N,1285,TOTAL,165,49,112
BURBANK,0950144A,320,47,N,1397,POLLING PLACE,56,24,25
BURBANK,0950144A,320,47,N,0,VBM PORTION,83,19,58
BURBANK,0950144A,320,47,N,1397,TOTAL,139,43,83
BURBANK,0950146A,321,47,N,1289,POLLING PLACE,108,32,66
BURBANK,0950146A,321,47,N,0,VBM PORTION,77,23,52
BURBANK,0950146A,321,47,N,1289,TOTAL,185,55,118
BURBANK,0950149A,322,47,N,955,POLLING PLACE,78,40,33
BURBANK,0950149A,322,47,N,0,VBM PORTION,120,65,53
BURBANK,0950149A,322,47,N,955,TOTAL,198,105,86
BURBANK,0950151A,323,47,N,1413,POLLING PLACE,97,31,57
BURBANK,0950151A,323,47,N,0,VBM PORTION,104,28,67
BURBANK,0950151A,323,47,N,1413,TOTAL,201,59,124
BURBANK,0950154A,324,47,N,1221,POLLING PLACE,60,13,46
BURBANK,0950154A,324,47,N,0,VBM PORTION,115,25,80
BURBANK,0950154A,324,47,N,1221,TOTAL,175,38,126
BURBANK,0950155A,325,47,N,1391,POLLING PLACE,98,18,71
BURBANK,0950155A,325,47,N,0,VBM PORTION,99,21,70
BURBANK,0950155A,325,47,N,1391,TOTAL,197,39,141
BURBANK,0950157A,326,47,N,1038,POLLING PLACE,35,8,25
BURBANK,0950157A,326,47,N,0,VBM PORTION,46,6,34
BURBANK,0950157A,326,47,N,1038,TOTAL,81,14,59
BURBANK,0950158B,327,47,N,1264,POLLING PLACE,76,27,44
BURBANK,0950158B,327,47,N,0,VBM PORTION,60,26,29
BURBANK,0950158B,327,47,N,1264,TOTAL,136,53,73
BURBANK,0950160A,328,47,N,1157,POLLING PLACE,58,14,37
BURBANK,0950160A,328,47,N,0,VBM PORTION,51,9,32
BURBANK,0950160A,328,47,N,1157,TOTAL,109,23,69
BURBANK,0950161A,329,47,N,1217,POLLING PLACE,86,37,42
BURBANK,0950161A,329,47,N,0,VBM PORTION,113,49,53
BURBANK,0950161A,329,47,N,1217,TOTAL,199,86,95
BURBANK,0950162A,330,47,N,1059,POLLING PLACE,95,34,53
BURBANK,0950162A,330,47,N,0,VBM PORTION,99,39,56
BURBANK,0950162A,330,47,N,1059,TOTAL,194,73,109
BURBANK,0950163A,331,47,N,1037,POLLING PLACE,105,48,53
BURBANK,0950163A,331,47,N,0,VBM PORTION,82,30,46
BURBANK,0950163A,331,47,N,1037,TOTAL,187,78,99
BURBANK,0950166B,332,47,N,753,POLLING PLACE,56,13,36
BURBANK,0950166B,332,47,N,0,VBM PORTION,54,19,31
BURBANK,0950166B,332,47,N,753,TOTAL,110,32,67
BURBANK,0950175A,333,48,N,1254,POLLING PLACE,111,25,76
BURBANK,0950175A,333,48,N,0,VBM PORTION,87,33,51
BURBANK,0950175A,333,48,N,1254,TOTAL,198,58,127
BURBANK,0950177A,334,48,N,1421,POLLING PLACE,136,29,99
BURBANK,0950177A,334,48,N,0,VBM PORTION,132,38,80
BURBANK,0950177A,334,48,N,1421,TOTAL,268,67,179
BURBANK,0950178A,335,37,N,1331,POLLING PLACE,100,29,67
BURBANK,0950178A,335,37,N,0,VBM PORTION,118,38,65
BURBANK,0950178A,335,37,N,1331,TOTAL,218,67,132
BURBANK,0950180A,336,48,N,961,POLLING PLACE,86,34,43
BURBANK,0950180A,336,48,N,0,VBM PORTION,101,30,59
BURBANK,0950180A,336,48,N,961,TOTAL,187,64,102
BURBANK,0950181A,337,48,N,959,POLLING PLACE,98,36,59
BURBANK,0950181A,337,48,N,0,VBM PORTION,100,38,56
BURBANK,0950181A,337,48,N,959,TOTAL,198,74,115
BURBANK,0950182A,338,48,N,1095,POLLING PLACE,97,32,63
BURBANK,0950182A,338,48,N,0,VBM PORTION,83,27,47
BURBANK,0950182A,338,48,N,1095,TOTAL,180,59,110
BURBANK,0950184A,339,47,N,1319,POLLING PLACE,101,41,56
BURBANK,0950184A,339,47,N,0,VBM PORTION,99,34,56
BURBANK,0950184A,339,47,N,1319,TOTAL,200,75,112
