LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,KERMIT F FRANKLIN,TOM LACKEY,SUZETTE M MARTINEZ,JD KENNEDY
LANCASTER,3550001A,1310,2,N,1380,TOTAL,193,64,6,70,20,21
LANCASTER,3550003A,1311,2,N,1124,POLLING PLACE,115,22,3,42,13,26
LANCASTER,3550003A,1311,2,N,0,VBM PORTION,120,30,4,56,15,10
LANCASTER,3550003A,1311,2,N,1124,TOTAL,235,52,7,98,28,36
LANCASTER,3550003D,1312,2,N,1395,POLLING PLACE,62,23,3,21,4,8
LANCASTER,3550003D,1312,2,N,0,VBM PORTION,111,30,3,40,5,22
LANCASTER,3550003D,1312,2,N,1395,TOTAL,173,53,6,61,9,30
LANCASTER,3550004A,1313,2,N,1634,POLLING PLACE,117,69,7,19,2,13
LANCASTER,3550004A,1313,2,N,0,VBM PORTION,171,86,21,33,6,14
LANCASTER,3550004A,1313,2,N,1634,TOTAL,288,155,28,52,8,27
LANCASTER,3550007A,1314,3,N,1240,POLLING PLACE,69,26,2,17,9,14
LANCASTER,3550007A,1314,3,N,0,VBM PORTION,106,47,8,38,5,3
LANCASTER,3550007A,1314,3,N,1240,TOTAL,175,73,10,55,14,17
LANCASTER,3550008A,1315,3,N,1363,POLLING PLACE,78,29,8,17,6,13
LANCASTER,3550008A,1315,3,N,0,VBM PORTION,90,34,6,28,12,3
LANCASTER,3550008A,1315,3,N,1363,TOTAL,168,63,14,45,18,16
LANCASTER,3550009A,1316,3,N,1336,POLLING PLACE,59,25,6,15,4,8
LANCASTER,3550009A,1316,3,N,0,VBM PORTION,70,30,8,22,4,2
LANCASTER,3550009A,1316,3,N,1336,TOTAL,129,55,14,37,8,10
LANCASTER,3550011B,1317,3,N,1314,POLLING PLACE,91,28,6,27,14,14
LANCASTER,3550011B,1317,3,N,0,VBM PORTION,112,46,4,37,11,6
LANCASTER,3550011B,1317,3,N,1314,TOTAL,203,74,10,64,25,20
LANCASTER,3550013A,1318,3,N,1235,POLLING PLACE,81,29,4,32,4,4
LANCASTER,3550013A,1318,3,N,0,VBM PORTION,71,25,2,24,4,7
LANCASTER,3550013A,1318,3,N,1235,TOTAL,152,54,6,56,8,11
LANCASTER,3550015A,1319,3,N,1519,POLLING PLACE,124,36,3,53,13,14
LANCASTER,3550015A,1319,3,N,0,VBM PORTION,111,35,11,40,12,7
LANCASTER,3550015A,1319,3,N,1519,TOTAL,235,71,14,93,25,21
LANCASTER,3550018A,1320,3,N,1211,POLLING PLACE,99,56,6,18,11,3
LANCASTER,3550018A,1320,3,N,0,VBM PORTION,87,32,15,27,3,7
LANCASTER,3550018A,1320,3,N,1211,TOTAL,186,88,21,45,14,10
LANCASTER,3550019D,1321,3,N,1152,POLLING PLACE,80,36,2,20,4,16
LANCASTER,3550019D,1321,3,N,0,VBM PORTION,132,43,5,58,10,13
LANCASTER,3550019D,1321,3,N,1152,TOTAL,212,79,7,78,14,29
LANCASTER,3550020B,1322,2,N,1436,POLLING PLACE,113,45,0,39,5,22
LANCASTER,3550020B,1322,2,N,0,VBM PORTION,143,30,4,63,22,17
LANCASTER,3550020B,1322,2,N,1436,TOTAL,256,75,4,102,27,39
LANCASTER,3550022A,1323,3,N,1340,POLLING PLACE,96,27,2,40,3,19
LANCASTER,3550022A,1323,3,N,0,VBM PORTION,103,49,3,28,11,8
LANCASTER,3550022A,1323,3,N,1340,TOTAL,199,76,5,68,14,27
LANCASTER,3550023A,1324,2,N,974,POLLING PLACE,90,24,4,37,6,11
LANCASTER,3550023A,1324,2,N,0,VBM PORTION,74,30,3,21,6,9
LANCASTER,3550023A,1324,2,N,974,TOTAL,164,54,7,58,12,20
LANCASTER,3550024A,1325,2,N,1299,POLLING PLACE,90,39,4,18,13,13
LANCASTER,3550024A,1325,2,N,0,VBM PORTION,76,27,7,16,8,6
LANCASTER,3550024A,1325,2,N,1299,TOTAL,166,66,11,34,21,19
LANCASTER,3550026A,1326,3,N,1136,POLLING PLACE,103,38,2,31,13,18
LANCASTER,3550026A,1326,3,N,0,VBM PORTION,73,21,7,23,6,8
LANCASTER,3550026A,1326,3,N,1136,TOTAL,176,59,9,54,19,26
LANCASTER,3550029A,1327,2,N,1493,POLLING PLACE,204,54,2,62,12,66
LANCASTER,3550029A,1327,2,N,0,VBM PORTION,232,55,9,97,11,40
LANCASTER,3550029A,1327,2,N,1493,TOTAL,436,109,11,159,23,106
LANCASTER,3550030B,1328,3,N,1244,POLLING PLACE,94,34,4,33,9,11
LANCASTER,3550030B,1328,3,N,0,VBM PORTION,95,33,6,31,9,10
LANCASTER,3550030B,1328,3,N,1244,TOTAL,189,67,10,64,18,21
LANCASTER,3550032A,1329,3,N,945,POLLING PLACE,65,17,2,26,8,9
LANCASTER,3550032A,1329,3,N,0,VBM PORTION,91,22,4,43,5,9
LANCASTER,3550032A,1329,3,N,945,TOTAL,156,39,6,69,13,18
LANCASTER,3550033A,1330,2,N,949,POLLING PLACE,135,25,6,59,10,34
LANCASTER,3550033A,1330,2,N,0,VBM PORTION,89,28,5,31,7,11
LANCASTER,3550033A,1330,2,N,949,TOTAL,224,53,11,90,17,45
LANCASTER,3550034A,1331,3,N,1007,POLLING PLACE,56,26,5,13,5,4
LANCASTER,3550034A,1331,3,N,0,VBM PORTION,53,24,3,18,5,1
LANCASTER,3550034A,1331,3,N,1007,TOTAL,109,50,8,31,10,5
LANCASTER,3550035B,1332,2,N,1368,POLLING PLACE,86,30,4,29,12,10
LANCASTER,3550035B,1332,2,N,0,VBM PORTION,106,34,6,45,5,8
LANCASTER,3550035B,1332,2,N,1368,TOTAL,192,64,10,74,17,18
LANCASTER,3550036A,1333,3,N,820,POLLING PLACE,58,26,1,13,6,10
LANCASTER,3550036A,1333,3,N,0,VBM PORTION,57,22,5,17,2,4
LANCASTER,3550036A,1333,3,N,820,TOTAL,115,48,6,30,8,14
LANCASTER,3550040A,1334,2,N,1389,POLLING PLACE,110,41,5,31,9,17
LANCASTER,3550040A,1334,2,N,0,VBM PORTION,125,43,8,43,8,12
LANCASTER,3550040A,1334,2,N,1389,TOTAL,235,84,13,74,17,29
LANCASTER,3550041A,1335,3,N,1161,POLLING PLACE,85,30,5,28,12,9
LANCASTER,3550041A,1335,3,N,0,VBM PORTION,103,31,4,54,8,5
LANCASTER,3550041A,1335,3,N,1161,TOTAL,188,61,9,82,20,14
LANCASTER,3550042A,1336,3,N,1325,POLLING PLACE,86,27,6,34,5,9
LANCASTER,3550042A,1336,3,N,0,VBM PORTION,82,31,5,31,8,4
LANCASTER,3550042A,1336,3,N,1325,TOTAL,168,58,11,65,13,13
LANCASTER,3550044A,1337,2,N,1178,POLLING PLACE,96,20,2,42,6,22
LANCASTER,3550044A,1337,2,N,0,VBM PORTION,124,33,5,50,15,15
LANCASTER,3550044A,1337,2,N,1178,TOTAL,220,53,7,92,21,37
LANCASTER,3550045A,1338,2,N,1457,POLLING PLACE,90,31,4,37,5,10
LANCASTER,3550045A,1338,2,N,0,VBM PORTION,127,38,3,52,15,14
LANCASTER,3550045A,1338,2,N,1457,TOTAL,217,69,7,89,20,24
LANCASTER,3550047B,1339,2,N,619,POLLING PLACE,27,10,1,11,0,5
LANCASTER,3550047B,1339,2,N,0,VBM PORTION,52,22,3,22,1,2
LANCASTER,3550047B,1339,2,N,619,TOTAL,79,32,4,33,1,7
LANCASTER,3550048A,1340,3,N,1158,POLLING PLACE,66,26,2,22,8,4
LANCASTER,3550048A,1340,3,N,0,VBM PORTION,87,33,7,30,5,10
LANCASTER,3550048A,1340,3,N,1158,TOTAL,153,59,9,52,13,14
LANCASTER,3550050A,1341,3,N,1275,POLLING PLACE,49,22,1,18,2,4
LANCASTER,3550050A,1341,3,N,0,VBM PORTION,73,30,4,18,7,12
LANCASTER,3550050A,1341,3,N,1275,TOTAL,122,52,5,36,9,16
LANCASTER,3550053A,1342,2,N,1272,POLLING PLACE,86,40,4,19,11,10
LANCASTER,3550053A,1342,2,N,0,VBM PORTION,97,41,3,38,3,10
LANCASTER,3550053A,1342,2,N,1272,TOTAL,183,81,7,57,14,20
LANCASTER,3550054A,1343,3,N,1216,POLLING PLACE,79,26,6,19,10,15
LANCASTER,3550054A,1343,3,N,0,VBM PORTION,77,26,7,33,3,5
LANCASTER,3550054A,1343,3,N,1216,TOTAL,156,52,13,52,13,20
LANCASTER,3550058A,1344,3,N,841,POLLING PLACE,87,17,1,45,8,14
LANCASTER,3550058A,1344,3,N,0,VBM PORTION,92,14,3,47,2,20
LANCASTER,3550058A,1344,3,N,841,TOTAL,179,31,4,92,10,34
LANCASTER,3550059A,1345,3,N,984,POLLING PLACE,113,33,7,51,7,12
LANCASTER,3550059A,1345,3,N,0,VBM PORTION,101,19,2,53,5,14
LANCASTER,3550059A,1345,3,N,984,TOTAL,214,52,9,104,12,26
LANCASTER,3550060A,1346,2,N,1099,POLLING PLACE,131,25,6,51,9,37
LANCASTER,3550060A,1346,2,N,0,VBM PORTION,132,34,3,71,7,12
LANCASTER,3550060A,1346,2,N,1099,TOTAL,263,59,9,122,16,49
LANCASTER,3550061A,1347,3,N,1420,POLLING PLACE,145,30,4,63,13,26
LANCASTER,3550061A,1347,3,N,0,VBM PORTION,109,27,6,46,13,14
LANCASTER,3550061A,1347,3,N,1420,TOTAL,254,57,10,109,26,40
LANCASTER,3550064A,1348,2,N,1542,POLLING PLACE,98,25,3,32,7,28
LANCASTER,3550064A,1348,2,N,0,VBM PORTION,128,45,6,52,4,9
LANCASTER,3550064A,1348,2,N,1542,TOTAL,226,70,9,84,11,37
LANCASTER,3550065A,1349,3,N,1377,POLLING PLACE,175,37,11,76,10,36
LANCASTER,3550065A,1349,3,N,0,VBM PORTION,235,39,4,125,19,35
LANCASTER,3550065A,1349,3,N,1377,TOTAL,410,76,15,201,29,71
LANCASTER,3550069A,1350,2,N,894,POLLING PLACE,49,14,2,17,8,6
LANCASTER,3550069A,1350,2,N,0,VBM PORTION,65,20,6,27,2,7
LANCASTER,3550069A,1350,2,N,894,TOTAL,114,34,8,44,10,13
LANCASTER,3550075A,1351,2,N,1231,POLLING PLACE,89,42,5,24,8,9
LANCASTER,3550075A,1351,2,N,0,VBM PORTION,62,16,3,29,5,5
LANCASTER,3550075A,1351,2,N,1231,TOTAL,151,58,8,53,13,14
LANCASTER,3550077A,1352,3,N,1260,POLLING PLACE,86,43,5,23,5,6
LANCASTER,3550077A,1352,3,N,0,VBM PORTION,87,30,4,28,10,11
LANCASTER,3550077A,1352,3,N,1260,TOTAL,173,73,9,51,15,17
LANCASTER,3550079A,1353,3,N,1406,POLLING PLACE,127,44,2,38,7,31
LANCASTER,3550079A,1353,3,N,0,VBM PORTION,170,47,6,76,11,23
LANCASTER,3550079A,1353,3,N,1406,TOTAL,297,91,8,114,18,54
