LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MIKE MEZA,ROGER HERNANDEZ,JOE M GARDNER
AZUSA,0550001A,139,66,N,624,POLLING PLACE,26,2,14,7
AZUSA,0550001A,139,66,N,0,VBM PORTION,22,1,12,6
AZUSA,0550001A,139,66,N,624,TOTAL,48,3,26,13
AZUSA,0550002A,140,66,N,790,POLLING PLACE,56,6,24,21
AZUSA,0550002A,140,66,N,0,VBM PORTION,32,5,17,6
AZUSA,0550002A,140,66,N,790,TOTAL,88,11,41,27
AZUSA,0550008A,141,66,N,1080,POLLING PLACE,95,4,60,27
AZUSA,0550008A,141,66,N,0,VBM PORTION,52,3,27,16
AZUSA,0550008A,141,66,N,1080,TOTAL,147,7,87,43
AZUSA,0550009A,142,66,N,1205,POLLING PLACE,88,10,51,17
AZUSA,0550009A,142,66,N,0,VBM PORTION,58,5,38,13
AZUSA,0550009A,142,66,N,1205,TOTAL,146,15,89,30
AZUSA,0550010B,143,66,N,818,POLLING PLACE,27,0,21,3
AZUSA,0550010B,143,66,N,0,VBM PORTION,25,1,7,15
AZUSA,0550010B,143,66,N,818,TOTAL,52,1,28,18
AZUSA,0550011A,144,66,N,796,POLLING PLACE,57,5,25,23
AZUSA,0550011A,144,66,N,0,VBM PORTION,99,4,33,53
AZUSA,0550011A,144,66,N,796,TOTAL,156,9,58,76
AZUSA,0550012A,145,66,N,630,POLLING PLACE,35,4,18,11
AZUSA,0550012A,145,66,N,0,VBM PORTION,16,1,10,5
AZUSA,0550012A,145,66,N,630,TOTAL,51,5,28,16
AZUSA,0550012B,146,66,N,939,POLLING PLACE,82,16,35,19
AZUSA,0550012B,146,66,N,0,VBM PORTION,45,3,25,17
AZUSA,0550012B,146,66,N,939,TOTAL,127,19,60,36
AZUSA,0550023F,147,66,N,451,POLLING PLACE,24,3,15,6
AZUSA,0550023F,147,66,N,0,VBM PORTION,31,3,19,7
AZUSA,0550023F,147,66,N,451,TOTAL,55,6,34,13
AZUSA,0550025A,148,66,N,1185,POLLING PLACE,77,18,33,22
AZUSA,0550025A,148,66,N,0,VBM PORTION,59,1,33,21
AZUSA,0550025A,148,66,N,1185,TOTAL,136,19,66,43
AZUSA,0550025B,149,66,N,510,POLLING PLACE,25,4,15,2
AZUSA,0550025B,149,66,N,0,VBM PORTION,24,4,16,3
AZUSA,0550025B,149,66,N,510,TOTAL,49,8,31,5
AZUSA,0550073A,150,66,N,884,POLLING PLACE,63,12,30,17
AZUSA,0550073A,150,66,N,0,VBM PORTION,67,8,28,27
AZUSA,0550073A,150,66,N,884,TOTAL,130,20,58,44
AZUSA,0550074A,151,66,N,1181,POLLING PLACE,75,5,38,28
AZUSA,0550074A,151,66,N,0,VBM PORTION,73,8,37,13
AZUSA,0550074A,151,66,N,1181,TOTAL,148,13,75,41
AZUSA,0550076A,152,66,N,673,POLLING PLACE,42,2,19,17
AZUSA,0550076A,152,66,N,0,VBM PORTION,28,2,12,10
AZUSA,0550076A,152,66,N,673,TOTAL,70,4,31,27
AZUSA,0550078A,153,66,N,1268,POLLING PLACE,77,11,44,15
AZUSA,0550078A,153,66,N,0,VBM PORTION,54,3,31,19
AZUSA,0550078A,153,66,N,1268,TOTAL,131,14,75,34
AZUSA,0550079A,154,66,N,852,POLLING PLACE,60,7,23,26
AZUSA,0550079A,154,66,N,0,VBM PORTION,137,8,41,68
AZUSA,0550079A,154,66,N,852,TOTAL,197,15,64,94
AZUSA,0550080A,155,66,N,1246,POLLING PLACE,116,12,62,31
AZUSA,0550080A,155,66,N,0,VBM PORTION,93,6,40,38
AZUSA,0550080A,155,66,N,1246,TOTAL,209,18,102,69
AZUSA,0550081A,156,66,N,793,POLLING PLACE,60,3,22,26
AZUSA,0550081A,156,66,N,0,VBM PORTION,88,10,29,43
AZUSA,0550081A,156,66,N,793,TOTAL,148,13,51,69
AZUSA,0550084B,157,66,N,927,POLLING PLACE,75,8,34,24
AZUSA,0550084B,157,66,N,0,VBM PORTION,72,7,26,32
AZUSA,0550084B,157,66,N,927,TOTAL,147,15,60,56
AZUSA,0550085A,158,66,N,959,POLLING PLACE,73,6,36,27
AZUSA,0550085A,158,66,N,0,VBM PORTION,78,10,33,27
AZUSA,0550085A,158,66,N,959,TOTAL,151,16,69,54
AZUSA,0550086A,159,66,N,631,POLLING PLACE,75,5,29,31
AZUSA,0550086A,159,66,N,0,VBM PORTION,46,5,16,22
AZUSA,0550086A,159,66,N,631,TOTAL,121,10,45,53
BALDWIN PARK,0600001A,160,66,N,1066,POLLING PLACE,53,6,37,7
BALDWIN PARK,0600001A,160,66,N,0,VBM PORTION,35,2,28,4
BALDWIN PARK,0600001A,160,66,N,1066,TOTAL,88,8,65,11
BALDWIN PARK,0600002A,161,66,N,1150,POLLING PLACE,52,2,42,6
BALDWIN PARK,0600002A,161,66,N,0,VBM PORTION,50,3,25,14
BALDWIN PARK,0600002A,161,66,N,1150,TOTAL,102,5,67,20
BALDWIN PARK,0600006A,162,66,N,1109,POLLING PLACE,76,5,53,13
BALDWIN PARK,0600006A,162,66,N,0,VBM PORTION,42,2,22,15
BALDWIN PARK,0600006A,162,66,N,1109,TOTAL,118,7,75,28
BALDWIN PARK,0600007A,163,66,N,904,POLLING PLACE,49,3,37,5
BALDWIN PARK,0600007A,163,66,N,0,VBM PORTION,45,4,32,7
BALDWIN PARK,0600007A,163,66,N,904,TOTAL,94,7,69,12
BALDWIN PARK,0600008A,164,66,N,1061,POLLING PLACE,84,5,56,16
BALDWIN PARK,0600008A,164,66,N,0,VBM PORTION,54,9,34,7
BALDWIN PARK,0600008A,164,66,N,1061,TOTAL,138,14,90,23
BALDWIN PARK,0600009A,165,66,N,1176,POLLING PLACE,57,2,44,9
BALDWIN PARK,0600009A,165,66,N,0,VBM PORTION,43,0,28,14
BALDWIN PARK,0600009A,165,66,N,1176,TOTAL,100,2,72,23
BALDWIN PARK,0600010A,166,66,N,1008,POLLING PLACE,75,6,55,7
BALDWIN PARK,0600010A,166,66,N,0,VBM PORTION,56,7,35,8
BALDWIN PARK,0600010A,166,66,N,1008,TOTAL,131,13,90,15
BALDWIN PARK,0600012A,167,66,N,1214,POLLING PLACE,60,6,38,12
BALDWIN PARK,0600012A,167,66,N,0,VBM PORTION,52,4,24,20
BALDWIN PARK,0600012A,167,66,N,1214,TOTAL,112,10,62,32
BALDWIN PARK,0600013A,168,66,N,1224,POLLING PLACE,76,5,59,6
BALDWIN PARK,0600013A,168,66,N,0,VBM PORTION,75,11,46,16
BALDWIN PARK,0600013A,168,66,N,1224,TOTAL,151,16,105,22
BALDWIN PARK,0600014A,169,66,N,1227,POLLING PLACE,78,8,46,18
BALDWIN PARK,0600014A,169,66,N,0,VBM PORTION,72,6,47,14
BALDWIN PARK,0600014A,169,66,N,1227,TOTAL,150,14,93,32
BALDWIN PARK,0600016A,170,66,N,1135,POLLING PLACE,61,3,41,15
BALDWIN PARK,0600016A,170,66,N,0,VBM PORTION,67,8,44,9
BALDWIN PARK,0600016A,170,66,N,1135,TOTAL,128,11,85,24
BALDWIN PARK,0600017A,171,66,N,505,POLLING PLACE,29,2,16,10
BALDWIN PARK,0600017A,171,66,N,0,VBM PORTION,31,2,19,10
BALDWIN PARK,0600017A,171,66,N,505,TOTAL,60,4,35,20
BALDWIN PARK,0600019A,172,66,N,1233,POLLING PLACE,81,3,50,26
BALDWIN PARK,0600019A,172,66,N,0,VBM PORTION,60,5,30,21
BALDWIN PARK,0600019A,172,66,N,1233,TOTAL,141,8,80,47
BALDWIN PARK,0600020A,173,66,N,1200,POLLING PLACE,67,8,36,18
BALDWIN PARK,0600020A,173,66,N,0,VBM PORTION,45,1,31,10
BALDWIN PARK,0600020A,173,66,N,1200,TOTAL,112,9,67,28
BALDWIN PARK,0600021B,174,66,N,841,POLLING PLACE,34,3,23,4
BALDWIN PARK,0600021B,174,66,N,0,VBM PORTION,36,1,26,6
BALDWIN PARK,0600021B,174,66,N,841,TOTAL,70,4,49,10
BALDWIN PARK,0600024E,175,66,N,1235,POLLING PLACE,59,4,31,19
BALDWIN PARK,0600024E,175,66,N,0,VBM PORTION,80,8,46,15
BALDWIN PARK,0600024E,175,66,N,1235,TOTAL,139,12,77,34
BALDWIN PARK,0600025A,176,66,N,750,POLLING PLACE,36,3,27,2
BALDWIN PARK,0600025A,176,66,N,0,VBM PORTION,26,3,17,5
BALDWIN PARK,0600025A,176,66,N,750,TOTAL,62,6,44,7
BALDWIN PARK,0600026A,177,66,N,964,POLLING PLACE,60,5,41,12
BALDWIN PARK,0600026A,177,66,N,0,VBM PORTION,37,3,19,10
BALDWIN PARK,0600026A,177,66,N,964,TOTAL,97,8,60,22
BALDWIN PARK,0600027A,178,66,N,1197,POLLING PLACE,75,14,47,9
BALDWIN PARK,0600027A,178,66,N,0,VBM PORTION,58,1,39,16
BALDWIN PARK,0600027A,178,66,N,1197,TOTAL,133,15,86,25
BALDWIN PARK,0600028A,179,66,N,998,POLLING PLACE,53,3,32,11
BALDWIN PARK,0600028A,179,66,N,0,VBM PORTION,42,3,24,11
