LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MIKE MEZA,ROGER HERNANDEZ,JOE M GARDNER
BALDWIN PARK,0600028A,179,66,N,998,TOTAL,95,6,56,22
BALDWIN PARK,0600029A,180,66,N,1143,POLLING PLACE,51,2,38,3
BALDWIN PARK,0600029A,180,66,N,0,VBM PORTION,43,4,36,2
BALDWIN PARK,0600029A,180,66,N,1143,TOTAL,94,6,74,5
BALDWIN PARK,0600030A,181,66,N,784,POLLING PLACE,49,3,30,9
BALDWIN PARK,0600030A,181,66,N,0,VBM PORTION,42,8,26,5
BALDWIN PARK,0600030A,181,66,N,784,TOTAL,91,11,56,14
BALDWIN PARK,0600034A,182,66,N,1028,POLLING PLACE,41,3,26,8
BALDWIN PARK,0600034A,182,66,N,0,VBM PORTION,31,3,22,2
BALDWIN PARK,0600034A,182,66,N,1028,TOTAL,72,6,48,10
BALDWIN PARK,0600035A,183,66,N,1131,POLLING PLACE,73,3,49,15
BALDWIN PARK,0600035A,183,66,N,0,VBM PORTION,42,5,30,7
BALDWIN PARK,0600035A,183,66,N,1131,TOTAL,115,8,79,22
BALDWIN PARK,0600036A,184,66,N,962,POLLING PLACE,60,5,41,11
BALDWIN PARK,0600036A,184,66,N,0,VBM PORTION,56,4,33,16
BALDWIN PARK,0600036A,184,66,N,962,TOTAL,116,9,74,27
BALDWIN PARK,0600037A,185,66,N,1173,POLLING PLACE,66,9,39,15
BALDWIN PARK,0600037A,185,66,N,0,VBM PORTION,50,2,33,10
BALDWIN PARK,0600037A,185,66,N,1173,TOTAL,116,11,72,25
BALDWIN PARK,0600041B,186,66,N,1028,POLLING PLACE,59,6,34,10
BALDWIN PARK,0600041B,186,66,N,0,VBM PORTION,44,1,29,11
BALDWIN PARK,0600041B,186,66,N,1028,TOTAL,103,7,63,21
BALDWIN PARK,0600052B,187,66,N,1072,POLLING PLACE,70,3,50,12
BALDWIN PARK,0600052B,187,66,N,0,VBM PORTION,21,2,15,2
BALDWIN PARK,0600052B,187,66,N,1072,TOTAL,91,5,65,14
BASSETT,0670005A,188,66,N,784,POLLING PLACE,53,1,36,10
BASSETT,0670005A,188,66,N,0,VBM PORTION,33,3,26,4
BASSETT,0670005A,188,66,N,784,TOTAL,86,4,62,14
BASSETT,0670006A,189,66,N,1076,POLLING PLACE,45,5,34,4
BASSETT,0670006A,189,66,N,0,VBM PORTION,41,5,32,3
BASSETT,0670006A,189,66,N,1076,TOTAL,86,10,66,7
BASSETT,0670010A,190,66,N,751,POLLING PLACE,41,2,29,7
BASSETT,0670010A,190,66,N,0,VBM PORTION,34,4,23,6
BASSETT,0670010A,190,66,N,751,TOTAL,75,6,52,13
BASSETT,0670141A,191,66,N,1152,POLLING PLACE,82,8,53,19
BASSETT,0670141A,191,66,N,0,VBM PORTION,42,0,31,9
BASSETT,0670141A,191,66,N,1152,TOTAL,124,8,84,28
BASSETT,0670142A,192,66,N,626,POLLING PLACE,42,3,29,8
BASSETT,0670142A,192,66,N,0,VBM PORTION,28,3,14,11
BASSETT,0670142A,192,66,N,626,TOTAL,70,6,43,19
BASSETT,0670143A,193,66,N,1026,POLLING PLACE,95,11,60,21
BASSETT,0670143A,193,66,N,0,VBM PORTION,40,2,25,10
BASSETT,0670143A,193,66,N,1026,TOTAL,135,13,85,31
BASSETT,0670144A,194,66,N,991,POLLING PLACE,80,6,51,15
BASSETT,0670144A,194,66,N,0,VBM PORTION,49,12,23,8
BASSETT,0670144A,194,66,N,991,TOTAL,129,18,74,23
BRADBURY,0940002A,291,69,N,599,POLLING PLACE,66,2,22,37
BRADBURY,0940002A,291,69,N,0,VBM PORTION,67,1,15,42
BRADBURY,0940002A,291,69,N,599,TOTAL,133,3,37,79
CHARTER OAK,1100001A,463,66,N,577,POLLING PLACE,33,0,22,10
CHARTER OAK,1100001A,463,66,N,0,VBM PORTION,18,1,10,6
CHARTER OAK,1100001A,463,66,N,577,TOTAL,51,1,32,16
CHARTER OAK,1100004A,464,66,N,670,POLLING PLACE,36,3,27,4
CHARTER OAK,1100004A,464,66,N,0,VBM PORTION,24,3,11,8
CHARTER OAK,1100004A,464,66,N,670,TOTAL,60,6,38,12
CHARTER OAK,1100005A,465,66,N,615,POLLING PLACE,32,3,19,8
CHARTER OAK,1100005A,465,66,N,0,VBM PORTION,28,5,13,8
CHARTER OAK,1100005A,465,66,N,615,TOTAL,60,8,32,16
CHARTER OAK,1100007A,466,66,N,1047,POLLING PLACE,61,7,34,15
CHARTER OAK,1100007A,466,66,N,0,VBM PORTION,30,5,13,8
CHARTER OAK,1100007A,466,66,N,1047,TOTAL,91,12,47,23
CHARTER OAK,1100026A,467,68,N,1153,POLLING PLACE,115,16,40,54
CHARTER OAK,1100026A,467,68,N,0,VBM PORTION,73,11,23,35
CHARTER OAK,1100026A,467,68,N,1153,TOTAL,188,27,63,89
CHARTER OAK,1100028A,468,68,N,1304,POLLING PLACE,106,20,40,40
CHARTER OAK,1100028A,468,68,N,0,VBM PORTION,79,6,24,43
CHARTER OAK,1100028A,468,68,N,1304,TOTAL,185,26,64,83
CHARTER OAK,1100040A,469,68,N,1127,POLLING PLACE,76,8,28,39
CHARTER OAK,1100040A,469,68,N,0,VBM PORTION,75,8,40,17
CHARTER OAK,1100040A,469,68,N,1127,TOTAL,151,16,68,56
CHARTER OAK,1100072A,470,68,N,580,POLLING PLACE,38,5,18,14
CHARTER OAK,1100072A,470,68,N,0,VBM PORTION,27,1,10,14
CHARTER OAK,1100072A,470,68,N,580,TOTAL,65,6,28,28
CHARTER OAK,1100073A,471,68,N,1146,POLLING PLACE,106,7,48,47
CHARTER OAK,1100073A,471,68,N,0,VBM PORTION,68,7,28,22
CHARTER OAK,1100073A,471,68,N,1146,TOTAL,174,14,76,69
CHARTER OAK,1100076A,472,66,N,1098,POLLING PLACE,100,14,43,40
CHARTER OAK,1100076A,472,66,N,0,VBM PORTION,52,3,17,26
CHARTER OAK,1100076A,472,66,N,1098,TOTAL,152,17,60,66
CHARTER OAK,1100077A,473,66,N,1001,POLLING PLACE,65,13,29,20
CHARTER OAK,1100077A,473,66,N,0,VBM PORTION,25,3,11,9
CHARTER OAK,1100077A,473,66,N,1001,TOTAL,90,16,40,29
CHARTER OAK,1100081A,474,66,N,880,POLLING PLACE,55,7,28,17
CHARTER OAK,1100081A,474,66,N,0,VBM PORTION,44,4,20,16
CHARTER OAK,1100081A,474,66,N,880,TOTAL,99,11,48,33
CHARTER OAK,1100083A,475,68,N,1136,POLLING PLACE,50,4,19,25
CHARTER OAK,1100083A,475,68,N,0,VBM PORTION,59,14,21,15
CHARTER OAK,1100083A,475,68,N,1136,TOTAL,109,18,40,40
CHARTER OAK,1100084A,476,68,N,795,POLLING PLACE,57,4,21,28
CHARTER OAK,1100084A,476,68,N,0,VBM PORTION,48,2,22,18
CHARTER OAK,1100084A,476,68,N,795,TOTAL,105,6,43,46
CITRUS,1250005A,6029,69,Y,285,POLLING PLACE,0,0,0,0
CITRUS,1250005A,6029,69,Y,0,VBM PORTION,95,11,15,57
CITRUS,1250005A,6029,69,Y,285,TOTAL,95,11,15,57
CITRUS,1250072A,6031,66,Y,0,POLLING PLACE,0,0,0,0
CITRUS,1250072A,6031,66,Y,0,VBM PORTION,0,0,0,0
CITRUS,1250072A,6031,66,Y,0,TOTAL,0,0,0,0
CITRUS,1250079A,6033,67,Y,0,POLLING PLACE,0,0,0,0
CITRUS,1250079A,6033,67,Y,0,VBM PORTION,0,0,0,0
CITRUS,1250079A,6033,67,Y,0,TOTAL,0,0,0,0
CITRUS,1250083A,6034,68,Y,177,POLLING PLACE,0,0,0,0
CITRUS,1250083A,6034,68,Y,0,VBM PORTION,37,3,11,15
CITRUS,1250083A,6034,68,Y,177,TOTAL,37,3,11,15
COVINA,1500001A,557,68,N,348,POLLING PLACE,23,0,15,8
COVINA,1500001A,557,68,N,0,VBM PORTION,9,1,6,2
COVINA,1500001A,557,68,N,348,TOTAL,32,1,21,10
COVINA,1500003A,558,68,N,736,POLLING PLACE,80,7,25,44
COVINA,1500003A,558,68,N,0,VBM PORTION,56,7,19,23
COVINA,1500003A,558,68,N,736,TOTAL,136,14,44,67
COVINA,1500008A,559,68,N,916,POLLING PLACE,100,7,40,46
COVINA,1500008A,559,68,N,0,VBM PORTION,68,4,25,25
COVINA,1500008A,559,68,N,916,TOTAL,168,11,65,71
COVINA,1500009A,560,68,N,926,POLLING PLACE,104,7,39,53
COVINA,1500009A,560,68,N,0,VBM PORTION,80,9,27,31
COVINA,1500009A,560,68,N,926,TOTAL,184,16,66,84
COVINA,1500012A,561,68,N,1136,POLLING PLACE,105,12,41,45
COVINA,1500012A,561,68,N,0,VBM PORTION,69,7,19,30
COVINA,1500012A,561,68,N,1136,TOTAL,174,19,60,75
COVINA,1500014A,562,68,N,1272,POLLING PLACE,69,6,28,33
COVINA,1500014A,562,68,N,0,VBM PORTION,64,7,18,36
COVINA,1500014A,562,68,N,1272,TOTAL,133,13,46,69
COVINA,1500016B,563,68,N,1043,POLLING PLACE,79,5,27,41
COVINA,1500016B,563,68,N,0,VBM PORTION,101,7,52,25
COVINA,1500016B,563,68,N,1043,TOTAL,180,12,79,66
COVINA,1500022A,564,68,N,1209,POLLING PLACE,81,8,38,30
COVINA,1500022A,564,68,N,0,VBM PORTION,58,6,25,22
COVINA,1500022A,564,68,N,1209,TOTAL,139,14,63,52
COVINA,1500024A,565,68,N,1036,POLLING PLACE,70,17,22,24
COVINA,1500024A,565,68,N,0,VBM PORTION,73,8,28,23
COVINA,1500024A,565,68,N,1036,TOTAL,143,25,50,47
COVINA,1500025A,566,68,N,1170,POLLING PLACE,45,1,19,22
COVINA,1500025A,566,68,N,0,VBM PORTION,49,7,24,17
COVINA,1500025A,566,68,N,1170,TOTAL,94,8,43,39
COVINA,1500027A,567,68,N,702,POLLING PLACE,41,6,13,19
COVINA,1500027A,567,68,N,0,VBM PORTION,45,5,22,17
COVINA,1500027A,567,68,N,702,TOTAL,86,11,35,36
COVINA,1500029A,568,68,N,1071,POLLING PLACE,70,10,28,24
COVINA,1500029A,568,68,N,0,VBM PORTION,98,18,34,40
COVINA,1500029A,568,68,N,1071,TOTAL,168,28,62,64
COVINA,1500031A,569,68,N,1293,POLLING PLACE,121,17,36,56
COVINA,1500031A,569,68,N,0,VBM PORTION,122,12,51,45
COVINA,1500031A,569,68,N,1293,TOTAL,243,29,87,101
COVINA,1500035A,570,68,N,1096,POLLING PLACE,81,12,39,23
COVINA,1500035A,570,68,N,0,VBM PORTION,69,5,41,18
COVINA,1500035A,570,68,N,1096,TOTAL,150,17,80,41
COVINA,1500036C,571,68,N,1075,POLLING PLACE,86,23,24,36
COVINA,1500036C,571,68,N,0,VBM PORTION,76,17,17,33
COVINA,1500036C,571,68,N,1075,TOTAL,162,40,41,69
COVINA,1500037A,572,68,N,1164,POLLING PLACE,126,17,55,46
COVINA,1500037A,572,68,N,0,VBM PORTION,87,9,15,50
COVINA,1500037A,572,68,N,1164,TOTAL,213,26,70,96
COVINA,1500056A,573,68,N,1288,POLLING PLACE,83,22,30,27
COVINA,1500056A,573,68,N,0,VBM PORTION,81,9,29,30
COVINA,1500056A,573,68,N,1288,TOTAL,164,31,59,57
COVINA,1500073A,574,68,N,1295,POLLING PLACE,157,15,44,81
COVINA,1500073A,574,68,N,0,VBM PORTION,138,13,40,70
COVINA,1500073A,574,68,N,1295,TOTAL,295,28,84,151
COVINA,1500078A,575,68,N,1103,POLLING PLACE,75,8,33,29
COVINA,1500078A,575,68,N,0,VBM PORTION,85,7,26,37
COVINA,1500078A,575,68,N,1103,TOTAL,160,15,59,66
COVINA,1500082A,576,68,N,1045,POLLING PLACE,90,10,37,38
COVINA,1500082A,576,68,N,0,VBM PORTION,107,8,54,32
COVINA,1500082A,576,68,N,1045,TOTAL,197,18,91,70
COVINA,1500084A,577,68,N,852,POLLING PLACE,96,10,21,61
COVINA,1500084A,577,68,N,0,VBM PORTION,72,2,21,39
COVINA,1500084A,577,68,N,852,TOTAL,168,12,42,100
COVINA,1500086B,578,68,N,1252,POLLING PLACE,82,10,35,27
COVINA,1500086B,578,68,N,0,VBM PORTION,77,7,32,25
COVINA,1500086B,578,68,N,1252,TOTAL,159,17,67,52
COVINA,1500089A,579,68,N,1180,POLLING PLACE,63,10,28,22
COVINA,1500089A,579,68,N,0,VBM PORTION,75,10,29,34
COVINA,1500089A,579,68,N,1180,TOTAL,138,20,57,56
COVINA,1500090A,580,68,N,593,POLLING PLACE,42,9,15,13
COVINA,1500090A,580,68,N,0,VBM PORTION,24,2,15,4
COVINA,1500090A,580,68,N,593,TOTAL,66,11,30,17
COVINA,1500093A,581,68,N,1289,POLLING PLACE,71,11,30,26
COVINA,1500093A,581,68,N,0,VBM PORTION,86,14,26,33
COVINA,1500093A,581,68,N,1289,TOTAL,157,25,56,59
DUARTE,1900001A,720,70,N,1385,POLLING PLACE,58,9,36,10
DUARTE,1900001A,720,70,N,0,VBM PORTION,66,4,44,16
DUARTE,1900001A,720,70,N,1385,TOTAL,124,13,80,26
DUARTE,1900002A,721,70,N,954,POLLING PLACE,99,5,52,31
DUARTE,1900002A,721,70,N,0,VBM PORTION,76,5,38,22
DUARTE,1900002A,721,70,N,954,TOTAL,175,10,90,53
DUARTE,1900004A,722,70,N,624,POLLING PLACE,34,4,17,9
DUARTE,1900004A,722,70,N,0,VBM PORTION,32,5,22,3
DUARTE,1900004A,722,70,N,624,TOTAL,66,9,39,12
DUARTE,1900005A,723,70,N,868,POLLING PLACE,56,5,27,14
DUARTE,1900005A,723,70,N,0,VBM PORTION,101,3,47,41
DUARTE,1900005A,723,70,N,868,TOTAL,157,8,74,55
DUARTE,1900006A,724,70,N,1172,POLLING PLACE,98,4,54,34
DUARTE,1900006A,724,70,N,0,VBM PORTION,154,12,78,48
DUARTE,1900006A,724,70,N,1172,TOTAL,252,16,132,82
DUARTE,1900007A,725,70,N,1384,POLLING PLACE,140,8,59,58
DUARTE,1900007A,725,70,N,0,VBM PORTION,157,13,54,79
DUARTE,1900007A,725,70,N,1384,TOTAL,297,21,113,137
DUARTE,1900008A,726,70,N,968,POLLING PLACE,78,5,24,37
DUARTE,1900008A,726,70,N,0,VBM PORTION,91,11,43,31
DUARTE,1900008A,726,70,N,968,TOTAL,169,16,67,68
DUARTE,1900009A,727,70,N,1322,POLLING PLACE,97,6,45,37
DUARTE,1900009A,727,70,N,0,VBM PORTION,122,15,63,34
DUARTE,1900009A,727,70,N,1322,TOTAL,219,21,108,71
DUARTE,1900012B,728,70,N,1264,POLLING PLACE,172,22,64,75
DUARTE,1900012B,728,70,N,0,VBM PORTION,126,11,57,49
DUARTE,1900012B,728,70,N,1264,TOTAL,298,33,121,124
DUARTE,1900015B,729,70,N,806,POLLING PLACE,36,2,24,10
DUARTE,1900015B,729,70,N,0,VBM PORTION,66,5,41,14
DUARTE,1900015B,729,70,N,806,TOTAL,102,7,65,24
DUARTE,1900021C,730,70,N,995,POLLING PLACE,92,5,42,39
DUARTE,1900021C,730,70,N,0,VBM PORTION,108,16,47,36
DUARTE,1900021C,730,70,N,995,TOTAL,200,21,89,75
EAST ARCADIA,1940001A,731,68,N,1015,POLLING PLACE,54,1,39,12
EAST ARCADIA,1940001A,731,68,N,0,VBM PORTION,23,2,14,3
EAST ARCADIA,1940001A,731,68,N,1015,TOTAL,77,3,53,15
EAST ARCADIA,1940002A,732,68,N,987,POLLING PLACE,110,5,46,48
EAST ARCADIA,1940002A,732,68,N,0,VBM PORTION,71,7,34,24
EAST ARCADIA,1940002A,732,68,N,987,TOTAL,181,12,80,72
EAST ARCADIA,1940004A,733,68,N,445,POLLING PLACE,66,4,24,30
EAST ARCADIA,1940004A,733,68,N,0,VBM PORTION,45,9,15,15
EAST ARCADIA,1940004A,733,68,N,445,TOTAL,111,13,39,45
EAST ARCADIA,1940008A,736,68,N,870,POLLING PLACE,51,1,39,4
EAST ARCADIA,1940008A,736,68,N,0,VBM PORTION,21,0,14,2
EAST ARCADIA,1940008A,736,68,N,870,TOTAL,72,1,53,6
EAST ARCADIA,1940011A,738,68,N,1013,POLLING PLACE,117,10,33,61
EAST ARCADIA,1940011A,738,68,N,0,VBM PORTION,86,5,37,33
EAST ARCADIA,1940011A,738,68,N,1013,TOTAL,203,15,70,94
EL MONTE,2100014A,800,66,N,730,POLLING PLACE,30,3,18,8
EL MONTE,2100014A,800,66,N,0,VBM PORTION,16,3,6,6
EL MONTE,2100014A,800,66,N,730,TOTAL,46,6,24,14
EL MONTE,2100019B,805,66,N,774,POLLING PLACE,69,9,43,6
EL MONTE,2100019B,805,66,N,0,VBM PORTION,42,0,24,9
EL MONTE,2100019B,805,66,N,774,TOTAL,111,9,67,15
EL MONTE,2100021A,806,66,N,1168,POLLING PLACE,90,8,60,14
EL MONTE,2100021A,806,66,N,0,VBM PORTION,60,5,33,17
EL MONTE,2100021A,806,66,N,1168,TOTAL,150,13,93,31
EL MONTE,2100027A,808,66,N,1060,POLLING PLACE,40,1,35,4
EL MONTE,2100027A,808,66,N,0,VBM PORTION,50,1,31,13
EL MONTE,2100027A,808,66,N,1060,TOTAL,90,2,66,17
EL MONTE,2100029A,809,66,N,715,POLLING PLACE,43,2,28,8
EL MONTE,2100029A,809,66,N,0,VBM PORTION,30,2,22,4
EL MONTE,2100029A,809,66,N,715,TOTAL,73,4,50,12
EL MONTE,2100033A,810,66,N,954,POLLING PLACE,48,7,27,10
EL MONTE,2100033A,810,66,N,0,VBM PORTION,43,5,24,10
EL MONTE,2100033A,810,66,N,954,TOTAL,91,12,51,20
EL MONTE,2100034A,811,66,N,968,POLLING PLACE,29,7,16,6
EL MONTE,2100034A,811,66,N,0,VBM PORTION,40,4,16,17
EL MONTE,2100034A,811,66,N,968,TOTAL,69,11,32,23
EL MONTE,2100119A,826,66,N,1063,POLLING PLACE,89,7,63,10
EL MONTE,2100119A,826,66,N,0,VBM PORTION,51,2,25,17
EL MONTE,2100119A,826,66,N,1063,TOTAL,140,9,88,27
EL MONTE,2100120B,827,66,N,1204,POLLING PLACE,89,12,56,11
EL MONTE,2100120B,827,66,N,0,VBM PORTION,46,9,25,10
EL MONTE,2100120B,827,66,N,1204,TOTAL,135,21,81,21
EL MONTE,2100121A,828,66,N,806,POLLING PLACE,58,5,33,13
EL MONTE,2100121A,828,66,N,0,VBM PORTION,39,5,22,4
EL MONTE,2100121A,828,66,N,806,TOTAL,97,10,55,17
EL MONTE,2100122B,829,66,N,779,POLLING PLACE,58,3,39,11
