LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICK BARNES,MIKE MOHILL,CHAHE KEUROGHELIAN,PAULA DEVINE,VARTAN GHARPETIAN
GLENDALE,2550040A,915,46,N,1263,POLLING PLACE,195,45,36,4,86,16
GLENDALE,2550040A,915,46,N,0,VBM PORTION,209,36,28,6,90,27
GLENDALE,2550040A,915,46,N,1263,TOTAL,404,81,64,10,176,43
GLENDALE,2550041A,916,46,N,913,POLLING PLACE,101,20,10,7,30,28
GLENDALE,2550041A,916,46,N,0,VBM PORTION,124,20,8,14,33,43
GLENDALE,2550041A,916,46,N,913,TOTAL,225,40,18,21,63,71
GLENDALE,2550044A,917,46,N,906,POLLING PLACE,113,36,14,8,43,10
GLENDALE,2550044A,917,46,N,0,VBM PORTION,140,30,13,8,45,24
GLENDALE,2550044A,917,46,N,906,TOTAL,253,66,27,16,88,34
GLENDALE,2550047A,918,46,N,1351,POLLING PLACE,152,40,13,7,54,28
GLENDALE,2550047A,918,46,N,0,VBM PORTION,150,30,19,11,42,26
GLENDALE,2550047A,918,46,N,1351,TOTAL,302,70,32,18,96,54
GLENDALE,2550048A,919,46,N,1429,POLLING PLACE,92,15,8,15,19,30
GLENDALE,2550048A,919,46,N,0,VBM PORTION,186,11,5,54,30,69
GLENDALE,2550048A,919,46,N,1429,TOTAL,278,26,13,69,49,99
GLENDALE,2550050A,920,46,N,911,POLLING PLACE,121,38,10,7,45,18
GLENDALE,2550050A,920,46,N,0,VBM PORTION,173,35,27,6,71,17
GLENDALE,2550050A,920,46,N,911,TOTAL,294,73,37,13,116,35
GLENDALE,2550051A,921,46,N,1485,POLLING PLACE,71,15,3,21,26,3
GLENDALE,2550051A,921,46,N,0,VBM PORTION,210,17,6,70,41,54
GLENDALE,2550051A,921,46,N,1485,TOTAL,281,32,9,91,67,57
GLENDALE,2550052A,922,46,N,1031,POLLING PLACE,196,59,20,7,86,22
GLENDALE,2550052A,922,46,N,0,VBM PORTION,141,41,6,6,42,26
GLENDALE,2550052A,922,46,N,1031,TOTAL,337,100,26,13,128,48
GLENDALE,2550053A,923,46,N,975,POLLING PLACE,136,24,18,8,63,17
GLENDALE,2550053A,923,46,N,0,VBM PORTION,152,23,17,14,53,31
GLENDALE,2550053A,923,46,N,975,TOTAL,288,47,35,22,116,48
GLENDALE,2550054A,924,46,N,1071,POLLING PLACE,171,47,12,13,70,22
GLENDALE,2550054A,924,46,N,0,VBM PORTION,164,23,18,13,62,32
GLENDALE,2550054A,924,46,N,1071,TOTAL,335,70,30,26,132,54
GLENDALE,2550058A,925,46,N,1223,POLLING PLACE,114,27,7,8,33,26
GLENDALE,2550058A,925,46,N,0,VBM PORTION,159,27,17,28,31,38
GLENDALE,2550058A,925,46,N,1223,TOTAL,273,54,24,36,64,64
GLENDALE,2550060A,926,46,N,1409,POLLING PLACE,167,41,19,19,63,19
GLENDALE,2550060A,926,46,N,0,VBM PORTION,210,29,28,32,62,47
GLENDALE,2550060A,926,46,N,1409,TOTAL,377,70,47,51,125,66
GLENDALE,2550061A,927,46,N,1193,POLLING PLACE,101,19,5,23,23,23
GLENDALE,2550061A,927,46,N,0,VBM PORTION,187,14,1,77,14,68
GLENDALE,2550061A,927,46,N,1193,TOTAL,288,33,6,100,37,91
GLENDALE,2550062A,928,46,N,1163,POLLING PLACE,63,8,4,18,16,13
GLENDALE,2550062A,928,46,N,0,VBM PORTION,130,3,3,48,23,43
GLENDALE,2550062A,928,46,N,1163,TOTAL,193,11,7,66,39,56
GLENDALE,2550065A,929,46,N,1068,POLLING PLACE,148,34,26,1,70,12
GLENDALE,2550065A,929,46,N,0,VBM PORTION,135,34,11,18,45,14
GLENDALE,2550065A,929,46,N,1068,TOTAL,283,68,37,19,115,26
GLENDALE,2550066B,930,46,N,1107,POLLING PLACE,67,8,6,21,16,11
GLENDALE,2550066B,930,46,N,0,VBM PORTION,143,7,6,57,23,45
GLENDALE,2550066B,930,46,N,1107,TOTAL,210,15,12,78,39,56
GLENDALE,2550067A,931,46,N,1343,POLLING PLACE,141,31,10,16,50,24
GLENDALE,2550067A,931,46,N,0,VBM PORTION,168,29,14,21,48,41
GLENDALE,2550067A,931,46,N,1343,TOTAL,309,60,24,37,98,65
GLENDALE,2550069A,932,46,N,1244,POLLING PLACE,102,25,9,10,36,19
GLENDALE,2550069A,932,46,N,0,VBM PORTION,129,21,8,19,34,29
GLENDALE,2550069A,932,46,N,1244,TOTAL,231,46,17,29,70,48
GLENDALE,2550071A,933,46,N,1180,POLLING PLACE,66,18,5,4,24,13
GLENDALE,2550071A,933,46,N,0,VBM PORTION,124,9,3,25,23,54
GLENDALE,2550071A,933,46,N,1180,TOTAL,190,27,8,29,47,67
GLENDALE,2550072A,934,46,N,1125,POLLING PLACE,47,12,2,6,9,14
GLENDALE,2550072A,934,46,N,0,VBM PORTION,143,16,2,28,22,59
GLENDALE,2550072A,934,46,N,1125,TOTAL,190,28,4,34,31,73
GLENDALE,2550073A,935,46,N,1039,POLLING PLACE,70,21,6,9,21,9
GLENDALE,2550073A,935,46,N,0,VBM PORTION,122,29,4,17,36,29
GLENDALE,2550073A,935,46,N,1039,TOTAL,192,50,10,26,57,38
GLENDALE,2550074A,936,46,N,1331,POLLING PLACE,97,17,3,22,14,34
GLENDALE,2550074A,936,46,N,0,VBM PORTION,167,9,6,26,30,77
GLENDALE,2550074A,936,46,N,1331,TOTAL,264,26,9,48,44,111
GLENDALE,2550079A,937,46,N,894,POLLING PLACE,56,9,6,1,26,7
GLENDALE,2550079A,937,46,N,0,VBM PORTION,72,21,5,9,22,8
GLENDALE,2550079A,937,46,N,894,TOTAL,128,30,11,10,48,15
GLENDALE,2550080A,938,46,N,1149,POLLING PLACE,72,18,8,0,41,0
GLENDALE,2550080A,938,46,N,0,VBM PORTION,80,12,4,6,45,4
GLENDALE,2550080A,938,46,N,1149,TOTAL,152,30,12,6,86,4
GLENDALE,2550081A,939,46,N,1349,POLLING PLACE,72,18,5,15,17,9
GLENDALE,2550081A,939,46,N,0,VBM PORTION,164,19,4,55,31,45
GLENDALE,2550081A,939,46,N,1349,TOTAL,236,37,9,70,48,54
GLENDALE,2550082A,940,46,N,1038,POLLING PLACE,53,8,0,13,7,22
GLENDALE,2550082A,940,46,N,0,VBM PORTION,151,14,5,48,12,66
GLENDALE,2550082A,940,46,N,1038,TOTAL,204,22,5,61,19,88
GLENDALE,2550085A,941,46,N,1238,POLLING PLACE,128,38,10,7,46,19
GLENDALE,2550085A,941,46,N,0,VBM PORTION,172,22,12,21,61,39
GLENDALE,2550085A,941,46,N,1238,TOTAL,300,60,22,28,107,58
GLENDALE,2550086A,942,46,N,1144,POLLING PLACE,81,18,8,3,38,7
GLENDALE,2550086A,942,46,N,0,VBM PORTION,150,25,15,20,45,32
GLENDALE,2550086A,942,46,N,1144,TOTAL,231,43,23,23,83,39
GLENDALE,2550087A,943,46,N,1314,POLLING PLACE,67,10,5,18,21,9
GLENDALE,2550087A,943,46,N,0,VBM PORTION,136,24,6,33,35,18
GLENDALE,2550087A,943,46,N,1314,TOTAL,203,34,11,51,56,27
GLENDALE,2550088C,944,46,N,1266,POLLING PLACE,81,10,5,26,16,19
GLENDALE,2550088C,944,46,N,0,VBM PORTION,155,11,7,33,21,64
GLENDALE,2550088C,944,46,N,1266,TOTAL,236,21,12,59,37,83
GLENDALE,2550089A,945,46,N,1226,POLLING PLACE,60,10,2,10,20,14
GLENDALE,2550089A,945,46,N,0,VBM PORTION,163,12,6,32,30,72
GLENDALE,2550089A,945,46,N,1226,TOTAL,223,22,8,42,50,86
GLENDALE,2550090A,946,46,N,1021,POLLING PLACE,83,13,2,14,24,20
GLENDALE,2550090A,946,46,N,0,VBM PORTION,91,9,3,10,21,35
GLENDALE,2550090A,946,46,N,1021,TOTAL,174,22,5,24,45,55
GLENDALE,2550091A,947,46,N,1300,POLLING PLACE,56,9,4,10,12,16
GLENDALE,2550091A,947,46,N,0,VBM PORTION,141,15,7,36,22,47
GLENDALE,2550091A,947,46,N,1300,TOTAL,197,24,11,46,34,63
GLENDALE,2550095A,948,46,N,1420,POLLING PLACE,94,17,8,7,35,24
GLENDALE,2550095A,948,46,N,0,VBM PORTION,159,13,5,40,19,75
GLENDALE,2550095A,948,46,N,1420,TOTAL,253,30,13,47,54,99
GLENDALE,2550097A,949,46,N,1121,POLLING PLACE,90,22,8,11,33,6
GLENDALE,2550097A,949,46,N,0,VBM PORTION,128,22,5,37,26,27
GLENDALE,2550097A,949,46,N,1121,TOTAL,218,44,13,48,59,33
GLENDALE,2550098A,950,46,N,907,POLLING PLACE,98,16,9,5,50,7
GLENDALE,2550098A,950,46,N,0,VBM PORTION,116,21,17,9,48,11
GLENDALE,2550098A,950,46,N,907,TOTAL,214,37,26,14,98,18
GLENDALE,2550100A,951,46,N,1346,POLLING PLACE,81,18,2,13,22,19
GLENDALE,2550100A,951,46,N,0,VBM PORTION,148,13,4,45,30,37
GLENDALE,2550100A,951,46,N,1346,TOTAL,229,31,6,58,52,56
GLENDALE,2550102A,952,46,N,1223,POLLING PLACE,96,26,9,4,32,17
GLENDALE,2550102A,952,46,N,0,VBM PORTION,131,18,6,19,27,48
GLENDALE,2550102A,952,46,N,1223,TOTAL,227,44,15,23,59,65
GLENDALE,2550105A,953,46,N,1130,POLLING PLACE,84,16,5,19,17,16
GLENDALE,2550105A,953,46,N,0,VBM PORTION,117,8,1,28,22,48
GLENDALE,2550105A,953,46,N,1130,TOTAL,201,24,6,47,39,64
GLENDALE,2550108A,954,46,N,1308,POLLING PLACE,74,19,7,8,30,4
GLENDALE,2550108A,954,46,N,0,VBM PORTION,184,20,9,36,61,42
GLENDALE,2550108A,954,46,N,1308,TOTAL,258,39,16,44,91,46
GLENDALE,2550111A,955,46,N,1268,POLLING PLACE,78,11,12,19,21,9
GLENDALE,2550111A,955,46,N,0,VBM PORTION,155,13,9,37,32,42
GLENDALE,2550111A,955,46,N,1268,TOTAL,233,24,21,56,53,51
GLENDALE,2550113A,956,46,N,1115,POLLING PLACE,112,34,11,6,43,13
GLENDALE,2550113A,956,46,N,0,VBM PORTION,151,28,8,16,48,40
GLENDALE,2550113A,956,46,N,1115,TOTAL,263,62,19,22,91,53
GLENDALE,2550116A,957,46,N,1225,POLLING PLACE,146,15,14,9,93,7
GLENDALE,2550116A,957,46,N,0,VBM PORTION,160,23,10,10,93,10
GLENDALE,2550116A,957,46,N,1225,TOTAL,306,38,24,19,186,17
GLENDALE,2550117A,958,46,N,1303,POLLING PLACE,85,6,7,19,14,31
GLENDALE,2550117A,958,46,N,0,VBM PORTION,169,10,7,66,15,62
GLENDALE,2550117A,958,46,N,1303,TOTAL,254,16,14,85,29,93
GLENDALE,2550118A,959,46,N,1221,POLLING PLACE,81,13,8,19,14,22
GLENDALE,2550118A,959,46,N,0,VBM PORTION,131,9,4,37,20,46
GLENDALE,2550118A,959,46,N,1221,TOTAL,212,22,12,56,34,68
GLENDALE,2550119A,960,46,N,1380,POLLING PLACE,92,19,6,17,18,27
GLENDALE,2550119A,960,46,N,0,VBM PORTION,180,16,1,66,29,55
GLENDALE,2550119A,960,46,N,1380,TOTAL,272,35,7,83,47,82
GLENDALE,2550120A,961,46,N,1326,POLLING PLACE,61,18,0,10,17,11
GLENDALE,2550120A,961,46,N,0,VBM PORTION,156,24,6,33,37,27
GLENDALE,2550120A,961,46,N,1326,TOTAL,217,42,6,43,54,38
GLENDALE,2550120B,962,46,N,1274,POLLING PLACE,86,16,9,12,30,10
GLENDALE,2550120B,962,46,N,0,VBM PORTION,83,15,3,18,14,22
GLENDALE,2550120B,962,46,N,1274,TOTAL,169,31,12,30,44,32
GLENDALE,2550121A,963,46,N,1251,POLLING PLACE,84,16,8,19,18,18
GLENDALE,2550121A,963,46,N,0,VBM PORTION,159,8,3,56,20,61
GLENDALE,2550121A,963,46,N,1251,TOTAL,243,24,11,75,38,79
GLENDALE,2550123A,964,46,N,1212,POLLING PLACE,99,19,8,18,26,19
GLENDALE,2550123A,964,46,N,0,VBM PORTION,163,27,7,33,31,44
GLENDALE,2550123A,964,46,N,1212,TOTAL,262,46,15,51,57,63
GLENDALE,2550125A,965,46,N,1376,POLLING PLACE,88,15,7,15,22,18
GLENDALE,2550125A,965,46,N,0,VBM PORTION,315,12,3,160,28,93
GLENDALE,2550125A,965,46,N,1376,TOTAL,403,27,10,175,50,111
GLENDALE,2550131A,966,46,N,1181,POLLING PLACE,72,14,5,16,13,21
GLENDALE,2550131A,966,46,N,0,VBM PORTION,121,9,2,34,23,48
GLENDALE,2550131A,966,46,N,1181,TOTAL,193,23,7,50,36,69
GLENDALE,2550135A,967,46,N,1315,POLLING PLACE,122,23,7,15,33,36
GLENDALE,2550135A,967,46,N,0,VBM PORTION,190,32,5,30,37,65
GLENDALE,2550135A,967,46,N,1315,TOTAL,312,55,12,45,70,101
GLENDALE,2550140A,968,46,N,1241,POLLING PLACE,85,19,6,13,31,12
GLENDALE,2550140A,968,46,N,0,VBM PORTION,157,16,5,32,37,52
GLENDALE,2550140A,968,46,N,1241,TOTAL,242,35,11,45,68,64
GLENDALE,2550142A,969,46,N,883,POLLING PLACE,69,17,10,6,20,10
GLENDALE,2550142A,969,46,N,0,VBM PORTION,143,28,11,31,34,31
GLENDALE,2550142A,969,46,N,883,TOTAL,212,45,21,37,54,41
GLENDALE,2550143A,970,46,N,916,POLLING PLACE,116,44,14,8,42,1
GLENDALE,2550143A,970,46,N,0,VBM PORTION,99,24,8,3,35,14
GLENDALE,2550143A,970,46,N,916,TOTAL,215,68,22,11,77,15
GLENDALE,2550147A,971,46,N,673,POLLING PLACE,132,25,30,1,50,13
GLENDALE,2550147A,971,46,N,0,VBM PORTION,69,7,19,1,31,7
GLENDALE,2550147A,971,46,N,673,TOTAL,201,32,49,2,81,20
GLENDALE,2550149A,972,46,N,772,POLLING PLACE,139,29,21,5,59,13
GLENDALE,2550149A,972,46,N,0,VBM PORTION,115,24,15,3,43,15
GLENDALE,2550149A,972,46,N,772,TOTAL,254,53,36,8,102,28
GLENDALE,2550150A,973,46,N,935,POLLING PLACE,113,32,21,11,27,16
GLENDALE,2550150A,973,46,N,0,VBM PORTION,120,41,7,13,26,16
GLENDALE,2550150A,973,46,N,935,TOTAL,233,73,28,24,53,32
GLENDALE,2550151A,974,46,N,754,POLLING PLACE,165,23,42,3,72,14
GLENDALE,2550151A,974,46,N,0,VBM PORTION,114,16,26,4,52,2
GLENDALE,2550151A,974,46,N,754,TOTAL,279,39,68,7,124,16
GLENDALE,2550157A,975,46,N,655,POLLING PLACE,59,25,1,1,20,11
GLENDALE,2550157A,975,46,N,0,VBM PORTION,103,25,7,9,23,33
GLENDALE,2550157A,975,46,N,655,TOTAL,162,50,8,10,43,44
GLENDALE,2550178A,976,46,N,1096,POLLING PLACE,165,49,28,7,52,20
GLENDALE,2550178A,976,46,N,0,VBM PORTION,140,40,12,3,44,21
GLENDALE,2550178A,976,46,N,1096,TOTAL,305,89,40,10,96,41
GLENDALE,2550190A,977,46,N,1362,POLLING PLACE,97,21,5,15,31,20
GLENDALE,2550190A,977,46,N,0,VBM PORTION,165,12,8,30,29,66
GLENDALE,2550190A,977,46,N,1362,TOTAL,262,33,13,45,60,86
GLENDALE,2550192A,978,46,N,911,POLLING PLACE,83,19,26,0,33,3
GLENDALE,2550192A,978,46,N,0,VBM PORTION,138,24,19,12,55,10
GLENDALE,2550192A,978,46,N,911,TOTAL,221,43,45,12,88,13
BALLOT GROUP 46,9990046A,8046,46,N,0,POLLING PLACE,0,0,0,0,0,0
BALLOT GROUP 46,9990046A,8046,46,N,0,VBM PORTION,2,0,0,0,1,0
BALLOT GROUP 46,9990046A,8046,46,N,0,TOTAL,1,0,0,0,1,0
