LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,32,49,29
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,35,38,27
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,67,87,56
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,17,45,21
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,23,17,18
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,40,62,39
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,15,24,8
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,14,33,10
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,29,57,18
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,7,11,4
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,7,11,4
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,2,6,2
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,2,6,2
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,0,0,4
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,0,0,4
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,33,27,20
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,31,17,12
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,64,44,32
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,27,7,8
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,19,13,17
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,46,20,25
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,51,42,27
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,41,45,16
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,92,87,43
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,27,12,15
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,27,17,12
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,54,29,27
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,28,16,23
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,24,13,10
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,52,29,33
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,49,26,36
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,49,19,24
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,98,45,60
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,38,12,16
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,24,14,22
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,62,26,38
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,27,28,18
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,22,11,13
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,49,39,31
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,38,42,22
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,36,20,13
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,74,62,35
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,33,24,23
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,15,20,23
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,48,44,46
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,41,21,16
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,26,8,16
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,67,29,32
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,23,14,22
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,43,38,19
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,66,52,41
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,36,28,22
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,20,10,24
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,56,38,46
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,24,20,17
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,35,16,17
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,59,36,34
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,11,11,7
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,11,8,7
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,22,19,14
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,20,8,15
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,30,13,13
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,50,21,28
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,34,19,21
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,31,16,17
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,65,35,38
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,30,17,22
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,25,17,18
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,55,34,40
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,19,8,17
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,4,14,10
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,23,22,27
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,42,17,27
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,34,13,17
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,76,30,44
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,17,9,17
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,21,14,22
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,38,23,39
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,43,22,21
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,38,18,23
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,81,40,44
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,17,9,13
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,23,23,12
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,40,32,25
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,19,11,12
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,18,10,8
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,37,21,20
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,13,7,16
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,21,15,10
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,34,22,26
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,22,18,9
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,44,9,7
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,66,27,16
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,36,22,15
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,23,15,19
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,59,37,34
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,42,20,17
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,25,18,14
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,67,38,31
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,22,19,25
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,14,12,9
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,36,31,34
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,28,16,16
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,23,15,10
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,51,31,26
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,14,3,7
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,15,6,12
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,29,9,19
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,41,25,24
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,20,7,15
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,61,32,39
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,38,22,14
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,27,29,22
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,65,51,36
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,46,30,25
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,30,24,16
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,76,54,41
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,23,12,18
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,55,45,24
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,78,57,42
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,30,19,14
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,26,21,11
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,56,40,25
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,10,11,13
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,11,8,9
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,21,19,22
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,22,22,20
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,25,11,7
ALTADENA,0200001A,63,33,N,500,TOTAL,118,47,33,27
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,23,20,8
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,29,37,13
ALTADENA,0200002A,64,33,N,692,TOTAL,152,52,57,21
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,34,31,16
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,28,24,12
ALTADENA,0200003A,65,33,N,854,TOTAL,161,62,55,28
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,55,44,23
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,50,72,37
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,105,116,60
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,47,36,17
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,44,43,23
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,91,79,40
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,35,23,12
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,26,12,16
ALTADENA,0200008A,68,33,N,873,TOTAL,135,61,35,28
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,32,32,15
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,22,18,17
ALTADENA,0200009A,69,33,N,969,TOTAL,151,54,50,32
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,28,24,14
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,44,17,22
ALTADENA,0200011A,70,33,N,860,TOTAL,178,72,41,36
