LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BENJAMIN CAMPOS,LINDA T SANCHEZ
ARTESIA,0400001A,115,137,N,819,POLLING PLACE,86,11,51
ARTESIA,0400001A,115,137,N,0,VBM PORTION,27,4,18
ARTESIA,0400001A,115,137,N,819,TOTAL,113,15,69
ARTESIA,0400002A,116,137,N,1182,POLLING PLACE,78,39,31
ARTESIA,0400002A,116,137,N,0,VBM PORTION,137,62,69
ARTESIA,0400002A,116,137,N,1182,TOTAL,215,101,100
ARTESIA,0400004A,117,137,N,1004,POLLING PLACE,89,17,49
ARTESIA,0400004A,117,137,N,0,VBM PORTION,66,21,37
ARTESIA,0400004A,117,137,N,1004,TOTAL,155,38,86
ARTESIA,0400006A,118,137,N,1042,POLLING PLACE,77,20,45
ARTESIA,0400006A,118,137,N,0,VBM PORTION,66,29,30
ARTESIA,0400006A,118,137,N,1042,TOTAL,143,49,75
ARTESIA,0400007A,119,137,N,1049,POLLING PLACE,85,28,38
ARTESIA,0400007A,119,137,N,0,VBM PORTION,95,38,51
ARTESIA,0400007A,119,137,N,1049,TOTAL,180,66,89
ARTESIA,0400008A,120,137,N,1154,POLLING PLACE,81,23,45
ARTESIA,0400008A,120,137,N,0,VBM PORTION,102,31,54
ARTESIA,0400008A,120,137,N,1154,TOTAL,183,54,99
ARTESIA,0400010C,121,137,N,1140,POLLING PLACE,59,28,26
ARTESIA,0400010C,121,137,N,0,VBM PORTION,99,52,35
ARTESIA,0400010C,121,137,N,1140,TOTAL,158,80,61
AVOCADO HEIGHTS,0520004A,131,124,N,784,POLLING PLACE,97,32,55
AVOCADO HEIGHTS,0520004A,131,124,N,0,VBM PORTION,70,21,42
AVOCADO HEIGHTS,0520004A,131,124,N,784,TOTAL,167,53,97
AVOCADO HEIGHTS,0520007A,133,124,N,525,POLLING PLACE,19,7,10
AVOCADO HEIGHTS,0520007A,133,124,N,0,VBM PORTION,19,2,15
AVOCADO HEIGHTS,0520007A,133,124,N,525,TOTAL,38,9,25
BELLFLOWER,0750012A,209,137,N,603,POLLING PLACE,25,7,13
BELLFLOWER,0750012A,209,137,N,0,VBM PORTION,27,11,14
BELLFLOWER,0750012A,209,137,N,603,TOTAL,52,18,27
BELLFLOWER,0750012D,210,137,N,942,POLLING PLACE,26,10,8
BELLFLOWER,0750012D,210,137,N,0,VBM PORTION,20,5,12
BELLFLOWER,0750012D,210,137,N,942,TOTAL,46,15,20
BELLFLOWER,0750022A,216,137,N,1054,POLLING PLACE,103,54,35
BELLFLOWER,0750022A,216,137,N,0,VBM PORTION,84,40,36
BELLFLOWER,0750022A,216,137,N,1054,TOTAL,187,94,71
BELLFLOWER,0750027A,219,137,N,1088,POLLING PLACE,70,13,37
BELLFLOWER,0750027A,219,137,N,0,VBM PORTION,72,24,37
BELLFLOWER,0750027A,219,137,N,1088,TOTAL,142,37,74
BELLFLOWER,0750029C,221,137,N,857,POLLING PLACE,46,13,21
BELLFLOWER,0750029C,221,137,N,0,VBM PORTION,44,16,24
BELLFLOWER,0750029C,221,137,N,857,TOTAL,90,29,45
BELLFLOWER,0750030A,222,137,N,1124,POLLING PLACE,84,19,48
BELLFLOWER,0750030A,222,137,N,0,VBM PORTION,66,38,21
BELLFLOWER,0750030A,222,137,N,1124,TOTAL,150,57,69
BELLFLOWER,0750031C,223,137,N,958,POLLING PLACE,53,18,28
BELLFLOWER,0750031C,223,137,N,0,VBM PORTION,56,18,32
BELLFLOWER,0750031C,223,137,N,958,TOTAL,109,36,60
BELLFLOWER,0750032A,224,137,N,873,POLLING PLACE,48,17,25
BELLFLOWER,0750032A,224,137,N,0,VBM PORTION,28,14,11
BELLFLOWER,0750032A,224,137,N,873,TOTAL,76,31,36
BELLFLOWER,0750032C,225,137,N,742,POLLING PLACE,33,14,16
BELLFLOWER,0750032C,225,137,N,0,VBM PORTION,36,11,20
BELLFLOWER,0750032C,225,137,N,742,TOTAL,69,25,36
BELLFLOWER,0750033A,226,137,N,997,POLLING PLACE,76,41,25
BELLFLOWER,0750033A,226,137,N,0,VBM PORTION,54,24,23
BELLFLOWER,0750033A,226,137,N,997,TOTAL,130,65,48
BELLFLOWER,0750034A,227,137,N,934,POLLING PLACE,71,43,23
BELLFLOWER,0750034A,227,137,N,0,VBM PORTION,75,36,31
BELLFLOWER,0750034A,227,137,N,934,TOTAL,146,79,54
BELLFLOWER,0750035A,228,137,N,921,POLLING PLACE,51,10,32
BELLFLOWER,0750035A,228,137,N,0,VBM PORTION,76,35,38
BELLFLOWER,0750035A,228,137,N,921,TOTAL,127,45,70
BELLFLOWER,0750036A,229,137,N,1025,POLLING PLACE,36,11,19
BELLFLOWER,0750036A,229,137,N,0,VBM PORTION,32,8,16
BELLFLOWER,0750036A,229,137,N,1025,TOTAL,68,19,35
BELLFLOWER,0750040A,231,137,N,1078,POLLING PLACE,54,9,38
BELLFLOWER,0750040A,231,137,N,0,VBM PORTION,37,8,25
BELLFLOWER,0750040A,231,137,N,1078,TOTAL,91,17,63
BELLFLOWER,0750040D,232,137,N,906,POLLING PLACE,49,13,31
BELLFLOWER,0750040D,232,137,N,0,VBM PORTION,28,13,13
BELLFLOWER,0750040D,232,137,N,906,TOTAL,77,26,44
BELLFLOWER,0750041A,233,137,N,1058,POLLING PLACE,86,32,43
BELLFLOWER,0750041A,233,137,N,0,VBM PORTION,73,25,42
BELLFLOWER,0750041A,233,137,N,1058,TOTAL,159,57,85
BELLFLOWER,0750043A,235,137,N,764,POLLING PLACE,91,50,30
BELLFLOWER,0750043A,235,137,N,0,VBM PORTION,71,38,29
BELLFLOWER,0750043A,235,137,N,764,TOTAL,162,88,59
BELLFLOWER,0750048A,238,137,N,1060,POLLING PLACE,86,27,48
BELLFLOWER,0750048A,238,137,N,0,VBM PORTION,80,24,48
BELLFLOWER,0750048A,238,137,N,1060,TOTAL,166,51,96
BELLFLOWER,0750054B,239,137,N,1194,POLLING PLACE,34,7,24
BELLFLOWER,0750054B,239,137,N,0,VBM PORTION,55,14,36
BELLFLOWER,0750054B,239,137,N,1194,TOTAL,89,21,60
CERRITOS,1070001A,431,137,N,1063,POLLING PLACE,76,31,36
CERRITOS,1070001A,431,137,N,0,VBM PORTION,102,49,41
CERRITOS,1070001A,431,137,N,1063,TOTAL,178,80,77
CERRITOS,1070002A,432,137,N,1004,POLLING PLACE,94,36,51
CERRITOS,1070002A,432,137,N,0,VBM PORTION,80,38,37
CERRITOS,1070002A,432,137,N,1004,TOTAL,174,74,88
CERRITOS,1070003A,433,137,N,762,POLLING PLACE,100,33,53
CERRITOS,1070003A,433,137,N,0,VBM PORTION,68,34,32
CERRITOS,1070003A,433,137,N,762,TOTAL,168,67,85
CERRITOS,1070004A,434,137,N,642,POLLING PLACE,66,35,25
CERRITOS,1070004A,434,137,N,0,VBM PORTION,74,29,39
CERRITOS,1070004A,434,137,N,642,TOTAL,140,64,64
CERRITOS,1070006A,435,137,N,973,POLLING PLACE,92,52,34
CERRITOS,1070006A,435,137,N,0,VBM PORTION,96,44,41
CERRITOS,1070006A,435,137,N,973,TOTAL,188,96,75
CERRITOS,1070007A,436,137,N,853,POLLING PLACE,68,25,32
CERRITOS,1070007A,436,137,N,0,VBM PORTION,81,33,41
CERRITOS,1070007A,436,137,N,853,TOTAL,149,58,73
CERRITOS,1070008A,437,137,N,821,POLLING PLACE,81,31,47
CERRITOS,1070008A,437,137,N,0,VBM PORTION,98,41,48
CERRITOS,1070008A,437,137,N,821,TOTAL,179,72,95
CERRITOS,1070010A,438,137,N,1320,POLLING PLACE,121,44,61
CERRITOS,1070010A,438,137,N,0,VBM PORTION,118,49,62
CERRITOS,1070010A,438,137,N,1320,TOTAL,239,93,123
CERRITOS,1070011A,439,137,N,1017,POLLING PLACE,67,22,34
CERRITOS,1070011A,439,137,N,0,VBM PORTION,114,43,61
CERRITOS,1070011A,439,137,N,1017,TOTAL,181,65,95
CERRITOS,1070012A,440,137,N,1026,POLLING PLACE,73,27,37
CERRITOS,1070012A,440,137,N,0,VBM PORTION,109,39,55
CERRITOS,1070012A,440,137,N,1026,TOTAL,182,66,92
CERRITOS,1070013A,441,137,N,891,POLLING PLACE,92,44,35
CERRITOS,1070013A,441,137,N,0,VBM PORTION,72,22,45
CERRITOS,1070013A,441,137,N,891,TOTAL,164,66,80
CERRITOS,1070014A,442,137,N,861,POLLING PLACE,74,33,31
CERRITOS,1070014A,442,137,N,0,VBM PORTION,75,40,27
CERRITOS,1070014A,442,137,N,861,TOTAL,149,73,58
