LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
EL SEGUNDO,2250017A,840,155,N,0,VBM PORTION,120,11,3,2,0,70,11,3,4
EL SEGUNDO,2250017A,840,155,N,993,TOTAL,242,34,7,9,2,118,18,9,8
EL SEGUNDO,2250017B,6046,155,Y,7,POLLING PLACE,0,0,0,0,0,0,0,0,0
EL SEGUNDO,2250017B,6046,155,Y,0,VBM PORTION,2,1,0,0,0,1,0,0,0
EL SEGUNDO,2250017B,6046,155,Y,7,TOTAL,2,1,0,0,0,1,0,0,0
EL SEGUNDO,2250020A,841,155,N,879,POLLING PLACE,145,22,4,11,1,64,12,6,5
EL SEGUNDO,2250020A,841,155,N,0,VBM PORTION,118,15,2,4,2,57,7,6,2
EL SEGUNDO,2250020A,841,155,N,879,TOTAL,263,37,6,15,3,121,19,12,7
EL SEGUNDO,2250030A,842,155,N,962,POLLING PLACE,131,22,3,7,3,52,12,8,2
EL SEGUNDO,2250030A,842,155,N,0,VBM PORTION,111,16,4,7,3,49,7,4,2
EL SEGUNDO,2250030A,842,155,N,962,TOTAL,242,38,7,14,6,101,19,12,4
GARDENA,2500001A,866,163,N,857,POLLING PLACE,140,83,1,7,4,9,23,1,2
GARDENA,2500001A,866,163,N,0,VBM PORTION,69,30,0,7,1,5,16,0,1
GARDENA,2500001A,866,163,N,857,TOTAL,209,113,1,14,5,14,39,1,3
GARDENA,2500002A,867,163,N,1026,POLLING PLACE,189,99,2,13,2,4,39,0,2
GARDENA,2500002A,867,163,N,0,VBM PORTION,94,57,2,6,1,3,14,0,2
GARDENA,2500002A,867,163,N,1026,TOTAL,283,156,4,19,3,7,53,0,4
GARDENA,2500005A,869,163,N,795,POLLING PLACE,114,62,4,16,1,3,15,3,1
GARDENA,2500005A,869,163,N,0,VBM PORTION,69,33,1,8,0,6,11,0,2
GARDENA,2500005A,869,163,N,795,TOTAL,183,95,5,24,1,9,26,3,3
GARDENA,2500007A,870,163,N,1023,POLLING PLACE,154,91,3,13,3,3,28,0,3
GARDENA,2500007A,870,163,N,0,VBM PORTION,76,39,1,5,3,2,15,1,1
GARDENA,2500007A,870,163,N,1023,TOTAL,230,130,4,18,6,5,43,1,4
GARDENA,2500008A,871,163,N,1156,POLLING PLACE,132,73,1,9,2,6,23,3,1
GARDENA,2500008A,871,163,N,0,VBM PORTION,100,61,1,9,0,9,10,0,1
GARDENA,2500008A,871,163,N,1156,TOTAL,232,134,2,18,2,15,33,3,2
GARDENA,2500021C,879,162,N,1056,POLLING PLACE,72,25,3,11,4,6,11,2,2
GARDENA,2500021C,879,162,N,0,VBM PORTION,78,20,2,9,1,11,16,1,2
GARDENA,2500021C,879,162,N,1056,TOTAL,150,45,5,20,5,17,27,3,4
GARDENA,2500021E,880,162,N,724,POLLING PLACE,31,18,2,1,0,4,3,1,0
GARDENA,2500021E,880,162,N,0,VBM PORTION,22,10,0,4,1,0,3,1,0
GARDENA,2500021E,880,162,N,724,TOTAL,53,28,2,5,1,4,6,2,0
GARDENA,2500041A,889,163,N,1136,POLLING PLACE,102,52,4,17,1,8,10,2,4
GARDENA,2500041A,889,163,N,0,VBM PORTION,47,21,1,4,0,3,11,1,0
GARDENA,2500041A,889,163,N,1136,TOTAL,149,73,5,21,1,11,21,3,4
GARDENA,2500046A,890,163,N,1099,POLLING PLACE,147,77,1,14,1,7,30,0,4
GARDENA,2500046A,890,163,N,0,VBM PORTION,69,34,1,5,1,4,12,3,0
GARDENA,2500046A,890,163,N,1099,TOTAL,216,111,2,19,2,11,42,3,4
HAWTHORNE,2700001A,1044,162,N,1015,POLLING PLACE,63,33,2,4,1,7,10,0,0
HAWTHORNE,2700001A,1044,162,N,0,VBM PORTION,29,9,0,5,0,4,6,1,2
HAWTHORNE,2700001A,1044,162,N,1015,TOTAL,92,42,2,9,1,11,16,1,2
HAWTHORNE,2700001C,6060,162,Y,47,POLLING PLACE,0,0,0,0,0,0,0,0,0
HAWTHORNE,2700001C,6060,162,Y,0,VBM PORTION,1,0,0,0,0,0,0,0,0
HAWTHORNE,2700001C,6060,162,Y,47,TOTAL,1,0,0,0,0,0,0,0,0
HAWTHORNE,2700003A,1045,162,N,1109,POLLING PLACE,71,34,0,7,1,10,8,3,1
HAWTHORNE,2700003A,1045,162,N,0,VBM PORTION,47,11,0,10,3,7,10,1,0
HAWTHORNE,2700003A,1045,162,N,1109,TOTAL,118,45,0,17,4,17,18,4,1
