LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
INGLEWOOD,2950024A,1129,162,N,840,TOTAL,140,76,0,17,0,3,25,1,5
INGLEWOOD,2950025A,1130,160,N,1014,POLLING PLACE,83,33,3,6,2,4,14,0,4
INGLEWOOD,2950025A,1130,160,N,0,VBM PORTION,44,14,2,11,1,2,6,0,6
INGLEWOOD,2950025A,1130,160,N,1014,TOTAL,127,47,5,17,3,6,20,0,10
INGLEWOOD,2950026A,1131,162,N,925,POLLING PLACE,107,63,0,14,0,0,14,0,5
INGLEWOOD,2950026A,1131,162,N,0,VBM PORTION,53,30,0,3,0,2,10,0,1
INGLEWOOD,2950026A,1131,162,N,925,TOTAL,160,93,0,17,0,2,24,0,6
INGLEWOOD,2950026B,6073,163,Y,79,POLLING PLACE,0,0,0,0,0,0,0,0,0
INGLEWOOD,2950026B,6073,163,Y,0,VBM PORTION,6,2,0,1,0,1,2,0,0
INGLEWOOD,2950026B,6073,163,Y,79,TOTAL,6,2,0,1,0,1,2,0,0
INGLEWOOD,2950028A,1132,162,N,557,POLLING PLACE,46,23,0,2,0,5,9,0,1
INGLEWOOD,2950028A,1132,162,N,0,VBM PORTION,27,15,1,0,1,0,9,1,0
INGLEWOOD,2950028A,1132,162,N,557,TOTAL,73,38,1,2,1,5,18,1,1
INGLEWOOD,2950029A,1133,162,N,932,POLLING PLACE,65,35,2,9,2,2,11,2,0
INGLEWOOD,2950029A,1133,162,N,0,VBM PORTION,71,32,2,5,1,1,15,0,4
INGLEWOOD,2950029A,1133,162,N,932,TOTAL,136,67,4,14,3,3,26,2,4
INGLEWOOD,2950030A,1134,162,N,1061,POLLING PLACE,49,25,0,6,1,2,11,0,1
INGLEWOOD,2950030A,1134,162,N,0,VBM PORTION,59,19,1,8,0,4,20,0,1
INGLEWOOD,2950030A,1134,162,N,1061,TOTAL,108,44,1,14,1,6,31,0,2
INGLEWOOD,2950031A,1135,162,N,803,POLLING PLACE,46,18,0,10,0,5,6,1,2
INGLEWOOD,2950031A,1135,162,N,0,VBM PORTION,26,12,1,3,0,4,4,0,0
INGLEWOOD,2950031A,1135,162,N,803,TOTAL,72,30,1,13,0,9,10,1,2
INGLEWOOD,2950033A,1136,162,N,1008,POLLING PLACE,32,9,0,9,0,2,7,0,2
INGLEWOOD,2950033A,1136,162,N,0,VBM PORTION,28,8,0,4,3,5,3,0,1
INGLEWOOD,2950033A,1136,162,N,1008,TOTAL,60,17,0,13,3,7,10,0,3
INGLEWOOD,2950037C,1137,162,N,676,POLLING PLACE,36,24,1,1,0,0,7,0,0
INGLEWOOD,2950037C,1137,162,N,0,VBM PORTION,22,6,0,1,0,7,4,0,0
INGLEWOOD,2950037C,1137,162,N,676,TOTAL,58,30,1,2,0,7,11,0,0
INGLEWOOD,2950039A,1138,162,N,1260,POLLING PLACE,77,35,1,10,1,5,13,1,0
INGLEWOOD,2950039A,1138,162,N,0,VBM PORTION,53,29,2,5,1,2,10,3,1
INGLEWOOD,2950039A,1138,162,N,1260,TOTAL,130,64,3,15,2,7,23,4,1
INGLEWOOD,2950040A,1139,162,N,1138,POLLING PLACE,62,27,0,6,3,1,21,0,1
INGLEWOOD,2950040A,1139,162,N,0,VBM PORTION,32,11,0,1,1,0,12,1,1
INGLEWOOD,2950040A,1139,162,N,1138,TOTAL,94,38,0,7,4,1,33,1,2
INGLEWOOD,2950041A,1140,162,N,1142,POLLING PLACE,74,27,2,9,2,0,25,2,2
INGLEWOOD,2950041A,1140,162,N,0,VBM PORTION,57,27,0,3,1,3,14,0,5
INGLEWOOD,2950041A,1140,162,N,1142,TOTAL,131,54,2,12,3,3,39,2,7
INGLEWOOD,2950042A,1141,162,N,1091,POLLING PLACE,80,47,2,6,0,2,14,0,2
INGLEWOOD,2950042A,1141,162,N,0,VBM PORTION,53,23,1,7,0,3,11,0,6
INGLEWOOD,2950042A,1141,162,N,1091,TOTAL,133,70,3,13,0,5,25,0,8
INGLEWOOD,2950044A,1142,162,N,915,POLLING PLACE,44,16,2,5,1,4,11,0,2
INGLEWOOD,2950044A,1142,162,N,0,VBM PORTION,32,15,0,6,0,4,3,0,1
INGLEWOOD,2950044A,1142,162,N,915,TOTAL,76,31,2,11,1,8,14,0,3
INGLEWOOD,2950047B,1143,162,N,1034,POLLING PLACE,42,17,2,8,0,6,5,1,1
INGLEWOOD,2950047B,1143,162,N,0,VBM PORTION,38,14,1,4,1,5,5,0,1
INGLEWOOD,2950047B,1143,162,N,1034,TOTAL,80,31,3,12,1,11,10,1,2
INGLEWOOD,2950048A,1144,162,N,1014,POLLING PLACE,52,22,0,13,2,6,5,1,1
INGLEWOOD,2950048A,1144,162,N,0,VBM PORTION,32,7,1,7,0,7,8,0,0
INGLEWOOD,2950048A,1144,162,N,1014,TOTAL,84,29,1,20,2,13,13,1,1
INGLEWOOD,2950050A,1145,162,N,1059,POLLING PLACE,54,22,1,9,1,4,14,1,0
INGLEWOOD,2950050A,1145,162,N,0,VBM PORTION,45,11,0,8,1,11,8,2,1
INGLEWOOD,2950050A,1145,162,N,1059,TOTAL,99,33,1,17,2,15,22,3,1
INGLEWOOD,2950052A,1146,162,N,1082,POLLING PLACE,76,41,2,7,0,5,10,1,2
INGLEWOOD,2950052A,1146,162,N,0,VBM PORTION,33,12,0,4,1,5,10,0,1
INGLEWOOD,2950052A,1146,162,N,1082,TOTAL,109,53,2,11,1,10,20,1,3
INGLEWOOD,2950057A,1147,162,N,1021,POLLING PLACE,100,36,0,11,2,4,28,1,4
INGLEWOOD,2950057A,1147,162,N,0,VBM PORTION,44,22,0,7,0,4,5,1,2
INGLEWOOD,2950057A,1147,162,N,1021,TOTAL,144,58,0,18,2,8,33,2,6
INGLEWOOD,2950063A,1148,162,N,984,POLLING PLACE,118,62,1,11,0,5,15,1,9
INGLEWOOD,2950063A,1148,162,N,0,VBM PORTION,89,44,0,7,0,6,12,0,12
INGLEWOOD,2950063A,1148,162,N,984,TOTAL,207,106,1,18,0,11,27,1,21
INGLEWOOD,2950067A,1149,162,N,1130,POLLING PLACE,102,53,1,13,2,6,19,0,1
INGLEWOOD,2950067A,1149,162,N,0,VBM PORTION,78,45,0,12,2,0,11,1,1
INGLEWOOD,2950067A,1149,162,N,1130,TOTAL,180,98,1,25,4,6,30,1,2
INGLEWOOD,2950072A,1150,162,N,966,POLLING PLACE,61,31,1,5,3,1,9,0,2
INGLEWOOD,2950072A,1150,162,N,0,VBM PORTION,48,22,0,7,0,2,12,0,0
INGLEWOOD,2950072A,1150,162,N,966,TOTAL,109,53,1,12,3,3,21,0,2
INGLEWOOD,2950073A,1151,160,N,888,POLLING PLACE,65,35,3,5,0,2,9,1,1
INGLEWOOD,2950073A,1151,160,N,0,VBM PORTION,68,37,0,10,0,4,11,0,1
INGLEWOOD,2950073A,1151,160,N,888,TOTAL,133,72,3,15,0,6,20,1,2
INGLEWOOD,2950075A,1152,162,N,1310,POLLING PLACE,85,45,3,4,0,3,21,0,1
INGLEWOOD,2950075A,1152,162,N,0,VBM PORTION,54,31,2,7,0,0,7,1,0
INGLEWOOD,2950075A,1152,162,N,1310,TOTAL,139,76,5,11,0,3,28,1,1
INGLEWOOD,2950076A,1153,162,N,1104,POLLING PLACE,77,39,2,10,1,2,11,1,2
INGLEWOOD,2950076A,1153,162,N,0,VBM PORTION,58,28,0,5,0,2,11,0,1
INGLEWOOD,2950076A,1153,162,N,1104,TOTAL,135,67,2,15,1,4,22,1,3
INGLEWOOD,2950080A,1154,160,N,957,POLLING PLACE,87,40,2,15,1,4,15,0,4
INGLEWOOD,2950080A,1154,160,N,0,VBM PORTION,43,15,0,3,0,10,9,0,3
INGLEWOOD,2950080A,1154,160,N,957,TOTAL,130,55,2,18,1,14,24,0,7
INGLEWOOD,2950084A,1155,160,N,808,POLLING PLACE,46,14,2,16,0,1,6,3,1
INGLEWOOD,2950084A,1155,160,N,0,VBM PORTION,44,18,3,3,0,14,2,1,0
INGLEWOOD,2950084A,1155,160,N,808,TOTAL,90,32,5,19,0,15,8,4,1
INGLEWOOD,2950087A,1156,160,N,968,POLLING PLACE,77,40,4,6,1,3,13,0,3
INGLEWOOD,2950087A,1156,160,N,0,VBM PORTION,85,37,1,10,1,8,14,4,2
INGLEWOOD,2950087A,1156,160,N,968,TOTAL,162,77,5,16,2,11,27,4,5
INGLEWOOD,2950088A,1157,160,N,1312,POLLING PLACE,172,88,0,14,0,22,30,2,4
INGLEWOOD,2950088A,1157,160,N,0,VBM PORTION,157,78,1,14,1,18,21,3,5
INGLEWOOD,2950088A,1157,160,N,1312,TOTAL,329,166,1,28,1,40,51,5,9
INGLEWOOD,2950092A,1159,162,N,995,POLLING PLACE,59,39,0,7,0,2,3,1,2
INGLEWOOD,2950092A,1159,162,N,0,VBM PORTION,48,14,0,7,5,2,13,1,0
INGLEWOOD,2950092A,1159,162,N,995,TOTAL,107,53,0,14,5,4,16,2,2
INGLEWOOD,2950095A,1160,162,N,935,POLLING PLACE,106,56,1,11,2,3,23,0,4
INGLEWOOD,2950095A,1160,162,N,0,VBM PORTION,78,34,0,6,0,1,25,2,2
INGLEWOOD,2950095A,1160,162,N,935,TOTAL,184,90,1,17,2,4,48,2,6
INGLEWOOD,2950141A,1161,162,N,641,POLLING PLACE,36,18,1,8,1,0,3,1,3
INGLEWOOD,2950141A,1161,162,N,0,VBM PORTION,20,11,0,4,0,0,4,0,0
INGLEWOOD,2950141A,1161,162,N,641,TOTAL,56,29,1,12,1,0,7,1,3
INGLEWOOD,2950146A,1162,162,N,921,POLLING PLACE,36,18,0,7,1,3,5,0,1
INGLEWOOD,2950146A,1162,162,N,0,VBM PORTION,31,15,0,3,0,0,4,2,2
INGLEWOOD,2950146A,1162,162,N,921,TOTAL,67,33,0,10,1,3,9,2,3
INGLEWOOD,2950146G,6074,163,Y,4,POLLING PLACE,0,0,0,0,0,0,0,0,0
INGLEWOOD,2950146G,6074,163,Y,0,VBM PORTION,1,1,0,0,0,0,0,0,0
INGLEWOOD,2950146G,6074,163,Y,4,TOTAL,1,1,0,0,0,0,0,0,0
INGLEWOOD,2950147A,1163,162,N,834,POLLING PLACE,61,30,0,8,1,0,11,1,4
INGLEWOOD,2950147A,1163,162,N,0,VBM PORTION,37,18,0,7,1,0,5,0,1
INGLEWOOD,2950147A,1163,162,N,834,TOTAL,98,48,0,15,2,0,16,1,5
INGLEWOOD,2950149A,1164,162,N,1173,POLLING PLACE,75,41,2,8,0,2,17,0,0
INGLEWOOD,2950149A,1164,162,N,0,VBM PORTION,52,20,0,5,0,2,16,1,3
INGLEWOOD,2950149A,1164,162,N,1173,TOTAL,127,61,2,13,0,4,33,1,3
INGLEWOOD,2950152A,1165,162,N,833,POLLING PLACE,165,87,0,10,0,1,45,2,5
INGLEWOOD,2950152A,1165,162,N,0,VBM PORTION,58,29,1,5,0,0,16,0,2
INGLEWOOD,2950152A,1165,162,N,833,TOTAL,223,116,1,15,0,1,61,2,7
LAWNDALE,3650001A,1370,162,N,1083,POLLING PLACE,61,26,4,4,3,12,7,1,1
LAWNDALE,3650001A,1370,162,N,0,VBM PORTION,79,28,3,8,3,18,13,1,2
LAWNDALE,3650001A,1370,162,N,1083,TOTAL,140,54,7,12,6,30,20,2,3
LAWNDALE,3650002A,1371,162,N,1052,POLLING PLACE,77,28,3,7,1,24,6,2,0
LAWNDALE,3650002A,1371,162,N,0,VBM PORTION,56,20,1,7,0,13,8,0,0
LAWNDALE,3650002A,1371,162,N,1052,TOTAL,133,48,4,14,1,37,14,2,0
LAWNDALE,3650004A,1372,162,N,984,POLLING PLACE,63,23,2,6,0,12,10,1,3
LAWNDALE,3650004A,1372,162,N,0,VBM PORTION,49,11,0,5,1,16,5,6,0
LAWNDALE,3650004A,1372,162,N,984,TOTAL,112,34,2,11,1,28,15,7,3
LAWNDALE,3650005A,1373,162,N,1041,POLLING PLACE,58,28,0,7,1,12,7,1,1
LAWNDALE,3650005A,1373,162,N,0,VBM PORTION,42,26,1,4,0,2,3,0,0
LAWNDALE,3650005A,1373,162,N,1041,TOTAL,100,54,1,11,1,14,10,1,1
LAWNDALE,3650006A,1374,162,N,1073,POLLING PLACE,98,31,4,12,1,24,14,4,5
LAWNDALE,3650006A,1374,162,N,0,VBM PORTION,41,12,1,3,0,14,6,0,0
LAWNDALE,3650006A,1374,162,N,1073,TOTAL,139,43,5,15,1,38,20,4,5
LAWNDALE,3650007A,1375,162,N,1092,POLLING PLACE,45,13,0,7,2,10,4,2,3
LAWNDALE,3650007A,1375,162,N,0,VBM PORTION,94,23,0,20,0,28,9,0,2
LAWNDALE,3650007A,1375,162,N,1092,TOTAL,139,36,0,27,2,38,13,2,5
LAWNDALE,3650009A,1376,162,N,931,POLLING PLACE,56,14,4,8,4,11,6,2,1
LAWNDALE,3650009A,1376,162,N,0,VBM PORTION,47,11,1,8,0,15,5,0,5
LAWNDALE,3650009A,1376,162,N,931,TOTAL,103,25,5,16,4,26,11,2,6
LAWNDALE,3650011A,1377,162,N,882,POLLING PLACE,50,22,2,5,1,8,9,1,1
LAWNDALE,3650011A,1377,162,N,0,VBM PORTION,40,7,7,6,2,7,6,0,0
LAWNDALE,3650011A,1377,162,N,882,TOTAL,90,29,9,11,3,15,15,1,1
LAWNDALE,3650012A,1378,162,N,956,POLLING PLACE,82,22,2,11,3,25,11,3,2
LAWNDALE,3650012A,1378,162,N,0,VBM PORTION,40,11,4,3,1,13,6,0,0
LAWNDALE,3650012A,1378,162,N,956,TOTAL,122,33,6,14,4,38,17,3,2
LAWNDALE,3650013A,1379,162,N,1046,POLLING PLACE,74,24,0,9,0,16,15,1,2
LAWNDALE,3650013A,1379,162,N,0,VBM PORTION,58,23,3,5,1,17,6,1,2
LAWNDALE,3650013A,1379,162,N,1046,TOTAL,132,47,3,14,1,33,21,2,4
LAWNDALE,3650014A,1380,162,N,953,POLLING PLACE,46,10,4,2,2,21,3,1,0
LAWNDALE,3650014A,1380,162,N,0,VBM PORTION,37,7,1,8,0,14,2,1,0
LAWNDALE,3650014A,1380,162,N,953,TOTAL,83,17,5,10,2,35,5,2,0
LAWNDALE,3650015A,1381,162,N,1264,POLLING PLACE,74,21,5,7,1,16,16,3,2
LAWNDALE,3650015A,1381,162,N,0,VBM PORTION,55,17,0,6,0,16,15,0,0
LAWNDALE,3650015A,1381,162,N,1264,TOTAL,129,38,5,13,1,32,31,3,2
LAWNDALE,3650018A,1382,162,N,1041,POLLING PLACE,52,14,2,11,1,15,6,1,0
LAWNDALE,3650018A,1382,162,N,0,VBM PORTION,37,10,2,1,0,11,8,1,1
LAWNDALE,3650018A,1382,162,N,1041,TOTAL,89,24,4,12,1,26,14,2,1
LENNOX,3670001A,1383,162,N,723,POLLING PLACE,54,13,0,4,1,9,21,0,2
LENNOX,3670001A,1383,162,N,0,VBM PORTION,18,5,1,0,0,6,4,0,1
LENNOX,3670001A,1383,162,N,723,TOTAL,72,18,1,4,1,15,25,0,3
LENNOX,3670005A,1384,162,N,1054,POLLING PLACE,35,11,0,4,2,5,9,1,3
LENNOX,3670005A,1384,162,N,0,VBM PORTION,29,15,0,0,1,4,7,1,0
LENNOX,3670005A,1384,162,N,1054,TOTAL,64,26,0,4,3,9,16,2,3
LENNOX,3670007A,1385,162,N,1015,POLLING PLACE,45,10,2,10,2,4,8,1,3
LENNOX,3670007A,1385,162,N,0,VBM PORTION,21,2,0,4,1,4,5,3,0
LENNOX,3670007A,1385,162,N,1015,TOTAL,66,12,2,14,3,8,13,4,3
LENNOX,3670030A,1386,162,N,602,POLLING PLACE,33,9,0,4,0,5,10,2,0
LENNOX,3670030A,1386,162,N,0,VBM PORTION,17,3,4,3,2,2,2,0,0
LENNOX,3670030A,1386,162,N,602,TOTAL,50,12,4,7,2,7,12,2,0
LENNOX,3670031A,1387,162,N,1012,POLLING PLACE,57,20,0,9,0,4,15,2,1
LENNOX,3670031A,1387,162,N,0,VBM PORTION,31,10,0,2,0,8,7,1,0
LENNOX,3670031A,1387,162,N,1012,TOTAL,88,30,0,11,0,12,22,3,1
LENNOX,3670032A,1388,162,N,998,POLLING PLACE,53,17,1,9,2,6,16,0,0
LENNOX,3670032A,1388,162,N,0,VBM PORTION,30,7,0,4,0,9,6,0,1
LENNOX,3670032A,1388,162,N,998,TOTAL,83,24,1,13,2,15,22,0,1
LENNOX,3670033A,1389,162,N,1033,POLLING PLACE,23,6,1,3,0,2,9,0,2
LENNOX,3670033A,1389,162,N,0,VBM PORTION,24,8,0,3,2,2,7,1,1
LENNOX,3670033A,1389,162,N,1033,TOTAL,47,14,1,6,2,4,16,1,3
MARINA DEL REY,4150041A,1737,155,N,590,POLLING PLACE,54,15,0,4,3,10,3,1,1
MARINA DEL REY,4150041A,1737,155,N,0,VBM PORTION,48,7,5,8,0,12,2,3,1
MARINA DEL REY,4150041A,1737,155,N,590,TOTAL,102,22,5,12,3,22,5,4,2
MARINA DEL REY,4150045A,1738,155,N,1305,POLLING PLACE,130,34,4,12,3,26,11,5,2
MARINA DEL REY,4150045A,1738,155,N,0,VBM PORTION,132,32,4,9,1,32,20,3,1
MARINA DEL REY,4150045A,1738,155,N,1305,TOTAL,262,66,8,21,4,58,31,8,3
MARINA DEL REY,4150048A,1739,155,N,1019,POLLING PLACE,80,26,3,5,1,15,11,3,0
MARINA DEL REY,4150048A,1739,155,N,0,VBM PORTION,66,14,2,8,1,12,14,4,0
MARINA DEL REY,4150048A,1739,155,N,1019,TOTAL,146,40,5,13,2,27,25,7,0
MARINA DEL REY,4150050A,1740,155,N,784,POLLING PLACE,117,48,8,7,3,14,10,4,0
MARINA DEL REY,4150050A,1740,155,N,0,VBM PORTION,65,27,4,2,0,10,9,1,0
MARINA DEL REY,4150050A,1740,155,N,784,TOTAL,182,75,12,9,3,24,19,5,0
MARINA DEL REY,4150051A,1741,155,N,456,POLLING PLACE,22,8,3,3,0,1,3,1,0
MARINA DEL REY,4150051A,1741,155,N,0,VBM PORTION,38,14,2,4,0,11,3,0,0
MARINA DEL REY,4150051A,1741,155,N,456,TOTAL,60,22,5,7,0,12,6,1,0
MARINA DEL REY,4150053A,1742,155,N,1341,POLLING PLACE,186,49,8,24,6,38,14,5,4
MARINA DEL REY,4150053A,1742,155,N,0,VBM PORTION,143,26,7,15,4,34,21,8,2
MARINA DEL REY,4150053A,1742,155,N,1341,TOTAL,329,75,15,39,10,72,35,13,6
WEST ATHENS,7670004A,2785,161,N,1161,POLLING PLACE,60,23,0,5,2,2,13,0,2
WEST ATHENS,7670004A,2785,161,N,0,VBM PORTION,32,11,2,9,0,1,1,1,0
WEST ATHENS,7670004A,2785,161,N,1161,TOTAL,92,34,2,14,2,3,14,1,2
WEST ATHENS,7670005A,2786,161,N,830,POLLING PLACE,37,20,0,2,0,1,6,1,1
WEST ATHENS,7670005A,2786,161,N,0,VBM PORTION,29,24,0,1,1,2,0,0,0
WEST ATHENS,7670005A,2786,161,N,830,TOTAL,66,44,0,3,1,3,6,1,1
WEST ATHENS,7670006A,2787,161,N,1100,POLLING PLACE,128,75,2,12,3,1,17,0,1
WEST ATHENS,7670006A,2787,161,N,0,VBM PORTION,107,61,0,12,2,3,22,3,1
WEST ATHENS,7670006A,2787,161,N,1100,TOTAL,235,136,2,24,5,4,39,3,2
WEST ATHENS,7670007A,2788,161,N,845,POLLING PLACE,28,19,0,2,0,0,4,0,0
WEST ATHENS,7670007A,2788,161,N,0,VBM PORTION,36,16,1,9,0,0,7,0,1
WEST ATHENS,7670007A,2788,161,N,845,TOTAL,64,35,1,11,0,0,11,0,1
WEST ATHENS,7670010A,2790,161,N,1079,POLLING PLACE,76,37,1,10,0,2,13,1,2
WEST ATHENS,7670010A,2790,161,N,0,VBM PORTION,49,29,0,5,0,3,6,3,1
WEST ATHENS,7670010A,2790,161,N,1079,TOTAL,125,66,1,15,0,5,19,4,3
WEST ATHENS,7670011A,2791,161,N,758,POLLING PLACE,83,50,0,7,0,3,14,0,1
WEST ATHENS,7670011A,2791,161,N,0,VBM PORTION,39,23,1,1,0,0,10,0,1
WEST ATHENS,7670011A,2791,161,N,758,TOTAL,122,73,1,8,0,3,24,0,2
WEST ATHENS,7670012B,2792,161,N,1168,POLLING PLACE,99,53,2,13,3,1,8,2,3
WEST ATHENS,7670012B,2792,161,N,0,VBM PORTION,74,50,0,7,0,2,8,1,1
WEST ATHENS,7670012B,2792,161,N,1168,TOTAL,173,103,2,20,3,3,16,3,4
WEST ATHENS,7670013A,2793,161,N,834,POLLING PLACE,105,54,0,14,1,3,21,0,0
WEST ATHENS,7670013A,2793,161,N,0,VBM PORTION,58,29,0,9,0,2,8,1,2
WEST ATHENS,7670013A,2793,161,N,834,TOTAL,163,83,0,23,1,5,29,1,2
WEST ATHENS,7670014A,2794,161,N,940,POLLING PLACE,40,22,1,3,0,0,4,0,3
WEST ATHENS,7670014A,2794,161,N,0,VBM PORTION,22,10,0,3,0,1,6,1,0
WEST ATHENS,7670014A,2794,161,N,940,TOTAL,62,32,1,6,0,1,10,1,3
WEST ATHENS,7670015A,2795,163,N,698,POLLING PLACE,46,32,0,4,0,2,3,0,0
WEST ATHENS,7670015A,2795,163,N,0,VBM PORTION,34,23,1,1,0,1,4,0,0
WEST ATHENS,7670015A,2795,163,N,698,TOTAL,80,55,1,5,0,3,7,0,0
WEST ATHENS,7670016A,2796,161,N,913,POLLING PLACE,57,27,1,6,3,3,7,3,0
WEST ATHENS,7670016A,2796,161,N,0,VBM PORTION,30,20,1,2,0,0,2,0,1
WEST ATHENS,7670016A,2796,161,N,913,TOTAL,87,47,2,8,3,3,9,3,1
WEST ATHENS,7670017A,2797,163,N,1021,POLLING PLACE,71,45,0,6,1,4,5,1,2
WEST ATHENS,7670017A,2797,163,N,0,VBM PORTION,33,13,0,8,0,2,4,2,1
WEST ATHENS,7670017A,2797,163,N,1021,TOTAL,104,58,0,14,1,6,9,3,3
WEST ATHENS,7670018A,2798,163,N,884,POLLING PLACE,97,56,4,9,0,3,15,2,1
WEST ATHENS,7670018A,2798,163,N,0,VBM PORTION,54,27,0,7,0,1,16,0,0
WEST ATHENS,7670018A,2798,163,N,884,TOTAL,151,83,4,16,0,4,31,2,1
WEST ATHENS,7670019A,2799,163,N,781,POLLING PLACE,83,42,2,10,1,2,16,0,0
WEST ATHENS,7670019A,2799,163,N,0,VBM PORTION,30,14,1,3,0,2,7,1,0
WEST ATHENS,7670019A,2799,163,N,781,TOTAL,113,56,3,13,1,4,23,1,0
WEST ATHENS,7670020A,2800,163,N,967,POLLING PLACE,155,98,0,14,1,5,19,1,3
WEST ATHENS,7670020A,2800,163,N,0,VBM PORTION,82,60,0,10,0,1,5,1,1
WEST ATHENS,7670020A,2800,163,N,967,TOTAL,237,158,0,24,1,6,24,2,4
WEST ATHENS,7670021A,2801,163,N,837,POLLING PLACE,119,74,1,17,1,3,11,0,4
WEST ATHENS,7670021A,2801,163,N,0,VBM PORTION,69,32,1,10,1,3,14,1,0
WEST ATHENS,7670021A,2801,163,N,837,TOTAL,188,106,2,27,2,6,25,1,4
WEST ATHENS,7670022A,2802,161,N,1029,POLLING PLACE,54,26,0,9,0,1,9,3,1
WEST ATHENS,7670022A,2802,161,N,0,VBM PORTION,41,21,1,2,1,4,6,1,2
WEST ATHENS,7670022A,2802,161,N,1029,TOTAL,95,47,1,11,1,5,15,4,3
WEST ATHENS,7670023A,2803,161,N,935,POLLING PLACE,97,52,3,8,1,2,17,2,0
WEST ATHENS,7670023A,2803,161,N,0,VBM PORTION,51,26,1,11,0,1,6,1,2
WEST ATHENS,7670023A,2803,161,N,935,TOTAL,148,78,4,19,1,3,23,3,2
WEST ATHENS,7670024A,2804,161,N,817,POLLING PLACE,79,40,0,4,1,5,14,0,4
WEST ATHENS,7670024A,2804,161,N,0,VBM PORTION,47,20,0,1,0,4,13,0,0
WEST ATHENS,7670024A,2804,161,N,817,TOTAL,126,60,0,5,1,9,27,0,4
LOS ANGELES,9000003A,2974,154,N,825,POLLING PLACE,124,39,6,24,4,6,18,6,0
LOS ANGELES,9000003A,2974,154,N,0,VBM PORTION,80,24,1,14,1,6,10,2,1
LOS ANGELES,9000003A,2974,154,N,825,TOTAL,204,63,7,38,5,12,28,8,1
LOS ANGELES,9000004A,2975,158,N,1045,POLLING PLACE,143,31,3,16,2,40,23,7,0
LOS ANGELES,9000004A,2975,158,N,0,VBM PORTION,108,26,1,22,3,25,9,2,0
LOS ANGELES,9000004A,2975,158,N,1045,TOTAL,251,57,4,38,5,65,32,9,0
LOS ANGELES,9000020A,6177,158,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
LOS ANGELES,9000020A,6177,158,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
LOS ANGELES,9000020A,6177,158,Y,0,TOTAL,0,0,0,0,0,0,0,0,0
LOS ANGELES,9000039A,2994,155,N,1350,POLLING PLACE,123,32,5,26,2,21,9,2,2
LOS ANGELES,9000039A,2994,155,N,0,VBM PORTION,207,53,12,26,0,52,30,3,2
LOS ANGELES,9000039A,2994,155,N,1350,TOTAL,330,85,17,52,2,73,39,5,4
LOS ANGELES,9000040A,2995,155,N,843,POLLING PLACE,114,30,3,18,3,24,14,5,0
LOS ANGELES,9000040A,2995,155,N,0,VBM PORTION,117,25,4,10,3,34,11,5,1
LOS ANGELES,9000040A,2995,155,N,843,TOTAL,231,55,7,28,6,58,25,10,1
LOS ANGELES,9000216A,3106,158,N,833,POLLING PLACE,91,28,0,13,5,12,13,1,1
LOS ANGELES,9000216A,3106,158,N,0,VBM PORTION,61,20,2,8,0,13,8,0,2
LOS ANGELES,9000216A,3106,158,N,833,TOTAL,152,48,2,21,5,25,21,1,3
LOS ANGELES,9000282A,3144,159,N,1129,POLLING PLACE,46,19,1,3,2,3,7,2,2
LOS ANGELES,9000282A,3144,159,N,0,VBM PORTION,68,27,2,10,0,2,14,1,1
LOS ANGELES,9000282A,3144,159,N,1129,TOTAL,114,46,3,13,2,5,21,3,3
LOS ANGELES,9000283A,3145,159,N,1030,POLLING PLACE,102,70,0,9,0,4,9,0,1
LOS ANGELES,9000283A,3145,159,N,0,VBM PORTION,79,42,1,6,2,1,15,0,1
LOS ANGELES,9000283A,3145,159,N,1030,TOTAL,181,112,1,15,2,5,24,0,2
LOS ANGELES,9000286A,3148,157,N,1220,POLLING PLACE,79,30,2,8,1,3,13,6,3
LOS ANGELES,9000286A,3148,157,N,0,VBM PORTION,92,21,6,10,4,14,13,2,1
LOS ANGELES,9000286A,3148,157,N,1220,TOTAL,171,51,8,18,5,17,26,8,4
LOS ANGELES,9000449A,3251,157,N,947,POLLING PLACE,129,42,6,13,0,40,6,4,1
LOS ANGELES,9000449A,3251,157,N,0,VBM PORTION,130,33,5,8,3,42,11,1,2
LOS ANGELES,9000449A,3251,157,N,947,TOTAL,259,75,11,21,3,82,17,5,3
LOS ANGELES,9000451A,3252,157,N,996,POLLING PLACE,72,26,5,9,1,12,15,1,1
LOS ANGELES,9000451A,3252,157,N,0,VBM PORTION,27,8,0,2,3,4,6,1,1
LOS ANGELES,9000451A,3252,157,N,996,TOTAL,99,34,5,11,4,16,21,2,2
LOS ANGELES,9000452B,3253,158,N,1168,POLLING PLACE,165,41,5,13,3,56,15,5,1
LOS ANGELES,9000452B,3253,158,N,0,VBM PORTION,130,17,4,17,1,54,8,8,0
LOS ANGELES,9000452B,3253,158,N,1168,TOTAL,295,58,9,30,4,110,23,13,1
LOS ANGELES,9000455A,3255,158,N,690,POLLING PLACE,27,12,0,4,0,2,2,0,1
