LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
WHITTIER,7800059A,2932,131,N,1199,TOTAL,112,64,35
WHITTIER,7800064A,2933,131,N,1006,POLLING PLACE,78,50,25
WHITTIER,7800064A,2933,131,N,0,VBM PORTION,72,26,36
WHITTIER,7800064A,2933,131,N,1006,TOTAL,150,76,61
WHITTIER,7800066C,2934,131,N,915,POLLING PLACE,115,37,73
WHITTIER,7800066C,2934,131,N,0,VBM PORTION,154,54,79
WHITTIER,7800066C,2934,131,N,915,TOTAL,269,91,152
WHITTIER,7800068A,2935,131,N,1208,POLLING PLACE,122,64,55
WHITTIER,7800068A,2935,131,N,0,VBM PORTION,102,43,43
WHITTIER,7800068A,2935,131,N,1208,TOTAL,224,107,98
WHITTIER,7800072B,2936,131,N,1300,POLLING PLACE,124,57,52
WHITTIER,7800072B,2936,131,N,0,VBM PORTION,124,50,58
WHITTIER,7800072B,2936,131,N,1300,TOTAL,248,107,110
WHITTIER,7800075A,2937,131,N,1410,POLLING PLACE,112,63,38
WHITTIER,7800075A,2937,131,N,0,VBM PORTION,124,47,57
WHITTIER,7800075A,2937,131,N,1410,TOTAL,236,110,95
WHITTIER,7800075C,2938,131,N,472,POLLING PLACE,43,19,17
WHITTIER,7800075C,2938,131,N,0,VBM PORTION,61,33,21
WHITTIER,7800075C,2938,131,N,472,TOTAL,104,52,38
WHITTIER,7800079A,2939,131,N,1113,POLLING PLACE,123,60,44
WHITTIER,7800079A,2939,131,N,0,VBM PORTION,97,52,30
WHITTIER,7800079A,2939,131,N,1113,TOTAL,220,112,74
WHITTIER,7800082A,2940,131,N,1161,POLLING PLACE,123,55,54
WHITTIER,7800082A,2940,131,N,0,VBM PORTION,119,46,56
WHITTIER,7800082A,2940,131,N,1161,TOTAL,242,101,110
WHITTIER,7800083A,2941,131,N,590,POLLING PLACE,78,35,40
WHITTIER,7800083A,2941,131,N,0,VBM PORTION,56,23,24
WHITTIER,7800083A,2941,131,N,590,TOTAL,134,58,64
WHITTIER,7800087A,2942,131,N,1252,POLLING PLACE,175,54,99
WHITTIER,7800087A,2942,131,N,0,VBM PORTION,162,44,89
WHITTIER,7800087A,2942,131,N,1252,TOTAL,337,98,188
WHITTIER,7800095A,6176,127,Y,0,POLLING PLACE,0,0,0
WHITTIER,7800095A,6176,127,Y,0,VBM PORTION,0,0,0
WHITTIER,7800095A,6176,127,Y,0,TOTAL,0,0,0
WHITTIER,7800144A,2943,131,N,1263,POLLING PLACE,131,75,41
WHITTIER,7800144A,2943,131,N,0,VBM PORTION,109,57,42
WHITTIER,7800144A,2943,131,N,1263,TOTAL,240,132,83
WHITTIER,7800148A,2944,131,N,859,POLLING PLACE,54,41,8
WHITTIER,7800148A,2944,131,N,0,VBM PORTION,45,28,7
WHITTIER,7800148A,2944,131,N,859,TOTAL,99,69,15
