LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
EAST LOS ANGELES,2000025A,755,91,N,1083,TOTAL,86,9,5,67
EAST LOS ANGELES,2000028A,756,91,N,1098,POLLING PLACE,75,10,5,52
EAST LOS ANGELES,2000028A,756,91,N,0,VBM PORTION,43,5,0,36
EAST LOS ANGELES,2000028A,756,91,N,1098,TOTAL,118,15,5,88
EAST LOS ANGELES,2000028B,757,91,N,1082,POLLING PLACE,79,15,9,52
EAST LOS ANGELES,2000028B,757,91,N,0,VBM PORTION,27,1,1,24
EAST LOS ANGELES,2000028B,757,91,N,1082,TOTAL,106,16,10,76
EAST LOS ANGELES,2000030A,758,91,N,790,POLLING PLACE,57,15,5,32
EAST LOS ANGELES,2000030A,758,91,N,0,VBM PORTION,47,3,2,41
EAST LOS ANGELES,2000030A,758,91,N,790,TOTAL,104,18,7,73
EAST LOS ANGELES,2000032A,759,91,N,1014,POLLING PLACE,79,10,4,57
EAST LOS ANGELES,2000032A,759,91,N,0,VBM PORTION,24,1,3,17
EAST LOS ANGELES,2000032A,759,91,N,1014,TOTAL,103,11,7,74
EAST LOS ANGELES,2000034B,760,91,N,771,POLLING PLACE,51,3,4,41
EAST LOS ANGELES,2000034B,760,91,N,0,VBM PORTION,26,4,6,16
EAST LOS ANGELES,2000034B,760,91,N,771,TOTAL,77,7,10,57
EAST LOS ANGELES,2000038B,761,91,N,930,POLLING PLACE,56,6,3,45
EAST LOS ANGELES,2000038B,761,91,N,0,VBM PORTION,15,1,2,9
EAST LOS ANGELES,2000038B,761,91,N,930,TOTAL,71,7,5,54
EAST LOS ANGELES,2000040A,762,91,N,1006,POLLING PLACE,68,13,3,47
EAST LOS ANGELES,2000040A,762,91,N,0,VBM PORTION,24,1,3,20
EAST LOS ANGELES,2000040A,762,91,N,1006,TOTAL,92,14,6,67
EAST LOS ANGELES,2000045A,763,91,N,943,POLLING PLACE,79,8,12,51
EAST LOS ANGELES,2000045A,763,91,N,0,VBM PORTION,34,5,1,27
EAST LOS ANGELES,2000045A,763,91,N,943,TOTAL,113,13,13,78
EAST LOS ANGELES,2000045B,764,91,N,1133,POLLING PLACE,93,13,7,63
EAST LOS ANGELES,2000045B,764,91,N,0,VBM PORTION,30,2,7,21
EAST LOS ANGELES,2000045B,764,91,N,1133,TOTAL,123,15,14,84
EAST LOS ANGELES,2000053A,765,91,N,1138,POLLING PLACE,85,7,8,65
EAST LOS ANGELES,2000053A,765,91,N,0,VBM PORTION,29,3,2,20
EAST LOS ANGELES,2000053A,765,91,N,1138,TOTAL,114,10,10,85
EAST LOS ANGELES,2000062A,766,91,N,760,POLLING PLACE,81,15,6,54
EAST LOS ANGELES,2000062A,766,91,N,0,VBM PORTION,54,5,13,31
EAST LOS ANGELES,2000062A,766,91,N,760,TOTAL,135,20,19,85
EAST LOS ANGELES,2000065A,767,91,N,855,POLLING PLACE,72,7,9,49
EAST LOS ANGELES,2000065A,767,91,N,0,VBM PORTION,46,4,3,37
EAST LOS ANGELES,2000065A,767,91,N,855,TOTAL,118,11,12,86
EAST LOS ANGELES,2000081A,768,91,N,1044,POLLING PLACE,66,10,6,42
EAST LOS ANGELES,2000081A,768,91,N,0,VBM PORTION,61,12,4,36
EAST LOS ANGELES,2000081A,768,91,N,1044,TOTAL,127,22,10,78
EAST LOS ANGELES,2000082A,769,91,N,1020,POLLING PLACE,68,5,9,50
EAST LOS ANGELES,2000082A,769,91,N,0,VBM PORTION,42,6,1,33
EAST LOS ANGELES,2000082A,769,91,N,1020,TOTAL,110,11,10,83
EAST LOS ANGELES,2000083A,770,91,N,1123,POLLING PLACE,85,9,12,59
EAST LOS ANGELES,2000083A,770,91,N,0,VBM PORTION,23,3,2,15
EAST LOS ANGELES,2000083A,770,91,N,1123,TOTAL,108,12,14,74
EAST LOS ANGELES,2000084A,771,91,N,1025,POLLING PLACE,74,7,9,55
EAST LOS ANGELES,2000084A,771,91,N,0,VBM PORTION,28,2,5,19
EAST LOS ANGELES,2000084A,771,91,N,1025,TOTAL,102,9,14,74
EAST LOS ANGELES,2000085A,772,91,N,1257,POLLING PLACE,96,13,9,64
EAST LOS ANGELES,2000085A,772,91,N,0,VBM PORTION,43,4,3,32
EAST LOS ANGELES,2000085A,772,91,N,1257,TOTAL,139,17,12,96
EAST LOS ANGELES,2000088A,773,91,N,946,POLLING PLACE,61,5,15,38
EAST LOS ANGELES,2000088A,773,91,N,0,VBM PORTION,34,2,7,22
EAST LOS ANGELES,2000088A,773,91,N,946,TOTAL,95,7,22,60
LOS ANGELES,9000029A,2988,90,N,1181,POLLING PLACE,109,8,21,51
LOS ANGELES,9000029A,2988,90,N,0,VBM PORTION,70,10,15,39
LOS ANGELES,9000029A,2988,90,N,1181,TOTAL,179,18,36,90
LOS ANGELES,9000038A,2993,95,N,918,POLLING PLACE,129,16,11,88
LOS ANGELES,9000038A,2993,95,N,0,VBM PORTION,34,1,2,26
LOS ANGELES,9000038A,2993,95,N,918,TOTAL,163,17,13,114
LOS ANGELES,9000048A,2997,100,N,748,POLLING PLACE,58,6,12,33
LOS ANGELES,9000048A,2997,100,N,0,VBM PORTION,38,8,10,15
