LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
LOS ANGELES,9000752A,3408,41,N,919,POLLING PLACE,97,9,20,56
LOS ANGELES,9000752A,3408,41,N,0,VBM PORTION,108,12,22,68
LOS ANGELES,9000752A,3408,41,N,919,TOTAL,205,21,42,124
LOS ANGELES,9000753A,3409,41,N,1073,POLLING PLACE,110,5,24,62
LOS ANGELES,9000753A,3409,41,N,0,VBM PORTION,70,10,16,36
LOS ANGELES,9000753A,3409,41,N,1073,TOTAL,180,15,40,98
LOS ANGELES,9000760A,3412,90,N,1186,POLLING PLACE,130,31,20,69
LOS ANGELES,9000760A,3412,90,N,0,VBM PORTION,104,32,23,35
LOS ANGELES,9000760A,3412,90,N,1186,TOTAL,234,63,43,104
LOS ANGELES,9000766A,3413,90,N,1059,POLLING PLACE,83,16,14,50
LOS ANGELES,9000766A,3413,90,N,0,VBM PORTION,130,40,18,55
LOS ANGELES,9000766A,3413,90,N,1059,TOTAL,213,56,32,105
LOS ANGELES,9000774B,3415,90,N,1157,POLLING PLACE,123,19,26,70
LOS ANGELES,9000774B,3415,90,N,0,VBM PORTION,93,14,26,47
LOS ANGELES,9000774B,3415,90,N,1157,TOTAL,216,33,52,117
LOS ANGELES,9000779A,3417,90,N,1071,POLLING PLACE,112,13,10,75
LOS ANGELES,9000779A,3417,90,N,0,VBM PORTION,83,14,10,50
LOS ANGELES,9000779A,3417,90,N,1071,TOTAL,195,27,20,125
LOS ANGELES,9000784A,3420,41,N,1009,POLLING PLACE,51,13,9,23
LOS ANGELES,9000784A,3420,41,N,0,VBM PORTION,51,11,11,20
LOS ANGELES,9000784A,3420,41,N,1009,TOTAL,102,24,20,43
LOS ANGELES,9000785A,3421,90,N,949,POLLING PLACE,83,12,15,51
LOS ANGELES,9000785A,3421,90,N,0,VBM PORTION,50,9,7,25
LOS ANGELES,9000785A,3421,90,N,949,TOTAL,133,21,22,76
LOS ANGELES,9000785C,3422,90,N,584,POLLING PLACE,27,5,6,14
LOS ANGELES,9000785C,3422,90,N,0,VBM PORTION,15,3,2,10
LOS ANGELES,9000785C,3422,90,N,584,TOTAL,42,8,8,24
LOS ANGELES,9000788A,3423,90,N,1276,POLLING PLACE,144,24,25,89
LOS ANGELES,9000788A,3423,90,N,0,VBM PORTION,124,22,16,72
LOS ANGELES,9000788A,3423,90,N,1276,TOTAL,268,46,41,161
LOS ANGELES,9000795A,3424,89,N,1052,POLLING PLACE,94,13,16,58
LOS ANGELES,9000795A,3424,89,N,0,VBM PORTION,44,9,10,22
LOS ANGELES,9000795A,3424,89,N,1052,TOTAL,138,22,26,80
LOS ANGELES,9000800A,3426,90,N,1157,POLLING PLACE,124,35,23,58
LOS ANGELES,9000800A,3426,90,N,0,VBM PORTION,112,30,16,50
LOS ANGELES,9000800A,3426,90,N,1157,TOTAL,236,65,39,108
LOS ANGELES,9000802A,3428,99,N,742,POLLING PLACE,66,5,11,46
LOS ANGELES,9000802A,3428,99,N,0,VBM PORTION,49,8,9,26
LOS ANGELES,9000802A,3428,99,N,742,TOTAL,115,13,20,72
LOS ANGELES,9000803C,3429,90,N,861,POLLING PLACE,103,28,12,57
LOS ANGELES,9000803C,3429,90,N,0,VBM PORTION,89,24,10,41
LOS ANGELES,9000803C,3429,90,N,861,TOTAL,192,52,22,98
LOS ANGELES,9000815A,3432,90,N,982,POLLING PLACE,81,11,10,54
LOS ANGELES,9000815A,3432,90,N,0,VBM PORTION,51,11,5,31
LOS ANGELES,9000815A,3432,90,N,982,TOTAL,132,22,15,85
LOS ANGELES,9000816A,3433,90,N,1164,POLLING PLACE,74,18,9,44
LOS ANGELES,9000816A,3433,90,N,0,VBM PORTION,61,10,10,33
LOS ANGELES,9000816A,3433,90,N,1164,TOTAL,135,28,19,77
LOS ANGELES,9000817A,3434,90,N,1245,POLLING PLACE,145,19,29,88
LOS ANGELES,9000817A,3434,90,N,0,VBM PORTION,124,27,25,48
LOS ANGELES,9000817A,3434,90,N,1245,TOTAL,269,46,54,136
LOS ANGELES,9000819A,3435,40,N,1142,POLLING PLACE,58,10,6,41
LOS ANGELES,9000819A,3435,40,N,0,VBM PORTION,89,20,6,47
LOS ANGELES,9000819A,3435,40,N,1142,TOTAL,147,30,12,88
LOS ANGELES,9000821A,3436,90,N,1204,POLLING PLACE,73,7,13,44
LOS ANGELES,9000821A,3436,90,N,0,VBM PORTION,67,18,6,40
LOS ANGELES,9000821A,3436,90,N,1204,TOTAL,140,25,19,84
LOS ANGELES,9000826A,3438,40,N,1224,POLLING PLACE,140,15,29,91
LOS ANGELES,9000826A,3438,40,N,0,VBM PORTION,117,18,19,75
LOS ANGELES,9000826A,3438,40,N,1224,TOTAL,257,33,48,166
LOS ANGELES,9000829A,3439,90,N,1106,POLLING PLACE,99,10,16,66
LOS ANGELES,9000829A,3439,90,N,0,VBM PORTION,73,11,16,40
LOS ANGELES,9000829A,3439,90,N,1106,TOTAL,172,21,32,106
LOS ANGELES,9000833B,3441,90,N,1036,POLLING PLACE,77,17,9,46
LOS ANGELES,9000833B,3441,90,N,0,VBM PORTION,44,6,9,23
LOS ANGELES,9000833B,3441,90,N,1036,TOTAL,121,23,18,69
LOS ANGELES,9000835B,3443,90,N,1235,POLLING PLACE,168,11,29,109
LOS ANGELES,9000835B,3443,90,N,0,VBM PORTION,138,15,21,86
LOS ANGELES,9000835B,3443,90,N,1235,TOTAL,306,26,50,195
LOS ANGELES,9000843A,3447,90,N,1227,POLLING PLACE,166,26,28,95
LOS ANGELES,9000843A,3447,90,N,0,VBM PORTION,151,44,27,66
LOS ANGELES,9000843A,3447,90,N,1227,TOTAL,317,70,55,161
LOS ANGELES,9000843B,3448,90,N,957,POLLING PLACE,99,15,18,64
LOS ANGELES,9000843B,3448,90,N,0,VBM PORTION,105,7,17,76
LOS ANGELES,9000843B,3448,90,N,957,TOTAL,204,22,35,140
LOS ANGELES,9000844A,3449,41,N,1419,POLLING PLACE,70,8,11,46
LOS ANGELES,9000844A,3449,41,N,0,VBM PORTION,82,11,20,43
LOS ANGELES,9000844A,3449,41,N,1419,TOTAL,152,19,31,89
LOS ANGELES,9000851A,3450,89,N,1124,POLLING PLACE,75,9,7,52
LOS ANGELES,9000851A,3450,89,N,0,VBM PORTION,73,15,11,38
LOS ANGELES,9000851A,3450,89,N,1124,TOTAL,148,24,18,90
LOS ANGELES,9000852A,3451,41,N,1015,POLLING PLACE,133,21,19,79
LOS ANGELES,9000852A,3451,41,N,0,VBM PORTION,83,9,9,61
LOS ANGELES,9000852A,3451,41,N,1015,TOTAL,216,30,28,140
LOS ANGELES,9000855B,3452,89,N,1229,POLLING PLACE,153,19,35,87
LOS ANGELES,9000855B,3452,89,N,0,VBM PORTION,129,23,35,52
LOS ANGELES,9000855B,3452,89,N,1229,TOTAL,282,42,70,139
LOS ANGELES,9000856A,3453,90,N,1130,POLLING PLACE,79,11,11,49
LOS ANGELES,9000856A,3453,90,N,0,VBM PORTION,75,12,15,42
LOS ANGELES,9000856A,3453,90,N,1130,TOTAL,154,23,26,91
LOS ANGELES,9000866A,3454,40,N,1282,POLLING PLACE,220,21,30,156
LOS ANGELES,9000866A,3454,40,N,0,VBM PORTION,182,20,34,108
LOS ANGELES,9000866A,3454,40,N,1282,TOTAL,402,41,64,264
LOS ANGELES,9000872A,3455,90,N,853,POLLING PLACE,76,10,10,52
LOS ANGELES,9000872A,3455,90,N,0,VBM PORTION,55,6,10,33
LOS ANGELES,9000872A,3455,90,N,853,TOTAL,131,16,20,85
LOS ANGELES,9000874A,3456,41,N,1109,POLLING PLACE,71,7,9,48
LOS ANGELES,9000874A,3456,41,N,0,VBM PORTION,59,2,15,28
LOS ANGELES,9000874A,3456,41,N,1109,TOTAL,130,9,24,76
LOS ANGELES,9000882A,3458,90,N,1217,POLLING PLACE,121,26,20,68
LOS ANGELES,9000882A,3458,90,N,0,VBM PORTION,67,14,10,27
LOS ANGELES,9000882A,3458,90,N,1217,TOTAL,188,40,30,95
LOS ANGELES,9000884A,3459,103,N,893,POLLING PLACE,88,15,24,39
LOS ANGELES,9000884A,3459,103,N,0,VBM PORTION,73,17,27,19
LOS ANGELES,9000884A,3459,103,N,893,TOTAL,161,32,51,58
LOS ANGELES,9000885A,3460,90,N,1079,POLLING PLACE,131,13,13,96
LOS ANGELES,9000885A,3460,90,N,0,VBM PORTION,54,5,7,36
LOS ANGELES,9000885A,3460,90,N,1079,TOTAL,185,18,20,132
LOS ANGELES,9000894A,3462,41,N,1347,POLLING PLACE,72,7,17,45
LOS ANGELES,9000894A,3462,41,N,0,VBM PORTION,52,9,11,24
LOS ANGELES,9000894A,3462,41,N,1347,TOTAL,124,16,28,69
LOS ANGELES,9000896A,3463,90,N,1222,POLLING PLACE,110,19,11,76
LOS ANGELES,9000896A,3463,90,N,0,VBM PORTION,74,9,11,52
LOS ANGELES,9000896A,3463,90,N,1222,TOTAL,184,28,22,128
LOS ANGELES,9000898A,3464,90,N,1163,POLLING PLACE,119,16,14,84
LOS ANGELES,9000898A,3464,90,N,0,VBM PORTION,69,6,2,59
LOS ANGELES,9000898A,3464,90,N,1163,TOTAL,188,22,16,143
LOS ANGELES,9000900A,3465,90,N,801,POLLING PLACE,41,7,5,26
LOS ANGELES,9000900A,3465,90,N,0,VBM PORTION,27,6,2,16
LOS ANGELES,9000900A,3465,90,N,801,TOTAL,68,13,7,42
LOS ANGELES,9000900D,3466,90,N,1094,POLLING PLACE,37,5,4,23
LOS ANGELES,9000900D,3466,90,N,0,VBM PORTION,74,9,11,50
LOS ANGELES,9000900D,3466,90,N,1094,TOTAL,111,14,15,73
LOS ANGELES,9000904A,3467,90,N,998,POLLING PLACE,82,11,12,54
LOS ANGELES,9000904A,3467,90,N,0,VBM PORTION,53,14,4,32
LOS ANGELES,9000904A,3467,90,N,998,TOTAL,135,25,16,86
LOS ANGELES,9000907A,3469,90,N,1177,POLLING PLACE,111,22,13,68
LOS ANGELES,9000907A,3469,90,N,0,VBM PORTION,98,18,4,62
LOS ANGELES,9000907A,3469,90,N,1177,TOTAL,209,40,17,130
LOS ANGELES,9000915A,3472,90,N,1236,POLLING PLACE,126,18,14,84
LOS ANGELES,9000915A,3472,90,N,0,VBM PORTION,69,5,7,52
LOS ANGELES,9000915A,3472,90,N,1236,TOTAL,195,23,21,136
LOS ANGELES,9000918A,3473,89,N,795,POLLING PLACE,79,11,20,40
LOS ANGELES,9000918A,3473,89,N,0,VBM PORTION,27,3,6,13
LOS ANGELES,9000918A,3473,89,N,795,TOTAL,106,14,26,53
LOS ANGELES,9000919A,3474,89,N,947,POLLING PLACE,81,13,15,49
LOS ANGELES,9000919A,3474,89,N,0,VBM PORTION,42,2,10,26
LOS ANGELES,9000919A,3474,89,N,947,TOTAL,123,15,25,75
LOS ANGELES,9000922B,3476,90,N,1234,POLLING PLACE,96,4,11,71
LOS ANGELES,9000922B,3476,90,N,0,VBM PORTION,68,8,16,40
LOS ANGELES,9000922B,3476,90,N,1234,TOTAL,164,12,27,111
LOS ANGELES,9000923A,3477,90,N,1084,POLLING PLACE,71,7,7,47
LOS ANGELES,9000923A,3477,90,N,0,VBM PORTION,45,6,9,26
LOS ANGELES,9000923A,3477,90,N,1084,TOTAL,116,13,16,73
LOS ANGELES,9000927A,3478,90,N,1171,POLLING PLACE,75,9,11,53
LOS ANGELES,9000927A,3478,90,N,0,VBM PORTION,78,10,7,55
LOS ANGELES,9000927A,3478,90,N,1171,TOTAL,153,19,18,108
LOS ANGELES,9000929A,3479,90,N,1253,POLLING PLACE,96,9,14,62
LOS ANGELES,9000929A,3479,90,N,0,VBM PORTION,50,7,8,30
LOS ANGELES,9000929A,3479,90,N,1253,TOTAL,146,16,22,92
LOS ANGELES,9000940B,3481,89,N,1122,POLLING PLACE,110,8,30,65
LOS ANGELES,9000940B,3481,89,N,0,VBM PORTION,81,11,19,45
LOS ANGELES,9000940B,3481,89,N,1122,TOTAL,191,19,49,110
LOS ANGELES,9000941A,3482,89,N,1003,POLLING PLACE,99,10,25,50
LOS ANGELES,9000941A,3482,89,N,0,VBM PORTION,68,4,11,44
LOS ANGELES,9000941A,3482,89,N,1003,TOTAL,167,14,36,94
LOS ANGELES,9000946A,3485,90,N,1204,POLLING PLACE,73,4,8,53
LOS ANGELES,9000946A,3485,90,N,0,VBM PORTION,82,14,17,46
LOS ANGELES,9000946A,3485,90,N,1204,TOTAL,155,18,25,99
LOS ANGELES,9000947A,3486,89,N,1310,POLLING PLACE,108,3,20,69
LOS ANGELES,9000947A,3486,89,N,0,VBM PORTION,80,11,20,40
LOS ANGELES,9000947A,3486,89,N,1310,TOTAL,188,14,40,109
LOS ANGELES,9000957C,3491,95,N,1319,POLLING PLACE,102,16,24,51
LOS ANGELES,9000957C,3491,95,N,0,VBM PORTION,113,11,50,34
LOS ANGELES,9000957C,3491,95,N,1319,TOTAL,215,27,74,85
LOS ANGELES,9000964A,3492,41,N,801,POLLING PLACE,43,5,5,28
LOS ANGELES,9000964A,3492,41,N,0,VBM PORTION,30,0,8,22
LOS ANGELES,9000964A,3492,41,N,801,TOTAL,73,5,13,50
LOS ANGELES,9000965A,3493,89,N,1239,POLLING PLACE,81,12,17,46
LOS ANGELES,9000965A,3493,89,N,0,VBM PORTION,59,6,8,37
LOS ANGELES,9000965A,3493,89,N,1239,TOTAL,140,18,25,83
LOS ANGELES,9000966B,3494,89,N,1242,POLLING PLACE,79,8,12,49
LOS ANGELES,9000966B,3494,89,N,0,VBM PORTION,63,15,12,31
LOS ANGELES,9000966B,3494,89,N,1242,TOTAL,142,23,24,80
LOS ANGELES,9000968A,3495,90,N,1484,POLLING PLACE,123,16,43,54
LOS ANGELES,9000968A,3495,90,N,0,VBM PORTION,195,29,83,55
LOS ANGELES,9000968A,3495,90,N,1484,TOTAL,318,45,126,109
LOS ANGELES,9000969A,3496,89,N,1129,POLLING PLACE,92,9,10,66
LOS ANGELES,9000969A,3496,89,N,0,VBM PORTION,42,6,3,30
LOS ANGELES,9000969A,3496,89,N,1129,TOTAL,134,15,13,96
LOS ANGELES,9000970C,3497,89,N,1180,POLLING PLACE,66,6,13,43
LOS ANGELES,9000970C,3497,89,N,0,VBM PORTION,62,9,11,40
LOS ANGELES,9000970C,3497,89,N,1180,TOTAL,128,15,24,83
LOS ANGELES,9000989A,3502,103,N,1077,POLLING PLACE,59,6,24,19
LOS ANGELES,9000989A,3502,103,N,0,VBM PORTION,76,8,35,25
LOS ANGELES,9000989A,3502,103,N,1077,TOTAL,135,14,59,44
LOS ANGELES,9000999A,3507,103,N,1326,POLLING PLACE,95,9,33,40
LOS ANGELES,9000999A,3507,103,N,0,VBM PORTION,117,13,47,48
LOS ANGELES,9000999A,3507,103,N,1326,TOTAL,212,22,80,88
LOS ANGELES,9001008A,3513,103,N,1185,POLLING PLACE,98,12,27,47
LOS ANGELES,9001008A,3513,103,N,0,VBM PORTION,89,5,35,35
LOS ANGELES,9001008A,3513,103,N,1185,TOTAL,187,17,62,82
LOS ANGELES,9001009A,3514,103,N,921,POLLING PLACE,61,5,17,33
LOS ANGELES,9001009A,3514,103,N,0,VBM PORTION,87,8,40,32
LOS ANGELES,9001009A,3514,103,N,921,TOTAL,148,13,57,65
LOS ANGELES,9001014A,3515,90,N,810,POLLING PLACE,24,7,4,11
LOS ANGELES,9001014A,3515,90,N,0,VBM PORTION,61,4,17,34
LOS ANGELES,9001014A,3515,90,N,810,TOTAL,85,11,21,45
LOS ANGELES,9001023A,3522,90,N,1301,POLLING PLACE,64,6,9,45
LOS ANGELES,9001023A,3522,90,N,0,VBM PORTION,93,19,15,52
LOS ANGELES,9001023A,3522,90,N,1301,TOTAL,157,25,24,97
LOS ANGELES,9001047B,3537,95,N,1130,POLLING PLACE,158,25,17,91
LOS ANGELES,9001047B,3537,95,N,0,VBM PORTION,73,4,28,30
LOS ANGELES,9001047B,3537,95,N,1130,TOTAL,231,29,45,121
LOS ANGELES,9001062A,3543,90,N,1190,POLLING PLACE,42,9,5,25
LOS ANGELES,9001062A,3543,90,N,0,VBM PORTION,42,3,8,28
LOS ANGELES,9001062A,3543,90,N,1190,TOTAL,84,12,13,53
LOS ANGELES,9001069A,3547,103,N,1101,POLLING PLACE,79,9,18,37
LOS ANGELES,9001069A,3547,103,N,0,VBM PORTION,80,16,26,29
LOS ANGELES,9001069A,3547,103,N,1101,TOTAL,159,25,44,66
LOS ANGELES,9001104A,3567,90,N,1251,POLLING PLACE,64,9,7,43
LOS ANGELES,9001104A,3567,90,N,0,VBM PORTION,59,2,7,45
LOS ANGELES,9001104A,3567,90,N,1251,TOTAL,123,11,14,88
LOS ANGELES,9001210A,3609,90,N,1117,POLLING PLACE,100,12,9,70
LOS ANGELES,9001210A,3609,90,N,0,VBM PORTION,40,9,6,24
LOS ANGELES,9001210A,3609,90,N,1117,TOTAL,140,21,15,94
LOS ANGELES,9001232A,3617,41,N,1473,POLLING PLACE,86,17,20,42
LOS ANGELES,9001232A,3617,41,N,0,VBM PORTION,106,24,22,53
LOS ANGELES,9001232A,3617,41,N,1473,TOTAL,192,41,42,95
LOS ANGELES,9001267A,3630,41,N,899,POLLING PLACE,60,7,12,36
LOS ANGELES,9001267A,3630,41,N,0,VBM PORTION,50,8,16,19
LOS ANGELES,9001267A,3630,41,N,899,TOTAL,110,15,28,55
LOS ANGELES,9001344B,3666,90,N,974,POLLING PLACE,77,8,14,49
LOS ANGELES,9001344B,3666,90,N,0,VBM PORTION,69,3,9,50
LOS ANGELES,9001344B,3666,90,N,974,TOTAL,146,11,23,99
LOS ANGELES,9001353A,3671,90,N,1072,POLLING PLACE,81,10,6,57
LOS ANGELES,9001353A,3671,90,N,0,VBM PORTION,50,10,6,32
LOS ANGELES,9001353A,3671,90,N,1072,TOTAL,131,20,12,89
LOS ANGELES,9001410A,3692,95,N,1154,POLLING PLACE,64,5,6,45
LOS ANGELES,9001410A,3692,95,N,0,VBM PORTION,56,7,5,41
LOS ANGELES,9001410A,3692,95,N,1154,TOTAL,120,12,11,86
LOS ANGELES,9001419A,3696,90,N,1270,POLLING PLACE,102,13,17,64
LOS ANGELES,9001419A,3696,90,N,0,VBM PORTION,58,8,9,32
LOS ANGELES,9001419A,3696,90,N,1270,TOTAL,160,21,26,96
LOS ANGELES,9001469A,3723,95,N,1019,POLLING PLACE,92,11,15,59
LOS ANGELES,9001469A,3723,95,N,0,VBM PORTION,36,6,6,23
LOS ANGELES,9001469A,3723,95,N,1019,TOTAL,128,17,21,82
LOS ANGELES,9001488B,3733,89,N,764,POLLING PLACE,59,18,7,33
LOS ANGELES,9001488B,3733,89,N,0,VBM PORTION,28,4,3,17
LOS ANGELES,9001488B,3733,89,N,764,TOTAL,87,22,10,50
LOS ANGELES,9001499A,3737,95,N,1295,POLLING PLACE,158,13,48,66
LOS ANGELES,9001499A,3737,95,N,0,VBM PORTION,83,12,35,28
LOS ANGELES,9001499A,3737,95,N,1295,TOTAL,241,25,83,94
LOS ANGELES,9001539A,3747,103,N,489,POLLING PLACE,26,5,8,9
LOS ANGELES,9001539A,3747,103,N,0,VBM PORTION,53,2,33,17
LOS ANGELES,9001539A,3747,103,N,489,TOTAL,79,7,41,26
LOS ANGELES,9001541A,3748,101,N,1251,POLLING PLACE,96,8,19,52
LOS ANGELES,9001541A,3748,101,N,0,VBM PORTION,105,16,43,41
LOS ANGELES,9001541A,3748,101,N,1251,TOTAL,201,24,62,93
LOS ANGELES,9001551A,3754,104,N,1058,POLLING PLACE,83,6,19,43
LOS ANGELES,9001551A,3754,104,N,0,VBM PORTION,78,8,26,34
LOS ANGELES,9001551A,3754,104,N,1058,TOTAL,161,14,45,77
LOS ANGELES,9001577A,3771,90,N,1192,POLLING PLACE,86,7,15,58
LOS ANGELES,9001577A,3771,90,N,0,VBM PORTION,71,13,11,44
LOS ANGELES,9001577A,3771,90,N,1192,TOTAL,157,20,26,102
LOS ANGELES,9001590A,3778,95,N,574,POLLING PLACE,36,8,6,16
LOS ANGELES,9001590A,3778,95,N,0,VBM PORTION,46,9,13,18
LOS ANGELES,9001590A,3778,95,N,574,TOTAL,82,17,19,34
LOS ANGELES,9001592A,3780,95,N,437,POLLING PLACE,35,1,6,24
LOS ANGELES,9001592A,3780,95,N,0,VBM PORTION,29,1,9,15
LOS ANGELES,9001592A,3780,95,N,437,TOTAL,64,2,15,39
LOS ANGELES,9001621A,3789,102,N,1050,POLLING PLACE,214,59,22,107
LOS ANGELES,9001621A,3789,102,N,0,VBM PORTION,89,28,8,37
LOS ANGELES,9001621A,3789,102,N,1050,TOTAL,303,87,30,144
LOS ANGELES,9001621B,3790,101,N,334,POLLING PLACE,35,3,10,20
LOS ANGELES,9001621B,3790,101,N,0,VBM PORTION,29,9,5,13
LOS ANGELES,9001621B,3790,101,N,334,TOTAL,64,12,15,33
LOS ANGELES,9001624A,3793,101,N,1265,POLLING PLACE,134,15,43,60
LOS ANGELES,9001624A,3793,101,N,0,VBM PORTION,124,14,51,44
LOS ANGELES,9001624A,3793,101,N,1265,TOTAL,258,29,94,104
LOS ANGELES,9001628A,3794,103,N,1118,POLLING PLACE,105,16,27,54
LOS ANGELES,9001628A,3794,103,N,0,VBM PORTION,79,11,21,38
LOS ANGELES,9001628A,3794,103,N,1118,TOTAL,184,27,48,92
LOS ANGELES,9001631A,3796,103,N,1302,POLLING PLACE,101,21,27,48
LOS ANGELES,9001631A,3796,103,N,0,VBM PORTION,106,12,31,55
LOS ANGELES,9001631A,3796,103,N,1302,TOTAL,207,33,58,103
LOS ANGELES,9001632B,3797,103,N,1115,POLLING PLACE,97,17,32,37
LOS ANGELES,9001632B,3797,103,N,0,VBM PORTION,73,16,30,21
LOS ANGELES,9001632B,3797,103,N,1115,TOTAL,170,33,62,58
LOS ANGELES,9001635B,3798,103,N,1260,POLLING PLACE,90,6,32,41
LOS ANGELES,9001635B,3798,103,N,0,VBM PORTION,63,9,32,19
LOS ANGELES,9001635B,3798,103,N,1260,TOTAL,153,15,64,60
LOS ANGELES,9001647A,3800,41,N,1335,POLLING PLACE,80,8,20,46
LOS ANGELES,9001647A,3800,41,N,0,VBM PORTION,92,10,20,51
LOS ANGELES,9001647A,3800,41,N,1335,TOTAL,172,18,40,97
LOS ANGELES,9001656C,3801,95,N,858,POLLING PLACE,66,5,18,34
LOS ANGELES,9001656C,3801,95,N,0,VBM PORTION,44,3,17,19
LOS ANGELES,9001656C,3801,95,N,858,TOTAL,110,8,35,53
LOS ANGELES,9001660A,3802,90,N,793,POLLING PLACE,21,4,3,10
LOS ANGELES,9001660A,3802,90,N,0,VBM PORTION,44,3,16,22
LOS ANGELES,9001660A,3802,90,N,793,TOTAL,65,7,19,32
LOS ANGELES,9001664A,3803,90,N,1249,POLLING PLACE,67,11,2,46
LOS ANGELES,9001664A,3803,90,N,0,VBM PORTION,36,6,6,22
LOS ANGELES,9001664A,3803,90,N,1249,TOTAL,103,17,8,68
LOS ANGELES,9001668A,3806,103,N,1372,POLLING PLACE,75,8,24,32
LOS ANGELES,9001668A,3806,103,N,0,VBM PORTION,94,14,40,32
LOS ANGELES,9001668A,3806,103,N,1372,TOTAL,169,22,64,64
LOS ANGELES,9001678A,3807,95,N,1164,POLLING PLACE,90,13,15,47
LOS ANGELES,9001678A,3807,95,N,0,VBM PORTION,105,9,43,38
LOS ANGELES,9001678A,3807,95,N,1164,TOTAL,195,22,58,85
LOS ANGELES,9001681A,3808,104,N,997,POLLING PLACE,74,8,15,36
LOS ANGELES,9001681A,3808,104,N,0,VBM PORTION,62,14,4,33
LOS ANGELES,9001681A,3808,104,N,997,TOTAL,136,22,19,69
LOS ANGELES,9001685A,3810,103,N,1217,POLLING PLACE,52,12,13,25
LOS ANGELES,9001685A,3810,103,N,0,VBM PORTION,86,17,24,36
LOS ANGELES,9001685A,3810,103,N,1217,TOTAL,138,29,37,61
LOS ANGELES,9001686A,3811,90,N,561,POLLING PLACE,32,5,2,20
LOS ANGELES,9001686A,3811,90,N,0,VBM PORTION,12,2,1,7
LOS ANGELES,9001686A,3811,90,N,561,TOTAL,44,7,3,27
LOS ANGELES,9001693A,3813,103,N,1242,POLLING PLACE,81,17,18,38
LOS ANGELES,9001693A,3813,103,N,0,VBM PORTION,93,7,43,35
LOS ANGELES,9001693A,3813,103,N,1242,TOTAL,174,24,61,73
LOS ANGELES,9001704C,3816,95,N,1482,POLLING PLACE,54,5,10,30
LOS ANGELES,9001704C,3816,95,N,0,VBM PORTION,108,16,34,44
LOS ANGELES,9001704C,3816,95,N,1482,TOTAL,162,21,44,74
LOS ANGELES,9001714A,3821,101,N,1111,POLLING PLACE,100,11,24,52
LOS ANGELES,9001714A,3821,101,N,0,VBM PORTION,92,11,30,44
LOS ANGELES,9001714A,3821,101,N,1111,TOTAL,192,22,54,96
LOS ANGELES,9001721A,3825,104,N,1100,POLLING PLACE,65,3,10,38
LOS ANGELES,9001721A,3825,104,N,0,VBM PORTION,54,12,8,26
LOS ANGELES,9001721A,3825,104,N,1100,TOTAL,119,15,18,64
LOS ANGELES,9001735B,3832,89,N,1000,POLLING PLACE,113,7,24,69
LOS ANGELES,9001735B,3832,89,N,0,VBM PORTION,91,5,18,56
LOS ANGELES,9001735B,3832,89,N,1000,TOTAL,204,12,42,125
LOS ANGELES,9001738A,3833,104,N,686,POLLING PLACE,59,8,13,28
LOS ANGELES,9001738A,3833,104,N,0,VBM PORTION,84,4,33,32
LOS ANGELES,9001738A,3833,104,N,686,TOTAL,143,12,46,60
LOS ANGELES,9001742A,3835,95,N,1238,POLLING PLACE,56,7,14,31
LOS ANGELES,9001742A,3835,95,N,0,VBM PORTION,49,3,14,24
LOS ANGELES,9001742A,3835,95,N,1238,TOTAL,105,10,28,55
LOS ANGELES,9001759A,3842,40,N,691,POLLING PLACE,88,11,14,53
LOS ANGELES,9001759A,3842,40,N,0,VBM PORTION,55,4,5,40
LOS ANGELES,9001759A,3842,40,N,691,TOTAL,143,15,19,93
LOS ANGELES,9001781B,3854,103,N,1112,POLLING PLACE,96,15,6,67
LOS ANGELES,9001781B,3854,103,N,0,VBM PORTION,40,7,5,25
LOS ANGELES,9001781B,3854,103,N,1112,TOTAL,136,22,11,92
LOS ANGELES,9001791A,3862,99,N,892,POLLING PLACE,40,5,7,28
LOS ANGELES,9001791A,3862,99,N,0,VBM PORTION,51,10,6,29
LOS ANGELES,9001791A,3862,99,N,892,TOTAL,91,15,13,57
LOS ANGELES,9001796B,3863,41,N,1246,POLLING PLACE,67,7,11,41
LOS ANGELES,9001796B,3863,41,N,0,VBM PORTION,91,5,44,31
LOS ANGELES,9001796B,3863,41,N,1246,TOTAL,158,12,55,72
LOS ANGELES,9001797A,3864,90,N,1261,POLLING PLACE,81,9,18,45
LOS ANGELES,9001797A,3864,90,N,0,VBM PORTION,70,6,9,44
LOS ANGELES,9001797A,3864,90,N,1261,TOTAL,151,15,27,89
LOS ANGELES,9001798A,3865,100,N,717,POLLING PLACE,60,7,7,40
LOS ANGELES,9001798A,3865,100,N,0,VBM PORTION,18,0,5,11
LOS ANGELES,9001798A,3865,100,N,717,TOTAL,78,7,12,51
LOS ANGELES,9001801B,3867,103,N,1035,POLLING PLACE,59,7,12,39
LOS ANGELES,9001801B,3867,103,N,0,VBM PORTION,73,7,18,38
LOS ANGELES,9001801B,3867,103,N,1035,TOTAL,132,14,30,77
LOS ANGELES,9001804A,3868,100,N,1347,POLLING PLACE,96,13,15,57
LOS ANGELES,9001804A,3868,100,N,0,VBM PORTION,64,5,15,40
LOS ANGELES,9001804A,3868,100,N,1347,TOTAL,160,18,30,97
