LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,20,39,32
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,27,36,35
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,47,75,67
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,21,23,35
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,24,18,12
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,45,41,47
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,8,26,11
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,12,24,15
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,20,50,26
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,5,6,13
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,5,6,13
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,1,1,2
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,1,1,2
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,0,0,4
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,0,0,4
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,29,13,26
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,28,14,12
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,57,27,38
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,13,9,13
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,8,18,16
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,21,27,29
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,32,39,32
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,33,34,29
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,65,73,61
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,16,14,16
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,17,24,12
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,33,38,28
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,24,16,14
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,19,13,10
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,43,29,24
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,42,24,23
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,45,24,18
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,87,48,41
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,24,13,21
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,19,15,20
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,43,28,41
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,26,17,27
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,13,14,18
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,39,31,45
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,37,23,29
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,23,19,17
