LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,XAVIER BECERRA,HOWARD JOHNSON,ADRIENNE N EDWARDS
BELVEDERE,0850001A,253,90,N,886,POLLING PLACE,69,42,7,4
BELVEDERE,0850001A,253,90,N,0,VBM PORTION,32,22,1,4
BELVEDERE,0850001A,253,90,N,886,TOTAL,101,64,8,8
BELVEDERE,0850005A,255,90,N,992,POLLING PLACE,110,80,4,8
BELVEDERE,0850005A,255,90,N,0,VBM PORTION,36,26,2,5
BELVEDERE,0850005A,255,90,N,992,TOTAL,146,106,6,13
BELVEDERE,0850007A,257,90,N,1085,POLLING PLACE,69,44,7,8
BELVEDERE,0850007A,257,90,N,0,VBM PORTION,39,29,4,3
BELVEDERE,0850007A,257,90,N,1085,TOTAL,108,73,11,11
BELVEDERE,0850009A,258,90,N,972,POLLING PLACE,55,44,1,4
BELVEDERE,0850009A,258,90,N,0,VBM PORTION,28,24,2,1
BELVEDERE,0850009A,258,90,N,972,TOTAL,83,68,3,5
BELVEDERE,0850012C,260,90,N,818,POLLING PLACE,79,49,2,6
BELVEDERE,0850012C,260,90,N,0,VBM PORTION,34,27,3,2
BELVEDERE,0850012C,260,90,N,818,TOTAL,113,76,5,8
BELVEDERE,0850014A,262,90,N,868,POLLING PLACE,60,43,5,5
BELVEDERE,0850014A,262,90,N,0,VBM PORTION,32,21,5,3
BELVEDERE,0850014A,262,90,N,868,TOTAL,92,64,10,8
BELVEDERE,0850015B,263,90,N,983,POLLING PLACE,55,43,4,1
BELVEDERE,0850015B,263,90,N,0,VBM PORTION,28,17,4,1
BELVEDERE,0850015B,263,90,N,983,TOTAL,83,60,8,2
BELVEDERE,0850016A,264,90,N,819,POLLING PLACE,57,40,7,4
BELVEDERE,0850016A,264,90,N,0,VBM PORTION,32,26,0,1
BELVEDERE,0850016A,264,90,N,819,TOTAL,89,66,7,5
BELVEDERE,0850017A,265,90,N,1077,POLLING PLACE,78,50,3,10
BELVEDERE,0850017A,265,90,N,0,VBM PORTION,52,26,1,17
BELVEDERE,0850017A,265,90,N,1077,TOTAL,130,76,4,27
BELVEDERE,0850061A,269,90,N,1102,POLLING PLACE,71,43,4,6
BELVEDERE,0850061A,269,90,N,0,VBM PORTION,55,38,9,5
BELVEDERE,0850061A,269,90,N,1102,TOTAL,126,81,13,11
LOS ANGELES,9000029A,2988,90,N,1181,POLLING PLACE,109,55,7,9
LOS ANGELES,9000029A,2988,90,N,0,VBM PORTION,70,45,5,9
LOS ANGELES,9000029A,2988,90,N,1181,TOTAL,179,100,12,18
LOS ANGELES,9000038A,2993,95,N,918,POLLING PLACE,129,90,4,10
LOS ANGELES,9000038A,2993,95,N,0,VBM PORTION,34,20,1,12
LOS ANGELES,9000038A,2993,95,N,918,TOTAL,163,110,5,22
LOS ANGELES,9000049A,2998,103,N,1060,POLLING PLACE,73,40,5,21
LOS ANGELES,9000049A,2998,103,N,0,VBM PORTION,91,42,16,19
LOS ANGELES,9000049A,2998,103,N,1060,TOTAL,164,82,21,40
LOS ANGELES,9000052A,3000,103,N,891,POLLING PLACE,75,45,2,13
LOS ANGELES,9000052A,3000,103,N,0,VBM PORTION,51,26,10,3
LOS ANGELES,9000052A,3000,103,N,891,TOTAL,126,71,12,16
LOS ANGELES,9000053A,3001,103,N,991,POLLING PLACE,89,58,2,6
LOS ANGELES,9000053A,3001,103,N,0,VBM PORTION,37,24,2,6
