LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JIMMY GOMEZ
EAST LOS ANGELES,2000083A,770,91,N,1123,TOTAL,108,88
EAST LOS ANGELES,2000084A,771,91,N,1025,POLLING PLACE,74,60
EAST LOS ANGELES,2000084A,771,91,N,0,VBM PORTION,28,26
EAST LOS ANGELES,2000084A,771,91,N,1025,TOTAL,102,86
EAST LOS ANGELES,2000085A,772,91,N,1257,POLLING PLACE,96,71
EAST LOS ANGELES,2000085A,772,91,N,0,VBM PORTION,43,33
EAST LOS ANGELES,2000085A,772,91,N,1257,TOTAL,139,104
EAST LOS ANGELES,2000088A,773,91,N,946,POLLING PLACE,61,52
EAST LOS ANGELES,2000088A,773,91,N,0,VBM PORTION,34,29
EAST LOS ANGELES,2000088A,773,91,N,946,TOTAL,95,81
LOS ANGELES,9000029A,2988,90,N,1181,POLLING PLACE,109,65
LOS ANGELES,9000029A,2988,90,N,0,VBM PORTION,70,50
LOS ANGELES,9000029A,2988,90,N,1181,TOTAL,179,115
LOS ANGELES,9000055A,3002,90,N,765,POLLING PLACE,90,60
LOS ANGELES,9000055A,3002,90,N,0,VBM PORTION,67,35
LOS ANGELES,9000055A,3002,90,N,765,TOTAL,157,95
LOS ANGELES,9000077A,3018,89,N,1262,POLLING PLACE,84,67
LOS ANGELES,9000077A,3018,89,N,0,VBM PORTION,90,62
LOS ANGELES,9000077A,3018,89,N,1262,TOTAL,174,129
LOS ANGELES,9000077D,3019,89,N,552,POLLING PLACE,37,29
LOS ANGELES,9000077D,3019,89,N,0,VBM PORTION,24,17
LOS ANGELES,9000077D,3019,89,N,552,TOTAL,61,46
LOS ANGELES,9000243A,3118,90,N,1260,POLLING PLACE,107,87
LOS ANGELES,9000243A,3118,90,N,0,VBM PORTION,77,57
LOS ANGELES,9000243A,3118,90,N,1260,TOTAL,184,144
LOS ANGELES,9000244A,3119,90,N,1096,POLLING PLACE,51,38
LOS ANGELES,9000244A,3119,90,N,0,VBM PORTION,12,8
LOS ANGELES,9000244A,3119,90,N,1096,TOTAL,63,46
LOS ANGELES,9000248A,3121,90,N,1084,POLLING PLACE,65,46
LOS ANGELES,9000248A,3121,90,N,0,VBM PORTION,63,52
LOS ANGELES,9000248A,3121,90,N,1084,TOTAL,128,98
LOS ANGELES,9000249A,3122,90,N,773,POLLING PLACE,54,44
LOS ANGELES,9000249A,3122,90,N,0,VBM PORTION,29,26
LOS ANGELES,9000249A,3122,90,N,773,TOTAL,83,70
LOS ANGELES,9000303A,3158,90,N,1231,POLLING PLACE,170,123
LOS ANGELES,9000303A,3158,90,N,0,VBM PORTION,156,107
LOS ANGELES,9000303A,3158,90,N,1231,TOTAL,326,230
LOS ANGELES,9000319A,3171,90,N,1337,POLLING PLACE,88,65
LOS ANGELES,9000319A,3171,90,N,0,VBM PORTION,96,67
LOS ANGELES,9000319A,3171,90,N,1337,TOTAL,184,132
LOS ANGELES,9000323A,3173,90,N,1213,POLLING PLACE,106,85
LOS ANGELES,9000323A,3173,90,N,0,VBM PORTION,83,62
LOS ANGELES,9000323A,3173,90,N,1213,TOTAL,189,147
LOS ANGELES,9000336A,3182,90,N,1191,POLLING PLACE,111,86
LOS ANGELES,9000336A,3182,90,N,0,VBM PORTION,47,37
LOS ANGELES,9000336A,3182,90,N,1191,TOTAL,158,123
LOS ANGELES,9000357A,3193,90,N,1157,POLLING PLACE,115,78
LOS ANGELES,9000357A,3193,90,N,0,VBM PORTION,80,61
LOS ANGELES,9000357A,3193,90,N,1157,TOTAL,195,139
LOS ANGELES,9000368C,3201,90,N,846,POLLING PLACE,79,59
LOS ANGELES,9000368C,3201,90,N,0,VBM PORTION,42,25
LOS ANGELES,9000368C,3201,90,N,846,TOTAL,121,84
LOS ANGELES,9000371A,3203,90,N,1128,POLLING PLACE,63,47
LOS ANGELES,9000371A,3203,90,N,0,VBM PORTION,46,32
LOS ANGELES,9000371A,3203,90,N,1128,TOTAL,109,79
LOS ANGELES,9000437A,3245,90,N,1280,POLLING PLACE,156,113
LOS ANGELES,9000437A,3245,90,N,0,VBM PORTION,95,73
LOS ANGELES,9000437A,3245,90,N,1280,TOTAL,251,186
LOS ANGELES,9000438A,3246,90,N,1096,POLLING PLACE,104,85
LOS ANGELES,9000438A,3246,90,N,0,VBM PORTION,45,30
LOS ANGELES,9000438A,3246,90,N,1096,TOTAL,149,115
LOS ANGELES,9000444A,3249,90,N,871,POLLING PLACE,98,69
LOS ANGELES,9000444A,3249,90,N,0,VBM PORTION,71,48
LOS ANGELES,9000444A,3249,90,N,871,TOTAL,169,117
LOS ANGELES,9000464B,3260,90,N,1189,POLLING PLACE,58,38
LOS ANGELES,9000464B,3260,90,N,0,VBM PORTION,87,63
LOS ANGELES,9000464B,3260,90,N,1189,TOTAL,145,101
LOS ANGELES,9000477A,3268,90,N,1024,POLLING PLACE,85,65
LOS ANGELES,9000477A,3268,90,N,0,VBM PORTION,42,29
LOS ANGELES,9000477A,3268,90,N,1024,TOTAL,127,94
LOS ANGELES,9000505A,3282,89,N,841,POLLING PLACE,88,72
LOS ANGELES,9000505A,3282,89,N,0,VBM PORTION,58,35
LOS ANGELES,9000505A,3282,89,N,841,TOTAL,146,107
LOS ANGELES,9000513A,3291,90,N,1073,POLLING PLACE,57,42
LOS ANGELES,9000513A,3291,90,N,0,VBM PORTION,62,46
LOS ANGELES,9000513A,3291,90,N,1073,TOTAL,119,88
LOS ANGELES,9000515A,3292,90,N,1149,POLLING PLACE,79,66
LOS ANGELES,9000515A,3292,90,N,0,VBM PORTION,59,37
LOS ANGELES,9000515A,3292,90,N,1149,TOTAL,138,103
LOS ANGELES,9000522A,3296,90,N,1124,POLLING PLACE,81,63
LOS ANGELES,9000522A,3296,90,N,0,VBM PORTION,74,58
LOS ANGELES,9000522A,3296,90,N,1124,TOTAL,155,121
LOS ANGELES,9000524A,3298,90,N,1020,POLLING PLACE,80,66
LOS ANGELES,9000524A,3298,90,N,0,VBM PORTION,32,24
LOS ANGELES,9000524A,3298,90,N,1020,TOTAL,112,90
LOS ANGELES,9000536A,3304,90,N,1166,POLLING PLACE,67,56
LOS ANGELES,9000536A,3304,90,N,0,VBM PORTION,53,43
LOS ANGELES,9000536A,3304,90,N,1166,TOTAL,120,99
LOS ANGELES,9000589A,3335,90,N,1189,POLLING PLACE,119,92
LOS ANGELES,9000589A,3335,90,N,0,VBM PORTION,98,64
LOS ANGELES,9000589A,3335,90,N,1189,TOTAL,217,156
LOS ANGELES,9000593A,3338,90,N,1222,POLLING PLACE,95,79
LOS ANGELES,9000593A,3338,90,N,0,VBM PORTION,48,32
LOS ANGELES,9000593A,3338,90,N,1222,TOTAL,143,111
LOS ANGELES,9000595A,3339,90,N,1270,POLLING PLACE,99,77
LOS ANGELES,9000595A,3339,90,N,0,VBM PORTION,71,49
LOS ANGELES,9000595A,3339,90,N,1270,TOTAL,170,126
LOS ANGELES,9000597A,3341,90,N,1216,POLLING PLACE,99,72
LOS ANGELES,9000597A,3341,90,N,0,VBM PORTION,46,36
LOS ANGELES,9000597A,3341,90,N,1216,TOTAL,145,108
LOS ANGELES,9000598A,3342,90,N,1076,POLLING PLACE,98,81
LOS ANGELES,9000598A,3342,90,N,0,VBM PORTION,56,40
LOS ANGELES,9000598A,3342,90,N,1076,TOTAL,154,121
LOS ANGELES,9000602B,3345,90,N,1005,POLLING PLACE,35,28
LOS ANGELES,9000602B,3345,90,N,0,VBM PORTION,37,26
LOS ANGELES,9000602B,3345,90,N,1005,TOTAL,72,54
LOS ANGELES,9000605A,3346,90,N,1285,POLLING PLACE,68,46
LOS ANGELES,9000605A,3346,90,N,0,VBM PORTION,81,63
LOS ANGELES,9000605A,3346,90,N,1285,TOTAL,149,109
LOS ANGELES,9000679A,3377,89,N,1123,POLLING PLACE,93,66
LOS ANGELES,9000679A,3377,89,N,0,VBM PORTION,88,70
LOS ANGELES,9000679A,3377,89,N,1123,TOTAL,181,136
LOS ANGELES,9000679C,3378,89,N,1157,POLLING PLACE,109,78
LOS ANGELES,9000679C,3378,89,N,0,VBM PORTION,85,57
LOS ANGELES,9000679C,3378,89,N,1157,TOTAL,194,135
LOS ANGELES,9000760A,3412,90,N,1186,POLLING PLACE,130,90
LOS ANGELES,9000760A,3412,90,N,0,VBM PORTION,104,65
LOS ANGELES,9000760A,3412,90,N,1186,TOTAL,234,155
LOS ANGELES,9000766A,3413,90,N,1059,POLLING PLACE,83,61
LOS ANGELES,9000766A,3413,90,N,0,VBM PORTION,130,83
LOS ANGELES,9000766A,3413,90,N,1059,TOTAL,213,144
LOS ANGELES,9000774B,3415,90,N,1157,POLLING PLACE,123,85
LOS ANGELES,9000774B,3415,90,N,0,VBM PORTION,93,73
LOS ANGELES,9000774B,3415,90,N,1157,TOTAL,216,158
LOS ANGELES,9000779A,3417,90,N,1071,POLLING PLACE,112,89
LOS ANGELES,9000779A,3417,90,N,0,VBM PORTION,83,59
LOS ANGELES,9000779A,3417,90,N,1071,TOTAL,195,148
LOS ANGELES,9000785A,3421,90,N,949,POLLING PLACE,83,62
LOS ANGELES,9000785A,3421,90,N,0,VBM PORTION,50,34
LOS ANGELES,9000785A,3421,90,N,949,TOTAL,133,96
LOS ANGELES,9000785C,3422,90,N,584,POLLING PLACE,27,21
LOS ANGELES,9000785C,3422,90,N,0,VBM PORTION,15,11
LOS ANGELES,9000785C,3422,90,N,584,TOTAL,42,32
LOS ANGELES,9000788A,3423,90,N,1276,POLLING PLACE,144,115
LOS ANGELES,9000788A,3423,90,N,0,VBM PORTION,124,90
LOS ANGELES,9000788A,3423,90,N,1276,TOTAL,268,205
LOS ANGELES,9000795A,3424,89,N,1052,POLLING PLACE,94,74
LOS ANGELES,9000795A,3424,89,N,0,VBM PORTION,44,27
LOS ANGELES,9000795A,3424,89,N,1052,TOTAL,138,101
LOS ANGELES,9000800A,3426,90,N,1157,POLLING PLACE,124,88
LOS ANGELES,9000800A,3426,90,N,0,VBM PORTION,112,73
LOS ANGELES,9000800A,3426,90,N,1157,TOTAL,236,161
LOS ANGELES,9000803C,3429,90,N,861,POLLING PLACE,103,70
LOS ANGELES,9000803C,3429,90,N,0,VBM PORTION,89,55
LOS ANGELES,9000803C,3429,90,N,861,TOTAL,192,125
LOS ANGELES,9000815A,3432,90,N,982,POLLING PLACE,81,61
LOS ANGELES,9000815A,3432,90,N,0,VBM PORTION,51,34
LOS ANGELES,9000815A,3432,90,N,982,TOTAL,132,95
LOS ANGELES,9000816A,3433,90,N,1164,POLLING PLACE,74,56
LOS ANGELES,9000816A,3433,90,N,0,VBM PORTION,61,44
LOS ANGELES,9000816A,3433,90,N,1164,TOTAL,135,100
LOS ANGELES,9000817A,3434,90,N,1245,POLLING PLACE,145,106
LOS ANGELES,9000817A,3434,90,N,0,VBM PORTION,124,73
LOS ANGELES,9000817A,3434,90,N,1245,TOTAL,269,179
LOS ANGELES,9000821A,3436,90,N,1204,POLLING PLACE,73,59
LOS ANGELES,9000821A,3436,90,N,0,VBM PORTION,67,47
LOS ANGELES,9000821A,3436,90,N,1204,TOTAL,140,106
LOS ANGELES,9000829A,3439,90,N,1106,POLLING PLACE,99,76
LOS ANGELES,9000829A,3439,90,N,0,VBM PORTION,73,62
LOS ANGELES,9000829A,3439,90,N,1106,TOTAL,172,138
LOS ANGELES,9000833B,3441,90,N,1036,POLLING PLACE,77,62
LOS ANGELES,9000833B,3441,90,N,0,VBM PORTION,44,28
LOS ANGELES,9000833B,3441,90,N,1036,TOTAL,121,90
LOS ANGELES,9000835B,3443,90,N,1235,POLLING PLACE,168,136
LOS ANGELES,9000835B,3443,90,N,0,VBM PORTION,138,90
LOS ANGELES,9000835B,3443,90,N,1235,TOTAL,306,226
LOS ANGELES,9000843A,3447,90,N,1227,POLLING PLACE,166,129
LOS ANGELES,9000843A,3447,90,N,0,VBM PORTION,151,100
LOS ANGELES,9000843A,3447,90,N,1227,TOTAL,317,229
LOS ANGELES,9000843B,3448,90,N,957,POLLING PLACE,99,79
LOS ANGELES,9000843B,3448,90,N,0,VBM PORTION,105,81
LOS ANGELES,9000843B,3448,90,N,957,TOTAL,204,160
LOS ANGELES,9000851A,3450,89,N,1124,POLLING PLACE,75,67
LOS ANGELES,9000851A,3450,89,N,0,VBM PORTION,73,51
LOS ANGELES,9000851A,3450,89,N,1124,TOTAL,148,118
LOS ANGELES,9000855B,3452,89,N,1229,POLLING PLACE,153,107
LOS ANGELES,9000855B,3452,89,N,0,VBM PORTION,129,86
LOS ANGELES,9000855B,3452,89,N,1229,TOTAL,282,193
LOS ANGELES,9000856A,3453,90,N,1130,POLLING PLACE,79,56
LOS ANGELES,9000856A,3453,90,N,0,VBM PORTION,75,55
LOS ANGELES,9000856A,3453,90,N,1130,TOTAL,154,111
LOS ANGELES,9000872A,3455,90,N,853,POLLING PLACE,76,58
LOS ANGELES,9000872A,3455,90,N,0,VBM PORTION,55,39
LOS ANGELES,9000872A,3455,90,N,853,TOTAL,131,97
LOS ANGELES,9000882A,3458,90,N,1217,POLLING PLACE,121,89
LOS ANGELES,9000882A,3458,90,N,0,VBM PORTION,67,39
LOS ANGELES,9000882A,3458,90,N,1217,TOTAL,188,128
LOS ANGELES,9000885A,3460,90,N,1079,POLLING PLACE,131,109
LOS ANGELES,9000885A,3460,90,N,0,VBM PORTION,54,41
LOS ANGELES,9000885A,3460,90,N,1079,TOTAL,185,150
LOS ANGELES,9000896A,3463,90,N,1222,POLLING PLACE,110,92
LOS ANGELES,9000896A,3463,90,N,0,VBM PORTION,74,58
LOS ANGELES,9000896A,3463,90,N,1222,TOTAL,184,150
LOS ANGELES,9000898A,3464,90,N,1163,POLLING PLACE,119,96
LOS ANGELES,9000898A,3464,90,N,0,VBM PORTION,69,63
LOS ANGELES,9000898A,3464,90,N,1163,TOTAL,188,159
LOS ANGELES,9000900A,3465,90,N,801,POLLING PLACE,41,29
LOS ANGELES,9000900A,3465,90,N,0,VBM PORTION,27,23
LOS ANGELES,9000900A,3465,90,N,801,TOTAL,68,52
LOS ANGELES,9000900D,3466,90,N,1094,POLLING PLACE,37,29
LOS ANGELES,9000900D,3466,90,N,0,VBM PORTION,74,56
LOS ANGELES,9000900D,3466,90,N,1094,TOTAL,111,85
LOS ANGELES,9000904A,3467,90,N,998,POLLING PLACE,82,69
LOS ANGELES,9000904A,3467,90,N,0,VBM PORTION,53,47
LOS ANGELES,9000904A,3467,90,N,998,TOTAL,135,116
LOS ANGELES,9000907A,3469,90,N,1177,POLLING PLACE,111,87
LOS ANGELES,9000907A,3469,90,N,0,VBM PORTION,98,65
LOS ANGELES,9000907A,3469,90,N,1177,TOTAL,209,152
LOS ANGELES,9000915A,3472,90,N,1236,POLLING PLACE,126,105
LOS ANGELES,9000915A,3472,90,N,0,VBM PORTION,69,59
LOS ANGELES,9000915A,3472,90,N,1236,TOTAL,195,164
LOS ANGELES,9000918A,3473,89,N,795,POLLING PLACE,79,60
LOS ANGELES,9000918A,3473,89,N,0,VBM PORTION,27,20
LOS ANGELES,9000918A,3473,89,N,795,TOTAL,106,80
LOS ANGELES,9000919A,3474,89,N,947,POLLING PLACE,81,65
LOS ANGELES,9000919A,3474,89,N,0,VBM PORTION,42,34
LOS ANGELES,9000919A,3474,89,N,947,TOTAL,123,99
LOS ANGELES,9000922B,3476,90,N,1234,POLLING PLACE,96,82
LOS ANGELES,9000922B,3476,90,N,0,VBM PORTION,68,50
LOS ANGELES,9000922B,3476,90,N,1234,TOTAL,164,132
LOS ANGELES,9000923A,3477,90,N,1084,POLLING PLACE,71,57
LOS ANGELES,9000923A,3477,90,N,0,VBM PORTION,45,41
LOS ANGELES,9000923A,3477,90,N,1084,TOTAL,116,98
LOS ANGELES,9000927A,3478,90,N,1171,POLLING PLACE,75,61
LOS ANGELES,9000927A,3478,90,N,0,VBM PORTION,78,67
LOS ANGELES,9000927A,3478,90,N,1171,TOTAL,153,128
LOS ANGELES,9000929A,3479,90,N,1253,POLLING PLACE,96,70
LOS ANGELES,9000929A,3479,90,N,0,VBM PORTION,50,37
LOS ANGELES,9000929A,3479,90,N,1253,TOTAL,146,107
LOS ANGELES,9000940B,3481,89,N,1122,POLLING PLACE,110,82
LOS ANGELES,9000940B,3481,89,N,0,VBM PORTION,81,61
LOS ANGELES,9000940B,3481,89,N,1122,TOTAL,191,143
LOS ANGELES,9000941A,3482,89,N,1003,POLLING PLACE,99,73
LOS ANGELES,9000941A,3482,89,N,0,VBM PORTION,68,53
LOS ANGELES,9000941A,3482,89,N,1003,TOTAL,167,126
LOS ANGELES,9000946A,3485,90,N,1204,POLLING PLACE,73,52
LOS ANGELES,9000946A,3485,90,N,0,VBM PORTION,82,57
LOS ANGELES,9000946A,3485,90,N,1204,TOTAL,155,109
LOS ANGELES,9000947A,3486,89,N,1310,POLLING PLACE,108,78
LOS ANGELES,9000947A,3486,89,N,0,VBM PORTION,80,56
LOS ANGELES,9000947A,3486,89,N,1310,TOTAL,188,134
LOS ANGELES,9000965A,3493,89,N,1239,POLLING PLACE,81,67
LOS ANGELES,9000965A,3493,89,N,0,VBM PORTION,59,44
LOS ANGELES,9000965A,3493,89,N,1239,TOTAL,140,111
LOS ANGELES,9000966B,3494,89,N,1242,POLLING PLACE,79,58
LOS ANGELES,9000966B,3494,89,N,0,VBM PORTION,63,40
LOS ANGELES,9000966B,3494,89,N,1242,TOTAL,142,98
LOS ANGELES,9000968A,3495,90,N,1484,POLLING PLACE,123,85
LOS ANGELES,9000968A,3495,90,N,0,VBM PORTION,195,109
LOS ANGELES,9000968A,3495,90,N,1484,TOTAL,318,194
LOS ANGELES,9000969A,3496,89,N,1129,POLLING PLACE,92,71
LOS ANGELES,9000969A,3496,89,N,0,VBM PORTION,42,32
LOS ANGELES,9000969A,3496,89,N,1129,TOTAL,134,103
LOS ANGELES,9000970C,3497,89,N,1180,POLLING PLACE,66,60
LOS ANGELES,9000970C,3497,89,N,0,VBM PORTION,62,51
LOS ANGELES,9000970C,3497,89,N,1180,TOTAL,128,111
LOS ANGELES,9001014A,3515,90,N,810,POLLING PLACE,24,16
LOS ANGELES,9001014A,3515,90,N,0,VBM PORTION,61,44
LOS ANGELES,9001014A,3515,90,N,810,TOTAL,85,60
LOS ANGELES,9001023A,3522,90,N,1301,POLLING PLACE,64,52
LOS ANGELES,9001023A,3522,90,N,0,VBM PORTION,93,66
LOS ANGELES,9001023A,3522,90,N,1301,TOTAL,157,118
LOS ANGELES,9001062A,3543,90,N,1190,POLLING PLACE,42,30
LOS ANGELES,9001062A,3543,90,N,0,VBM PORTION,42,34
