LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AL MURATSUCHI,DAVID HADLEY
EL CAMINO VILLAGE,2080002A,791,186,N,1285,POLLING PLACE,48,36,9
EL CAMINO VILLAGE,2080002A,791,186,N,0,VBM PORTION,65,43,13
EL CAMINO VILLAGE,2080002A,791,186,N,1285,TOTAL,113,79,22
EL CAMINO VILLAGE,2080003A,792,186,N,649,POLLING PLACE,102,42,48
EL CAMINO VILLAGE,2080003A,792,186,N,0,VBM PORTION,41,15,22
EL CAMINO VILLAGE,2080003A,792,186,N,649,TOTAL,143,57,70
EL CAMINO VILLAGE,2080004A,793,186,N,1138,POLLING PLACE,85,41,34
EL CAMINO VILLAGE,2080004A,793,186,N,0,VBM PORTION,122,62,56
EL CAMINO VILLAGE,2080004A,793,186,N,1138,TOTAL,207,103,90
EL CAMINO VILLAGE,2080005A,794,186,N,969,POLLING PLACE,125,59,53
EL CAMINO VILLAGE,2080005A,794,186,N,0,VBM PORTION,48,21,21
EL CAMINO VILLAGE,2080005A,794,186,N,969,TOTAL,173,80,74
GARDENA,2500003A,868,186,N,1019,POLLING PLACE,78,39,31
GARDENA,2500003A,868,186,N,0,VBM PORTION,80,38,38
GARDENA,2500003A,868,186,N,1019,TOTAL,158,77,69
GARDENA,2500010A,872,186,N,1104,POLLING PLACE,110,63,43
GARDENA,2500010A,872,186,N,0,VBM PORTION,92,49,33
GARDENA,2500010A,872,186,N,1104,TOTAL,202,112,76
GARDENA,2500012A,873,186,N,721,POLLING PLACE,54,35,19
GARDENA,2500012A,873,186,N,0,VBM PORTION,58,47,9
GARDENA,2500012A,873,186,N,721,TOTAL,112,82,28
GARDENA,2500013A,874,186,N,1359,POLLING PLACE,107,63,29
GARDENA,2500013A,874,186,N,0,VBM PORTION,102,63,29
GARDENA,2500013A,874,186,N,1359,TOTAL,209,126,58
GARDENA,2500016A,875,186,N,1199,POLLING PLACE,141,83,40
GARDENA,2500016A,875,186,N,0,VBM PORTION,128,79,36
GARDENA,2500016A,875,186,N,1199,TOTAL,269,162,76
GARDENA,2500018A,876,186,N,1236,POLLING PLACE,90,53,26
GARDENA,2500018A,876,186,N,0,VBM PORTION,114,77,26
GARDENA,2500018A,876,186,N,1236,TOTAL,204,130,52
GARDENA,2500019A,877,186,N,1420,POLLING PLACE,87,51,30
GARDENA,2500019A,877,186,N,0,VBM PORTION,96,69,18
GARDENA,2500019A,877,186,N,1420,TOTAL,183,120,48
GARDENA,2500020B,878,186,N,1509,POLLING PLACE,83,55,20
GARDENA,2500020B,878,186,N,0,VBM PORTION,71,47,17
GARDENA,2500020B,878,186,N,1509,TOTAL,154,102,37
GARDENA,2500023A,881,186,N,1501,POLLING PLACE,78,48,20
