LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LEE ROGERS,DAVID KOSTER BRUCE,MICHAEL MUSSACK,TROY CASTAGNA,STEVE KNIGHT,EVAN THOMAS,TONY STRICKLAND,NAVRAJ SINGH
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,18,1,4,25,53,7,37,3
ACTON,0050003A,1,3,N,0,VBM PORTION,133,16,2,4,17,27,10,42,1
ACTON,0050003A,1,3,N,1086,TOTAL,288,34,3,8,42,80,17,79,4
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,10,4,1,5,51,6,27,4
ACTON,0050004A,2,3,N,0,VBM PORTION,132,20,3,0,10,48,4,38,2
ACTON,0050004A,2,3,N,820,TOTAL,242,30,7,1,15,99,10,65,6
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,18,2,1,14,54,5,27,0
ACTON,0050005A,3,3,N,0,VBM PORTION,83,11,2,0,13,30,1,22,0
ACTON,0050005A,3,3,N,748,TOTAL,205,29,4,1,27,84,6,49,0
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,7,2,0,5,19,5,17,1
ACTON,0050014A,4,3,N,0,VBM PORTION,57,4,0,0,4,23,3,20,0
ACTON,0050014A,4,3,N,488,TOTAL,114,11,2,0,9,42,8,37,1
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,0,0,0,1,0,0,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,0,0,0,1,0,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,24,1,1,17,57,5,36,2
ACTON,0050059A,5,3,N,0,VBM PORTION,122,19,3,5,10,42,3,35,1
ACTON,0050059A,5,3,N,1211,TOTAL,272,43,4,6,27,99,8,71,3
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,19,3,0,12,65,3,46,2
ACTON,0050061A,6,3,N,0,VBM PORTION,155,18,2,2,13,62,6,40,3
ACTON,0050061A,6,3,N,1159,TOTAL,308,37,5,2,25,127,9,86,5
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,19,3,3,9,49,7,31,3
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,20,4,1,11,39,5,33,4
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,39,7,4,20,88,12,64,7
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,12,1,1,5,29,8,41,0
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,14,1,0,6,28,2,23,0
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,26,2,1,11,57,10,64,0
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,9,3,0,5,13,2,27,0
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,11,1,0,4,21,3,24,1
