LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,S M RIDLEY THOMAS,GLEN RATCLIFF
CULVER CITY,1600001A,588,115,N,960,POLLING PLACE,85,66,10
CULVER CITY,1600001A,588,115,N,0,VBM PORTION,78,47,17
CULVER CITY,1600001A,588,115,N,960,TOTAL,163,113,27
CULVER CITY,1600001B,6037,116,Y,0,POLLING PLACE,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,VBM PORTION,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,TOTAL,0,0,0
CULVER CITY,1600002A,589,115,N,782,POLLING PLACE,79,51,21
CULVER CITY,1600002A,589,115,N,0,VBM PORTION,62,36,16
CULVER CITY,1600002A,589,115,N,782,TOTAL,141,87,37
CULVER CITY,1600003A,590,115,N,1057,POLLING PLACE,138,83,38
CULVER CITY,1600003A,590,115,N,0,VBM PORTION,105,59,24
CULVER CITY,1600003A,590,115,N,1057,TOTAL,243,142,62
CULVER CITY,1600004A,591,115,N,1147,POLLING PLACE,122,66,33
CULVER CITY,1600004A,591,115,N,0,VBM PORTION,112,68,29
CULVER CITY,1600004A,591,115,N,1147,TOTAL,234,134,62
CULVER CITY,1600004D,6038,116,Y,0,POLLING PLACE,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,VBM PORTION,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,TOTAL,0,0,0
CULVER CITY,1600005A,592,115,N,940,POLLING PLACE,105,78,19
CULVER CITY,1600005A,592,115,N,0,VBM PORTION,91,63,10
CULVER CITY,1600005A,592,115,N,940,TOTAL,196,141,29
CULVER CITY,1600007A,593,115,N,1313,POLLING PLACE,213,120,52
CULVER CITY,1600007A,593,115,N,0,VBM PORTION,179,105,42
CULVER CITY,1600007A,593,115,N,1313,TOTAL,392,225,94
CULVER CITY,1600008A,594,115,N,1204,POLLING PLACE,303,190,66
CULVER CITY,1600008A,594,115,N,0,VBM PORTION,160,81,43
CULVER CITY,1600008A,594,115,N,1204,TOTAL,463,271,109
CULVER CITY,1600011A,595,115,N,1263,POLLING PLACE,128,81,30
CULVER CITY,1600011A,595,115,N,0,VBM PORTION,170,87,55
CULVER CITY,1600011A,595,115,N,1263,TOTAL,298,168,85
CULVER CITY,1600013B,596,115,N,1183,POLLING PLACE,253,155,69
CULVER CITY,1600013B,596,115,N,0,VBM PORTION,146,70,37
CULVER CITY,1600013B,596,115,N,1183,TOTAL,399,225,106
CULVER CITY,1600014A,597,115,N,482,POLLING PLACE,67,41,16
CULVER CITY,1600014A,597,115,N,0,VBM PORTION,93,67,14
CULVER CITY,1600014A,597,115,N,482,TOTAL,160,108,30
CULVER CITY,1600014C,6039,116,Y,0,POLLING PLACE,0,0,0
CULVER CITY,1600014C,6039,116,Y,0,VBM PORTION,0,0,0
CULVER CITY,1600014C,6039,116,Y,0,TOTAL,0,0,0
CULVER CITY,1600017B,598,115,N,1176,POLLING PLACE,80,48,22
CULVER CITY,1600017B,598,115,N,0,VBM PORTION,124,77,34
CULVER CITY,1600017B,598,115,N,1176,TOTAL,204,125,56
CULVER CITY,1600018A,599,115,N,965,POLLING PLACE,68,46,18
CULVER CITY,1600018A,599,115,N,0,VBM PORTION,70,31,32
CULVER CITY,1600018A,599,115,N,965,TOTAL,138,77,50
CULVER CITY,1600022A,600,115,N,673,POLLING PLACE,125,70,20
CULVER CITY,1600022A,600,115,N,0,VBM PORTION,78,43,27
CULVER CITY,1600022A,600,115,N,673,TOTAL,203,113,47
CULVER CITY,1600024A,601,115,N,1275,POLLING PLACE,147,104,29
CULVER CITY,1600024A,601,115,N,0,VBM PORTION,138,90,27
CULVER CITY,1600024A,601,115,N,1275,TOTAL,285,194,56
CULVER CITY,1600025A,602,115,N,999,POLLING PLACE,216,122,62
CULVER CITY,1600025A,602,115,N,0,VBM PORTION,170,99,44
CULVER CITY,1600025A,602,115,N,999,TOTAL,386,221,106
CULVER CITY,1600027C,603,115,N,664,POLLING PLACE,102,66,22
CULVER CITY,1600027C,603,115,N,0,VBM PORTION,93,55,22
CULVER CITY,1600027C,603,115,N,664,TOTAL,195,121,44
CULVER CITY,1600028A,604,115,N,1291,POLLING PLACE,167,91,56
CULVER CITY,1600028A,604,115,N,0,VBM PORTION,198,98,55
CULVER CITY,1600028A,604,115,N,1291,TOTAL,365,189,111
CULVER CITY,1600031C,605,115,N,1064,POLLING PLACE,152,98,38
CULVER CITY,1600031C,605,115,N,0,VBM PORTION,148,88,40
CULVER CITY,1600031C,605,115,N,1064,TOTAL,300,186,78
CULVER CITY,1600034A,606,115,N,1195,POLLING PLACE,220,130,67
CULVER CITY,1600034A,606,115,N,0,VBM PORTION,198,94,73
CULVER CITY,1600034A,606,115,N,1195,TOTAL,418,224,140
CULVER CITY,1600042A,607,115,N,794,POLLING PLACE,173,118,40
CULVER CITY,1600042A,607,115,N,0,VBM PORTION,137,83,37
CULVER CITY,1600042A,607,115,N,794,TOTAL,310,201,77
CULVER CITY,1600045A,608,115,N,1024,POLLING PLACE,105,74,21
CULVER CITY,1600045A,608,115,N,0,VBM PORTION,110,71,23
CULVER CITY,1600045A,608,115,N,1024,TOTAL,215,145,44
CULVER CITY,1600055A,609,115,N,1182,POLLING PLACE,153,105,30
CULVER CITY,1600055A,609,115,N,0,VBM PORTION,86,48,18
CULVER CITY,1600055A,609,115,N,1182,TOTAL,239,153,48
CULVER CITY,1600071C,6040,114,Y,1,POLLING PLACE,0,0,0
CULVER CITY,1600071C,6040,114,Y,0,VBM PORTION,0,0,0
CULVER CITY,1600071C,6040,114,Y,1,TOTAL,0,0,0
CULVER CITY,1600073A,610,115,N,1290,POLLING PLACE,138,93,32
CULVER CITY,1600073A,610,115,N,0,VBM PORTION,88,53,23
CULVER CITY,1600073A,610,115,N,1290,TOTAL,226,146,55
CULVER CITY,1600074B,611,115,N,1163,POLLING PLACE,129,98,25
CULVER CITY,1600074B,611,115,N,0,VBM PORTION,127,85,23
CULVER CITY,1600074B,611,115,N,1163,TOTAL,256,183,48
CULVER CITY,1600076A,612,115,N,1199,POLLING PLACE,133,109,14
CULVER CITY,1600076A,612,115,N,0,VBM PORTION,133,98,13
CULVER CITY,1600076A,612,115,N,1199,TOTAL,266,207,27
